year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,homicide-rate-pNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,share-of-peopleNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1960,43.94594594594582,100.0,3.4625000000000057,8.565,0.7790581196581199,17714,5.51,4.327793374811044,98.0301085178236,24.8,100.0,70.81707317,1.3621802002224683
1961,44.982930298719566,100.0,3.415441176470594,8.626,0.7820182905982911,17324,5.524,2.4749651669999997,97.9125132457786,24.3,100.0,70.97317073,1.3464849833147916
1962,46.019914651493536,100.0,3.3683823529411825,8.87,0.7849784615384614,17927,5.537999999999999,1.3266648909999998,97.79491797373356,23.7,100.0,70.94243902,1.3307897664071184
1963,47.05689900426728,100.0,3.321323529411771,9.266,0.7879386324786326,18688,5.5520000000000005,6.212971318999999,97.67732270168852,23.2,100.0,70.91170732,1.3150945494994417
1964,48.09388335704102,100.0,3.2742647058823593,9.796,0.7908988034188038,19451,5.566,6.975489924,97.55972742964352,22.7,100.0,70.88097561,1.2993993325917685
1965,49.13086770981499,100.0,3.2272058823529477,10.637,0.793858974358975,20040,5.58,5.978493584,97.44213215759848,22.4,100.0,70.8502439,1.2837041156840918
1966,50.167852062588736,100.0,3.180147058823536,10.325999999999999,0.7968191452991453,20211,5.602,2.364606176,97.32453688555344,22.1,100.0,70.81951219999999,1.2680088987764186
1967,51.20483641536248,100.0,3.1330882352941245,10.809000000000001,0.7997793162393165,21299,5.624,6.297786464,97.20694161350843,22.0,100.0,70.86926829,1.252313681868742
1968,52.24182076813645,100.0,3.086029411764713,10.967,0.8027394871794877,21979,5.646,5.091587486,97.0893463414634,21.9,100.0,70.91902439,1.2366184649610652
1969,53.27880512091019,100.0,3.0389705882353013,11.309000000000001,0.805699658119658,22932,5.667999999999999,7.050657366,96.97175106941836,21.7,100.0,70.96878049,1.220923248053392
1970,54.31578947368416,100.0,2.9919117647058897,11.485,0.8086598290598292,23949,5.69,7.167345417999999,96.85415579737332,21.5,100.0,71.01853659,1.2052280311457153
1971,55.352773826457906,100.0,2.944852941176478,11.667,0.8116200000000005,24330,5.71,4.003308355,96.73656052532831,21.0,100.0,71.06829268,1.1895328142380421
1972,56.38975817923165,100.0,2.8977941176470665,11.834000000000001,0.8145801709401717,24336,5.73,3.911781915,96.61896525328328,20.3,100.0,71.45756098,1.1738375973303654
1973,57.42674253200562,100.0,2.850735294117655,12.668,0.817540341880342,25168,5.75,2.599312825,96.50136998123824,19.4,100.0,71.84682927,1.1581423804226922
1974,58.46372688477936,100.0,2.8036764705882433,12.606,0.8205005128205132,25140,5.77,4.096768774,96.38377470919323,18.4,100.0,72.23609756,1.1424471635150155
1975,59.50071123755333,100.0,2.7566176470588317,12.706,0.8234606837606844,25314,5.79,1.3328627929999999,96.2661794371482,17.3,100.0,72.62536585,1.1267519466073388
1976,60.537695590327075,100.0,2.70955882352942,12.44,0.8264208547008547,26143,5.808,2.5909519480000003,96.14858416510316,16.2,100.0,73.01463415,1.1110567296996656
1977,61.57467994310082,100.0,2.6625000000000085,13.258,0.8293810256410259,26200,5.8260000000000005,3.6076744589999996,96.03098889305815,15.2,100.0,73.34439024,1.095361512791989
1978,62.61166429587456,100.0,2.615441176470597,14.106,0.8323411965811971,26449,5.843999999999999,0.898233501,95.91339362101311,14.4,100.0,73.67414634,1.0796662958843157
1979,63.648648648648305,100.0,2.5683823529411853,14.157,0.8353013675213674,27199,5.862,4.055964549,95.79579834896808,13.6,100.0,74.00390244,1.063971078976639
1980,33,100.0,2.5213235294117737,15.057,0.8382615384615386,27606,5.88,3.052416853,95.67820307692304,13.0,100.0,74.33365854,1.0482758620689658
1981,40,100.0,2.474264705882362,15.512,0.8412217094017098,28153,5.872000000000001,3.3564209989999996,94.8,12.6,100.0,74.66341463,1.0
1982,48,100.0,2.4272058823529505,15.552999999999999,0.844181880341881,27767,5.864,3.319422013,94.7722,12.2,100.0,74.90487805,1.0
1983,55,100.0,2.380147058823539,14.735,0.8471420512820513,27248,5.856,3.6507470542097806,94.7444,11.9,100.0,75.14634146,1.0
1984,62,100.0,2.3330882352941273,15.264000000000001,0.8501022222222225,28768,5.848,4.6307661289999995,94.7167,11.6,100.0,75.38780488,1.0
1985,68,100.0,2.2860294117647157,15.323,0.8530623931623937,29860,5.84,5.249350487,94.6889,11.3,100.0,75.62926829,1.0
1986,75,100.0,2.238970588235304,14.999,0.856022564102564,30102,5.84,4.100203645,94.6611,11.0,100.0,75.87073171,0.925
1987,81,100.0,2.1919117647058926,15.743,0.8589827350427353,31133,5.84,2.578442474,94.6333,10.6,100.0,76.15170732,0.85
1988,88,100.0,2.144852941176481,15.788,0.8619429059829065,31909,5.84,5.776851983999999,94.6056,10.2,100.0,76.43268293,0.775
1989,93,100.0,2.0977941176470694,16.528,0.8649030769230768,32822,5.84,3.8808198430000003,94.5778,9.7,100.0,76.71365854,0.7
1990,95,100,2.0507352941176578,16.334,0.866,32777,5.84,3.530801438,94.55,9.2,100,76.99463415,0.75
1991,93,100,2.003676470588246,16.2,0.8693,32056,5.836,3.415252681826729,94.5222,8.7,100,77.27560976,0.8
1992,91,100,1.9566176470588346,16.29,0.8726,32541,5.832000000000001,0.436463912,94.4944,8.2,100,77.37804878,0.85
1993,90,100,1.909558823529423,16.352,0.8759,33504,5.827999999999999,4.0619942,94.4667,7.7,100,77.87804878,0.9
1994,88,100,1.8625000000000114,16.437,0.8792,34801,5.824,4.051610741,94.4389,7.3,100,77.87804878,0.95
1995,86,100,1.8,16.887,0.8825,35341,5.82,3.88933225,94.4111,7.0,100,77.82926829,1.0
1996,86,100,1.7,17.085,0.8858,36390,5.8260000000000005,3.948807277,94.3833,6.8,100,78.07804878,0.95
1997,77,100,1.7,17.358,0.8891,37676,5.832000000000001,3.947615227,94.3556,6.6,100,78.4804878,0.9
1998,82,100,1.5,17.917,0.8924,39041,5.837999999999999,4.44013975,94.3278,6.4,100,78.63170732,0.85
1999,88,100,1.8,18.227999999999998,0.8957,40320,5.843999999999999,5.006807026000001,94.3,6.3,100,78.93170732,0.8
2000,90,100,1.6,18.355999999999998,0.899,41066,5.85,3.867868797,94.03,6.2,100,79.23414634,0.75
2001,92,100,1.6,18.551,0.9018,41599,5.856,1.930054261,93.76,6.1,100,79.63414634,0.7
2002,92,100,1.6,18.586,0.9046,42853,5.862,3.8529270510000004,93.49,6.0,100,79.93658537,0.85
2003,93,100,1.5,18.723,0.9074,43503,5.867999999999999,3.068304851,93.22,5.9,100,80.23902439,1.0
2004,92,100,1.3,19.15,0.9102,44872,5.874,4.145671395,92.95,5.8,100,80.4902439,0.88
2005,92,100,1.3,19.063,0.9129999999999999,45558,5.88,3.203548132,92.68,5.7,100,80.84146341,0.76
2006,92,100,1.4,19.022000000000002,0.9158,46124,5.904,2.978054386,92.41,5.6,100,81.04146341,0.64
2007,92,100,1.2,19.063,0.9186,47251,5.928,3.74972737,92.14,5.4,100,81.29268293,0.52
2008,92,100,1.2,18.971,0.9214,47478,5.952000000000001,3.698140685,91.87,5.2,100,81.39512195,0.4
2009,92,100,1.2,18.803,0.9242,47509,5.976,1.811957199,91.6,5.0,100,81.54390244,0.35
2010,92,100,1.0,18.391,0.927,47971,6.0,2.005879701,91.8,4.8,100,81.69512195,0.3
2011,92,100,1.0625,17.984,0.93,48528,6.18,2.3728207,92.0,4.5,100,81.89512195,0.5617241379310336
2012,92,100,1.0154411764705884,17.84,0.9329999999999999,49519,6.36,3.6342496160000004,92.2,4.3,100,82.04634146,0.5460289210233569
2013,91,100,0.9683823529411768,17.204,0.9359999999999999,49774,6.54,2.5698560880000003,92.4,4.1,100,82.14878049,0.5303337041156837
2014,92,100,0.9213235294117652,16.766,0.937,50351,6.72,2.60945748,92.6,4.0,100,82.3,0.514638487208007
2015,93,100,0.8742647058823536,16.898,0.9390000000000001,50847,6.9,2.421610556,92.1,3.9,100.0,82.4,0.4989432703003338
2016,94,100.0,0.827205882352942,16.496,0.9448276923076921,51392,6.9,2.765773499,91.6,3.8,100.0,82.44878049,0.4832480533926571
2017,103.05405405405372,100.0,0.7801470588235304,20.220697994987518,0.9477878632478633,51799,6.9,2.6498959715818273,91.1,3.7,100.0,82.5,0.4675528364849839
2018,104.09103840682792,100.0,0.7330882352941188,20.397966467893923,0.9507480341880346,52424,6.9,2.620459175033943,90.6,3.7,100.0,82.74878049,0.4518576195773072
2019,105.12802275960166,100.0,0.6860294117647072,20.57523494080033,0.9537082051282058,52672,6.9,2.591022378486066,90.1,3.6,100.0,83.69857878004092,0.43616240266963047
2020,106.1650071123754,100.0,0.6389705882352956,20.752503413706734,0.9566683760683761,53235.976836158196,6.9,2.561585581938182,89.6,-0.16107344632780496,100.0,83.93843908138689,0.4204671857619573
