Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,317479,297605,227837.3333,158069.6667,88302,196128.5,303955,202767,288070,372762.25,457454.5,542146.75,626839,585602,273377,326694,414407,456490,462689,386929,392463,482748,391365,319742,290079,350044,392551
Algeria,152,229,106,84,206,107,221,197,449,701,27733,26411,18803,17059,16686,18392,13869,14745,11964,6186,408,191,887,603,266,747,432
Angola,243673,1143701,782988,722981,667376,156603,524917.5,893232,1169028,1471993,2080348,1249767,1862662,3246258,2489170,2329316,2283097,2295136,2151072,2221076,3687574,3501953,3031546,3144100,3180021,3254270,4301146
Argentina,1660,803,643,758,948,1065,2048,592,339,222,440,215,125,122,115,259,209,387,130,101,72,18,4,4,4,1,1
Bahamas,4,3,2,2,2.5,3,5.5,8,21,30,2,4,1,3,2,1,49,6,14,,,,,,,,
Bangladesh,53875,63578,115660,125402,166564,152729,100864,68594,60023,63723,302011,2776477,2543782,2554223,3016262,1445831,1320581,248449,168885,79853,91227,51773,29518,3864,10216,6608,4787
Belize,3033,3317,5341,8586,9957,9413,6605,4014,2614,1855,1486,1097,928,928,1066,1549,844,845,538,256,150,79,37,26,19,13,5
Benin,92870,118796,290868,403327,546827,579300,623396,670857,650025,709348,713319,717290,782818,819256,853034,803462,861847,1171522,1147005,1256708,1432095,1424335,1513212,1670273,1509221,1495375,1374729
Bhutan,9497,22126,28900,28116,39852,23188,15696,9029,7693,12237,5935,5982,6511,3806,2768,1825,1868,1407,450,1421,487,207,82,45,48,104,74
Bolivia,19680,19031,24486,27475,34749,46911,64012,51478,73913,50037,31469,15765,14276,20343,14910,21442,19725,14610,9748,9743,13769,7143,7415,7342,7401,6907,5553
Botswana,10750,14364,4995,55331,29591,17599,80004,101887,59696,72640,71555,48281,28907,23657,22404,11242,23514,16983,17886,14878,12196,1141,308,506,1485,340,718
Brazil,560396,614431,609860,466190,564406,565727,455194,392976,471892,609594,613241,388303,348259,408821,464901,606067,549469,458652,315642,308498,334668,267146,242758,178546,144130,143161,129251
"Burkina Faso",496513,448917,420186,502275,472355,501020,582658,672752,721480,867866,595223.5,322581,1156074,1411928,1512026,1563768,1983085,2404759,3688338,4399837,5723481,5024697,6970700,7146026,8278408,8286453,9785822
Burundi,92870,568938,773539,828429,831481,932794,974226,670857,687301,1936584,3076538,3149338,2423268,1996275,1505270,1757589,1771257,1363360,1424026,1757387,4255301,3298979,2570754,4469007,4831758,5243410,8383389
"Cape Verde",69,80,38,44,21,127,77,20,41,29,144,107,18,68,45,68,80,18,35,65,47,36,36,46,46,28,75
Cambodia,123796,102930,91000,99200,85012,76923,74883,88029,58874,64679,203164,110161,100194,119712,91855,67036,89109,59848,58887,83777,49356,57423,45553,24130,26278,33930,23492
Cameroon,869048,787796,664413,478693,189066,784321,931311,787796,664413,609127.2857,553841.5714,498555.8571,443270.1429,387984.4286,332698.7143,277413,634507,604153,1650749,1883199,1845691,1829266,1589317,1824633,1369518,2321933,1790891
"Central African Republic",174436,125038,89930,82072,82057,100962,95259,99718,105664,127964,89614,140742,109418,78094,129367,131856,114403,119477,152260,175210,66484,221980,459999,407131,495238,953535,1400526
Chad,212554,246410,229444,234869,278225,293564,278048,343186,395205,392815,431836,446289,516248,496546,480957,496075,233614,502236,462573,182415,544243,528454,660575,1272841,1513772,1490556,1402215
China,117359,101600,74000,59000,62000,47118,33382,26800,27090,26797,26871,26945,172200,169828,145676,100106,116260,133699,135467,14491,7855,4498,2716,4127,2921,3116,3143
Colombia,99489,184156,184023,129377,127218,187082,135923,180898,185455,66845,144432,231233,204916,180956,142241,121629,120096,128462,80559,79252,117650,64436,60179,51722,40768,55866,83227
Comoros,,,,12012,13860,15707,15509,9676.5,3844,9793,16618,23443,30268,37093,43918,29554,54830,53511,46426,49679,103670,76661,65139,62565,2465,1517,1333
