Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,9.1,9.6,9.4,9,8.5,8.1,7.6,7,6.5,6.3,6.2,6.4,6.8,7.2,7.5,7.5
Albania,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.1,0.1
Algeria,3.3,3.2,3.1,3,3,2.9,2.8,2.7,2.6,2.5,2.3,2,1.9,1.8,1.8,1.8
Angola,7.5,7.3,6.9,6.4,6.1,5.8,5.4,5.1,4.7,4.4,4.1,3.9,3.8,3.6,3.5,3.5
Argentina,1.3,1.5,1.9,2,2,1.9,1.7,1.7,1.7,1.7,1.7,1.6,1.6,1.5,1.5,1.6
Armenia,0.7,0.7,0.6,0.5,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1
Azerbaijan,1.9,1.5,1.2,1,0.7,0.5,0.3,0.3,0.2,0.2,,,,,,
Bangladesh,27.2,25.1,24.8,24.3,24,23.7,23.6,23.9,24.3,24.9,25.6,26,26.1,25.8,25.4,24.4
Belarus,,,0.3,0.4,0.3,0.3,,,,,,,,,,
Benin,1.6,1.5,1.4,1.3,1.3,1.3,1.2,1.2,1.2,1.1,1.2,1.1,1.1,1.1,1.1,1.1
Bolivia,2.8,2.7,2.7,2.8,2.8,2.8,2.7,2.6,2.7,2.7,2.6,2.5,2.4,2.3,2.2,2.2
"Bosnia and Herzegovina",0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,,,,,,,
Botswana,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.6
Brazil,21.1,18.9,15.8,12.6,10.2,8.6,7.3,6.1,5.1,,,,,,,
Bulgaria,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.2
"Burkina Faso",2.9,3.1,3.2,3.2,3.3,3.3,3.4,3.4,3.3,3.3,3.3,3.3,3.3,3.4,3.4,3.7
Cambodia,3.6,3.2,3,2.8,2.7,2.7,2.6,2.6,2.6,2.7,2.7,2.7,2.7,2.6,2.5,2.4
Cameroon,4.9,4.6,4.4,4.2,3.9,3.7,3.4,3.1,2.8,2.6,2.4,2.2,2,1.8,1.8,1.9
"Central African Republic",1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.5,1.5,1.5,1.5,1.6,1.9,2.3,2.6,2.9
Chad,3.3,3.4,3.6,3.7,3.8,3.9,4.1,4.3,4.5,4.7,4.8,4.8,4.8,4.8,4.8,4.6
Chile,0.7,0.7,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
"Hong Kong",0.2,,,,,,,,,,,,,,,
China,204.9,205.5,205.7,206.2,205.3,202.8,197.9,190.5,181.1,171.4,161.9,154.2,147.9,142.4,137.2,133.4
Taiwan,0.9,1,1.1,1.2,1.3,1.4,1.5,1.5,1.6,1.6,1.6,1.6,1.6,1.5,1.4,1.2
Colombia,3.9,3.9,3.8,3.9,4,4.2,4.2,4.1,4.3,4.7,5.1,5,4.7,4.2,3.7,3.4
"Congo (Brazzaville)",1,0.9,0.9,1,1,1.2,1.2,1.3,1.3,1.3,1.3,1.2,1.2,1.2,1.2,1.3
"Costa Rica",0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3
"Ivory Coast",2.9,3.1,3.2,3.1,3,2.9,2.9,3,3.2,3.3,3.3,3.3,3.3,3.3,3.3,3.5
Croatia,0.5,0.3,0.3,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,,
Cuba,0.4,0.3,,,,,,,,,,,,,,
"North Korea",8.6,8.6,8.3,8.1,8.1,8.4,8.9,9.5,9.9,10.1,10.3,10.3,10.3,10.3,10.2,10.3
Djibouti,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1
"Dominican Republic",2.4,2.4,2.4,2.5,2.5,2.3,2.1,2,1.9,1.8,1.6,1.5,1.4,1.4,1.4,1.4
Ecuador,2.3,2.4,2.5,2.5,2.4,2.3,2.3,2.2,2.1,2,1.8,1.8,1.8,1.8,1.9,1.9
Egypt,3.6,3.6,3.7,3.9,4.1,4.1,3.9,3.7,3.6,3.7,3.7,3.7,3.8,3.8,3.9,4.1
"El Salvador",0.7,0.6,0.5,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.7,0.8
Ethiopia,34.5,33.5,32.9,32,31.3,30.4,30.3,30.1,29.6,28.8,28.1,27.8,27.9,27.8,27.6,28.6
Gabon,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Gambia,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Georgia,0.6,0.6,0.5,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3
Ghana,3,2.7,2.4,2.3,2.1,2,1.8,1.7,1.5,1.3,1.3,1.4,1.5,1.7,1.8,2.1
Guatemala,2.4,2.2,2,2,2.1,2.1,2.2,2.2,2.2,2.3,2.3,2.4,2.5,2.6,2.6,2.5
Guinea,2.3,2.3,2.3,2.2,2.1,2.1,2,2,1.9,1.9,2,2,2,2,2,2.2
"Guinea Bissau",0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5
Haiti,4.7,4.9,5,5.2,5.3,5.3,5.3,5.2,5.1,5,5,5,5.1,5.2,5.1,5
Honduras,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.1,1.1,1.1,1.2,1.2,1.2,1.2,1.3,1.2
India,180.9,196.3,215.6,230.9,239,234.9,221.2,205.4,195,191.8,191.9,193.6,195.1,195.1,192.8,190.7
Indonesia,37.6,39.2,40.1,40.6,41.3,42.1,42.3,41.6,39.9,35.5,30.2,24.8,21.3,19.1,17.7,20.3
Iran,3.2,3.6,3.8,4,4.1,4.3,4.6,4.7,4.6,4.4,4.3,4.3,4.3,4.2,4.2,4.3
Iraq,6.7,6.5,6.6,6.9,7.2,7.6,8.1,8.5,8.6,8.5,8.4,8.4,8.5,8.9,9.4,10.1
Jamaica,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.2
Japan,,,,,,,,,,3.1,3.2,,,,,
Jordan,0.4,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3
Kazakhstan,0.9,0.9,0.9,0.9,0.9,0.9,0.8,0.7,0.6,0.5,0.5,0.4,,,,
Kenya,10,10.5,11.2,11.3,11,10.2,9.7,9.6,9.8,9.7,9.5,9.4,9.2,9,8.7,8.8
Kyrgyzstan,0.8,0.8,0.7,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4
Laos,2,1.9,1.9,1.7,1.6,1.5,1.5,1.5,1.4,1.4,1.3,1.2,1.2,1.1,1.1,1.2
Latvia,0.1,0.1,,,,,,,,,,,,,,
Lebanon,,,,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3
Lesotho,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Liberia,1.1,1.2,1.2,1.3,1.3,1.3,1.3,1.3,1.4,1.4,1.4,1.5,1.6,1.7,1.8,1.9
Lithuania,0.1,0.1,0.1,0.1,,,,,,,,,,,,
Madagascar,5.4,5.7,6.2,6.5,6.6,6.4,6.3,6.3,6.4,6.6,6.7,6.9,7.4,8.1,9.2,10.3
Malawi,3,3,3.2,3.3,3.4,3.3,3.2,3.1,3.1,3.2,3.2,3.2,3.3,3.5,3.9,4.5
Malaysia,0.7,0.8,0.9,0.9,1,1,1.1,1.1,1.1,1.1,1.1,1,1,0.9,0.8,
Mali,1.6,1.6,1.6,1.6,1.5,1.4,1.3,1.2,1.1,1.1,1.1,1.1,1,1,0.8,0.7
Mauritania,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2
Mexico,4.6,4.6,5.1,5.8,6.2,6.1,5.5,5.3,5.3,5.4,5.4,5.5,5.5,5.5,5.5,5.4
Mongolia,0.8,0.8,0.8,0.8,0.8,0.8,0.7,0.7,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.6
Morocco,2,2,1.9,1.8,1.8,1.8,1.7,1.7,1.7,1.7,1.7,1.6,1.5,1.4,1.4,1.2
Mozambique,7.4,7.5,7.6,7.6,7.7,7.8,7.8,7.8,7.7,7.5,7.3,7.2,7.1,7.2,7.3,7.4
"Burma (Myanmar)",23.1,21.7,20.2,18.8,17.5,16.1,14.4,12.7,11.1,9.8,8.8,8.1,7.7,7.6,7.7,9.1
Namibia,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.8,0.8,0.8,0.8,0.7,0.7,0.7
Nepal,5.2,5.2,5,4.6,4.3,4.1,3.9,3.6,3.3,3,2.7,2.5,2.4,2.4,2.3,2.3
Nicaragua,1.6,1.5,1.4,1.4,1.4,1.3,1.3,1.2,1.2,1.2,1.2,1.2,1.1,1.1,1,1
Niger,2.4,2.3,2.2,2.2,2.1,2.1,2,2,1.9,1.9,1.8,1.9,1.9,1.9,1.9,2.2
Nigeria,11.5,11.5,11.7,11.1,10.2,9.2,8.8,8.9,9.2,9.6,10.1,10.5,11,11.6,13,14.3
Oman,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3
Pakistan,32.4,35,37.1,37.5,36.8,35.7,35.1,34.7,34.8,35.1,35.8,36.5,37.2,37.8,38.3,37.6
Panama,0.8,0.8,0.8,0.7,0.8,0.8,0.7,0.6,0.6,0.5,0.5,0.4,0.4,0.4,0.4,0.4
Paraguay,0.7,0.7,0.6,0.6,0.6,0.7,0.7,0.8,0.8,0.8,0.8,0.7,0.8,0.8,0.8,0.8
Peru,5.7,5.7,5.9,6.1,5.9,5.4,4.9,4.5,4.1,3.7,3.3,3,2.7,2.5,2.4,2.5
Philippines,15.9,15.7,15.6,15.3,14.7,14.1,13.3,12.6,12.1,12,12.4,13.1,13.7,14.1,14.1,13.9
Moldova,0.8,0.8,0.8,0.9,0.9,1,1,0.9,0.8,0.7,0.6,0.4,0.4,0.3,0.3,0.3
Russia,7.4,6.4,5.4,4.5,3.7,,,,,,,,,,,
Rwanda,4.4,4.1,3.9,3.9,4,4,4,3.9,3.8,3.6,3.5,3.5,3.6,3.9,4.4,4.8
"Saudi Arabia",1.3,1.4,1.6,1.8,1.9,2,2,2,2.1,2.1,2,1.8,1.6,1.6,1.5,1.4
Senegal,2.8,2.8,2.7,2.7,2.5,2.4,2.2,2,1.8,1.7,1.7,1.7,1.7,1.7,1.7,1.7
Serbia,,,,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"Sierra Leone",1.6,1.7,1.8,1.9,1.9,1.9,1.8,1.7,1.7,1.6,1.6,1.5,1.5,1.5,1.6,2
Slovakia,0.3,0.3,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2
"South Africa",2.1,2,2,2,2,2,2.1,2.2,2.2,2.1,2,1.9,1.9,2,2.2,2.5
"Sri Lanka",5.6,5.6,5.7,5.8,5.8,5.7,5.7,5.6,5.4,5.3,5.2,5.1,5,4.9,4.7,4.6
Sudan,,,,,,,,,,,,9.9,9.9,10.1,10.3,
Swaziland,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Tajikistan,2.6,2.7,2.8,2.9,2.9,2.8,2.8,2.8,2.8,2.8,2.9,2.9,2.7,2.6,2.5,2.6
Thailand,11.8,11.6,10.9,10.2,9.2,8.1,7.2,6.8,6.6,6.5,6.2,5.9,5.7,5.7,5.7,6.5
"Macedonia (F.Y.R.O.M.)",0.2,0.2,0.2,0.2,0.1,0.1,0.1,,,,,,,,,
"Timor Leste",0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Togo,1.5,1.5,1.5,1.5,1.5,1.4,1.4,1.4,1.4,1.3,1.3,1.3,1.2,1.1,0.9,0.8
"Trinidad and Tobago",0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,,,,
Tunisia,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6
Turkmenistan,0.4,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3
Uganda,6.6,6.8,6.8,6.6,6.5,6.8,7.6,8.5,9.2,9.8,10.3,10.9,11.6,12.6,13.8,15.2
"United Arab Emirates",,,,,0.1,0.2,0.3,0.3,0.4,0.5,0.5,0.5,0.5,0.4,0.4,0.3
Tanzania,12.5,13,13.3,13.6,13.6,13.5,13.5,13.8,14.7,15.3,15.8,15.8,15.8,15.8,15.8,17.3
Uruguay,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,,,,,,
Uzbekistan,4,4.7,5,4.8,4.3,3.8,3.2,2.9,2.7,2.6,2.4,2.2,2.1,2,1.9,1.9
Venezuela,4,4.1,4.3,3.9,3.4,2.8,2.3,1.7,1.1,0.9,0.9,1.1,1.4,2,2.8,4.1
Vietnam,19.5,18.2,17,16,15.4,15.3,14.9,14.3,13.4,12.7,12.1,11.6,11.2,10.8,10.3,10
Yemen,5.3,5.5,5.8,6,6.2,6.2,6.1,6,6,6,6.1,6.1,6.1,6.3,6.6,7.7
Zambia,5,5.3,5.6,5.7,5.9,6.2,6.5,6.8,7,6.9,6.9,7,7.1,7.2,7.3,7.4
Zimbabwe,5.4,5.4,5.4,5.4,5.3,5.2,5,4.9,4.9,4.8,4.7,4.7,5,5.6,6.3,7
