Country,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Bhutan,,,,,,,,,,,0.297619478,0.479460415,1.210005314,1.814158746,2.260110916,2.716503945,3.26287437,3.589877663,3.9408867
Botswana,,,,,,,,0.085296713,0.094939513,0.184838347,0.460253015,0.51236989,0.608223766,0.962651149,1.109630672,1.068206916,1.632993833,1.791749539,2.846641795
"Central African Republic",,,,,,,,,,,,,,0.0182588,0.013369548,0.0152,0.0169,0.018737969,0.020417264
Canada,0.464490344,1.913487734,4.596255223,9.152287743,11.2358667,14.28542895,16.97056597,21.71574744,24.66653567,27.5128096,29.49455524,30.48652404,31.69731854,32.71506237,33.5550875,34.3771325,35.37816978,36.32432105,37.26995123
Switzerland,,,0.78731927,1.944233009,6.286257108,10.75408841,16.71156362,22.53077771,27.40093879,31.46964485,33.40227742,35.40334671,37.20713045,38.89147463,40.16769702,42.56208317,42.47296117,45.10760917,46.27466695
Chile,,,0.049694579,0.426637042,1.191274932,2.202060084,2.961874455,4.336974451,6.129505051,7.812816833,8.479367821,9.73812612,10.43309451,11.62001286,12.40396834,13.02614663,14.00852457,15.17200175,15.97393709
China,,,0.00176972,0.026110917,0.254646331,0.861139213,1.903186524,2.833458987,3.834644405,4.977279055,6.172412866,7.694963045,9.290704938,11.43542762,12.72147733,13.63406195,14.38408129,19.76659867,22.89671961
"Ivory Coast",,,,,,0.002442371,0.004817921,0.007123148,0.056617393,0.055713221,0.054764381,0.053759562,0.1134,0.1731,0.232699505,0.277026786,0.609749474,0.515170401,0.62605059
Cameroon,,,,,,,,0.0011137,0.002261989,0.003351193,0.004388869,0.004476733,0.028868798,0.050637466,0.063807537,0.075941544,0.07120497,0.068396152,0.191739767
"Congo (Kinshasa)",,,,,,,,,,,,,,,,0.000666532,0.000720875,0.001403581,0.001366633
"Congo (Brazzaville)",,,,,,,,,,,,0.003128797,0.006080188,0.031026949,0.032095541,0.009847937,0.010968294,,
Colombia,,,0.022236713,0.03409877,0.084646115,0.153887852,0.298895144,0.737965006,1.432612621,2.712659941,3.924626377,4.617169769,5.690697589,7.111784007,8.25637629,9.39049889,10.27718213,11.15657452,11.79775894
Comoros,,,,,,,0.000170827,0.000665853,0.0068,0.012959591,0.016941556,0.009908467,0.048164127,0.05712523,0.171845971,0.176890724,0.210382782,0.259720696,0.360259722
"Cape Verde",,,,,,,0.05975797,0.195758496,0.376395402,0.792412029,1.522745233,2.258942505,3.295932535,4.348535132,4.015566312,4.249775004,3.787648644,3.259396241,3.030048977
"Costa Rica",,,,,0.219573799,0.356688631,0.657767073,1.03964464,1.89703205,2.128505256,2.425457965,3.969510308,8.485840051,8.860497121,9.335410209,9.952103438,10.44723766,11.16941845,11.5921903
Cuba,,,,,,,,,,0.017218688,0.01988252,0.025538528,0.032849461,0.039206981,0.044477146,0.047578346,0.069218216,0.072514511,0.128407029
Curacao,,,,,,,,,,,,,,20.98691288,22.91281642,23.30561854,23.89023456,24.32157993,25.51633045
"Cayman Islands",,,,,,,,,,,33.1304808,33.70796868,33.96206021,33.24322892,33.56783047,34.7993497,39.62617769,45.66344823,40.44475216
Cyprus,,,,0.260015539,0.599973262,1.005167601,1.680415822,3.085069912,6.017662647,9.181963983,18.74455899,21.80944121,23.49341549,24.98810365,25.53304781,26.591832,28.55262541,30.91448227,33.03083857
"Czech Republic",,,0.024389297,0.06059756,0.149793373,0.339969851,2.311904295,6.930749394,10.82734966,14.47815402,16.89986281,19.41661007,21.42546013,23.64613374,24.92464623,26.68767917,27.88349632,27.34164976,27.65087791
Germany,,,0.317317923,2.512458775,3.829830761,5.334862263,8.348356001,12.86655235,17.88529494,23.63207107,27.23706145,30.01174258,31.51381366,32.88230317,33.76408109,34.62242132,35.77980739,37.19317302,38.05448002
Djibouti,,,0.000553337,0.000681448,0.000805981,0.0023,0.0039,0.005408294,0.019300509,0.136723885,0.30255524,0.643049649,0.966145346,1.334914474,1.734073788,2.02822213,2.268047518,2.686020688,2.957549309
Dominica,,,0.11481221,0.251220212,3.206028135,3.784007537,4.625666548,4.819823651,6.082897157,7.062645667,9.875428523,10.28226942,11.67816544,11.63429084,11.85759723,14.8146605,14.90855808,20.85718217,21.21012915
Denmark,,,1.255085202,4.444706728,8.405615652,13.34420613,18.84936681,24.80493539,31.89379817,34.81523995,36.49277743,36.61391489,38.05479378,38.44225815,38.93602084,40.44068654,41.51919512,42.47756381,42.75318309
"Dominican Republic",,,,,,0.165356346,0.404642402,0.649380812,1.085315756,1.807090265,2.452443259,3.192882829,3.898501687,4.177530486,4.706070215,5.062640328,5.698533776,6.441028019,6.47421232
Algeria,,,,,,0.054539766,0.107586829,0.397515932,0.492650609,0.817843828,1.357578396,2.248284117,2.428309557,2.597126783,3.000771406,3.264623716,4.006346574,5.584923796,6.919541673
Ecuador,,,,0.020522861,0.04987705,0.052079074,0.085888993,0.194423643,0.328020752,0.700849577,1.074928878,1.634765984,1.475361228,4.321803831,5.445969679,6.725512804,8.256673168,9.740478849,9.739068144
Egypt,,,,,0.074575149,0.078997614,0.11221923,0.196438508,0.354190066,0.643182973,1.019637571,1.403436896,1.859256987,2.324211721,2.835381399,3.26149297,3.679095785,4.517300321,5.196121387
Eritrea,,,,,,,,,,,0.000817515,0.001259471,0.002055334,0.002376597,0.003017491,0.002305335,0.003059893,0.007421003,0.008649452
Spain,,,0.189554715,1.144843145,3.017157,5.050306713,7.9639125,11.60519889,15.30278446,18.0363781,20.19291839,21.42007308,23.06605005,24.00950447,24.64903463,26.10878739,27.63110934,28.69316342,29.45343783
Estonia,,,,1.28812155,3.450389337,6.741557934,10.41174898,13.52338519,18.71266282,20.17678264,22.53050289,24.07010165,26.79046278,26.95608645,27.07723559,28.04021904,28.8999362,30.00475697,31.06762424
