Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,76892,91056,121408,121408,80939,48000,52800,54600,55000,54300,54000,51600,74800,138000,112000,128000,128000,112000,84000,45000,73000,66700,68000,68000,75000,69300,40000,45000,55000,28000,60000,60000,60000,60000,60000,60000,60000,60000,60000,50000,50000,50000,30000,25500,30000,31950,35000,35000,33000,33000,33000,33000,36300
Albania,22916,21913,22956,23073,22765,22728,22662,22115,21886,21994,21779,22000,23000,23300,23300,23500,22000,21500,21000,20800,20900,19900,17600,16000,15000,15000,14000,15000,12000,12000,2000,1300,200,200,300,500,800,880,880,990,840,840,1000,1060,1080,1080,950,740,740,740,740,740,740
Algeria,5510,5000,4600,3950,3830,4640,4310,4290,4170,1960,2410,2350,1790,1110,1080,470,130,150,100,100,100,100,100,100,100,100,100,100,100,99,114,116,119,121,125,128,132,136,139,143,146,148,152,156,82,106,124,143,162,200,209,250,260
Angola,90154,87865,88191,90453,92720,89434,93416,98384,123562,131300,142500,115500,139000,148000,92000,82000,76000,76000,71000,10500,16000,19000,17000,15700,11700,11700,11700,11700,11700,11882,11700,11333,11326,12300,12200,12350,12500,12684,11250,11457,3383,3374,3392,3441,3450,3450,3450,3450,3590,3778,4692,4774,4780
"Antigua and Barbuda",500,375,445,250,400,790,781,405,350,400,430,560,610,380,343,419,356,353,330,191,132,167,80,300,1000,900,900,850,750,750,650,670,670,670,550,550,550,550,550,600,600,650,700,700,700,700,700,700,700,700,700,560,565
Argentina,505105,544665,524770,523946,538120,445470,334710,287500,413560,459320,373370,405300,462750,480100,510570,419250,523250,611950,674250,572700,285450,402750,346850,473150,450450,342200,276650,495700,505100,548568,542400,533200,306380,488398,684463,973507,892369,882267,644125,336214,392294,168914,149910,259105,378906,308640,397348,307723,294191,445362,627984,532811,347355
Australia,16382,13436,16583,16704,16109,23009,22309,32314,33309,32500,35505,40100,43600,41700,38500,29800,35300,41600,49800,75000,83600,103500,96500,137400,183100,177000,156000,244600,194100,239800,279000,312000,286000,294000,246000,303900,396100,438200,565100,464300,527300,409000,224500,198100,320900,335500,143600,62700,164000,208300,588294,596497,444000
Austria,98,78,75.4333,72.8667,70.3,67.7333,65.1667,62.6,60.0333,57.4667,54.9,52.3333,49.7667,47.2,44.6333,42.0667,39.5,36.9333,34.3667,31.8,29.2333,26.6667,24.1,21.5333,18.9667,16.4,13.8333,11.2667,8.7,6.1333,3.5667,1,1,800.5,1600,5250,9100,7600,6100,4600,3100,1600,500,500,400,700,419,301,403,544,513,507,602
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233000,224000,214000,210400,213441,211804,155522,94382,101200,83345,60961,66754,77875,112163,100391,74738,48249,20643,30175,42829,29217,23368
Bangladesh,883083,746388,737088,724964,952774,915200,1037050,936302,1028790,952868,728881,929642,918797,606193,531000,670250,755935,858140,780167,653225,597132,605479,608215,702074,952790,1081495,792831,536616,571586,582200,608743,610909,512863,601647,496163,546273,615222,496810,426063,468484,477717,456174,427949,414764,424619,433709,457000,437947,433417,434692,727597,780827,702200
