"Data Item",1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"Peacekeeping Operations",12.2449,21.76871,23.12925,21.76871,24.4898,24.4898,24.4898,24.4898,34.0136,36.7347,44.89796,34.0136,35,43.53741,54.42177,68.02721,66.66666,68.02721,63.94558,51.70068,34.0136,32.65306,32.65306,32.65306,35.37415,47.61905,57.14286,58.5034,58.5034,58.5034,66.66666,66.66666,54.42177,53.06123,54.42177,54.42177,54.42177,53.06123,54.42177,54.42177,78.91156,89.79591,102.0408,111.5646,163.2653,210.8844,221.7687,213.6054,219.0476,209.5238,198.6395,219.0476,205.4422,167.3469,176.8707,153.7415,172.7891,185.034,189.1156,167.3469,167.3469
Peacekeepers,0.75,1,1,1,1,1,1,1,5.712439875,35,31.08959625,33.17929,35,152,135.1769444,159,77.04044556,66.53273,57.69486,46.20045,33.41736667,25.70604,22.71708,20.47768,20.157995,20,53.48081111,56.1927475,55.49560333,55.04467125,55.38918778,82,63.76759111,61.53774,61.57,61.628168,59.45591,59.02524,59.11,59.1932675,59.10218111,67.07924625,99,68.31752375,109.94975,303,430,391,150,155,94.143076,91.56188714,125.964775,230.757,286,252.8514375,304.6162111,398.4276222,445.8742,502.8662333,546.4818
