Country,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Albania,,,,,,,,,,,,,,,,,,,33.4,35.3333,37.2667,39.2,41.1333,43.0667,45,46.9333,48.8667,50.8,52.7333,54.6667,56.6,58.5333,60.4667,62.4,64.3333,66.2667,68.2,70.1333,72.0667,74
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.5,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.5,92.7364,92.9727,93.2091,93.4455,93.6818,93.9182,94.1545,94.3909,94.6273,94.8636,95.1
Argentina,77,76.9462,76.8923,76.8385,76.7846,76.7308,76.6769,76.6231,76.5692,76.5154,76.4615,76.4077,76.3538,76.3,77.36,78.42,79.48,80.54,81.6,82.2,82.8,83.4,84,84.6,85.2,85.8,86.4,87,87.6,87.36,87.12,86.88,86.64,86.4,86.2833,86.1667,86.05,85.9333,85.8167,85.7
Armenia,,,,,,,,,,,,,,,,,,,54.8,56.6133,58.4267,60.24,62.0533,63.8667,65.68,67.4933,69.3067,71.12,72.9333,74.7467,76.56,78.3733,80.1867,82,82.1,82.2,82.3,82.4,82.5,82.6
Australia,94.8,94.7722,94.7444,94.7167,94.6889,94.6611,94.6333,94.6056,94.5778,94.55,94.5222,94.4944,94.4667,94.4389,94.4111,94.3833,94.3556,94.3278,94.3,94.03,93.76,93.49,93.22,92.95,92.68,92.41,92.14,91.87,91.6,91.8,92,92.2,92.4,92.6,92.1,91.6,91.1,90.6,90.1,89.6
Azerbaijan,,,,,,,,,,,,,,,,,,,76.6,76.8667,77.1333,77.4,77.6667,77.9333,78.2,78.4667,78.7333,79,79.2667,79.5333,79.8,80.0667,80.3333,80.6,80.5,80.4,80.3,80.2,80.1,80
Bangladesh,,,,,,,,,,,,,,,,,,,84.8,85.081,85.3619,85.6429,85.9238,86.2048,86.4857,86.7667,87.0476,87.3286,87.6095,87.8905,88.1714,88.4524,88.7333,89.0143,89.2952,89.5762,89.8571,90.1381,90.419,90.7
Belarus,,,,,,,,,,,,,,43.8,44.02,44.24,44.46,44.68,44.9,46.1533,47.4067,48.66,49.9133,51.1667,52.42,53.6733,54.9267,56.18,57.4333,58.6867,59.94,61.1933,62.4467,63.7,67.8333,71.9667,76.1,80.2333,84.3667,88.5
"Bosnia and Herzegovina",,,,,,,,,,,,,,,,,,,79.1,79.481,79.8619,80.2429,80.6238,81.0048,81.3857,81.7667,82.1476,82.5286,82.9095,83.2905,83.6714,84.0524,84.4333,84.8143,85.1952,85.5762,85.9571,86.3381,86.719,87.1
Brazil,,,,,,,,,,,,,,75.5,76.4933,77.4867,78.48,79.4733,80.4667,81.46,82.4533,83.4467,84.44,85.4333,86.4267,87.42,88.4133,89.4067,90.4,90.72,91.04,91.36,91.68,92,91.5333,91.0667,90.6,90.1333,89.6667,89.2
Bulgaria,,,,,,,,,,,,,,,,,,,55.5,55.59,55.68,55.77,55.86,55.95,56.04,56.13,56.22,56.31,56.4,56.7455,57.0909,57.4364,57.7818,58.1273,58.4727,58.8182,59.1636,59.5091,59.8545,60.2
"Burkina Faso",,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.7,,,,,,,,,,,
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.2,,,,,,,,,,,
Chile,,,,,,,,,,,,,,71.8,73.38,74.96,76.54,78.12,79.7,79.68,79.66,79.64,79.62,79.6,79.58,79.56,79.54,79.52,79.5,80.5,81.5,82.5,83.5,84.5,84.2,83.9,83.6,83.3,83,82.7
China,,,,,,,,,,,,,,66.6,70,73.4,76.8,80.2,83.6,82.92,82.24,81.56,80.88,80.2,79.52,78.84,78.16,77.48,76.8,78.34,79.88,81.42,82.96,84.5,85.2333,85.9667,86.7,87.4333,88.1667,88.9
Colombia,,,,,,,,,,,,,,,,,,,84.3,84.56,84.82,85.08,85.34,85.6,85.86,86.12,86.38,86.64,86.9,87.82,88.74,89.66,90.58,91.5,91.15,90.8,90.45,90.1,89.75,89.4
