"Data Item",1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Democracies,1,2,6,6,7,7,8,8,8,8,8,8,8,8,7,7,7,8,10,10,18,21,23,25,25,25,23,22,23,23,22,22,23,20,18,18,18,17,17,17,13,12,12,11,11,12,15,20,21,23,25,25,27,27,27,27,29,29,27,28,29,30,31,33,34,34,34,36,36,36,38,38,38,37,37,38,38,38,40,40,41,40,40,41,44,47,47,47,51,51,57,67,69,76,78,84,84,84,87,86,87,88,92,94,95,91,92,94,93,100,98,101,98,96,99,99,98,97,99,87
Autocracies,112,113,112,116,117,119,119,119,119,119,120,122,124,125,126,128,131,130,135,137,132,127,128,126,126,126,128,129,128,128,129,129,127,130,133,133,133,134,134,132,133,135,134,135,136,137,135,132,133,133,130,131,129,129,129,129,127,127,129,128,126,126,125,123,122,122,122,119,119,119,117,119,119,120,119,118,117,117,115,115,114,115,115,114,111,108,108,108,104,105,111,104,103,97,96,90,90,90,88,90,89,88,84,83,82,86,85,84,85,78,80,78,81,83,80,80,81,82,80,92
