Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,,,,,,380,380,380,351.1286,322.2571,293.3857,264.5143,235.6429,206.7714,177.9,141.2,94.5,55.2,40,27,,,,
Albania,,,,,,40.3,40.1,41.9,46.5,53.1,61.9,68.8,49.9,35,36.6,14.3,15.2,4.1,,,,,,
Algeria,,,,2146.4,2226,2292.2,2292.2,1774.2,1549.2,1502.2,1474.6,1021.8,1761.8,1761.8,1045,859,302.6,200,149.6,110.9,,,,
Angola,,,,,,114.8,114.8,114.8,115.9,111.45,107,114.8,105,104.2,75.6,52,42.1,17,9.7,16,,,,
"Antigua and Barbuda",421.3,427.8,429,426.1,12.4,11.5,10.3,10.3,26.5,-2,5,3.1,3.7,1.5,1.9,1.1,1.1,0.6,0.1,,,,,
Argentina,2138.2,2796.8,4306,1805.9,4569.4,6365.9,4202.1,3523.7,3546.3,4316.3,2396.7,3293.1,2139.2,2255.2,2211.6,1675.5,1654.2,529,50.9,126.6,77.45,28.3,,
Armenia,,,,,,201.8,196.5,191.2,185.9,9,25,162.7,172.7,172.7,110.7,84,59,25,13.6,18.1,,,,
Australia,7416.4,6811.7,5556,3409.3,3894.9,2584.7,234.2,183.9,195.1,274.1,6.5,6,9.8,1.1,-61.8,-51.4,-80,-55,-42,-46.4,-23.9,-30.1,-15.2,-7.5
Austria,1801.9,1738.3,1530.5,558.9,922.5,,,,,,,,,,,,,,,,,,,
Azerbaijan,,,,,,,456.5,201.2,152.2,99.9,87.8,52,12,10.2,15.1,21.9,,,,,,,,
Bahamas,,,0.7,65.8,68.1,69.9,72,52.7,54.6,53.8,65.9,63,55.4,29.6,18.8,13,4,,,,,,,
Bahrain,107,85.3,118.6,111.1,118.1,121.9,137.2,147.2,149.5,129,113.1,106,94.6,85.8,64.8,58.7,32.4,14.7,11.7,10.5,,,,
Bangladesh,195.1,92.9,213.1,226.6,180.6,280.7,628.3,832.2,830.4,800.6,805,807.9,328,333,294.9,263,196.2,154.9,158.3,127.6,48,48,,
Barbados,20.9,25.4,20.6,29.5,35.3,25,22.4,17.2,22.5,16.5,8.1,12.5,9.5,8.6,14.1,6.7,7.9,1.9,1.1,,,,,
Belarus,1230,1185.4,914.2,914.2,900.4,578.6,523.5,371.8,256.2,193.7,,,,,,,,,,,,,,
Belize,,,,,,22.3,24.7,26.1,25,25.1,15.5,28,21.7,15.1,12.2,9.6,3.9,2.2,,,,,,
Benin,57.7,37.3,44.3,37,37,61.8,58.4,59.6,54.2,56.6,54.6,54,35.5,17.3,11.5,10,14.2,7.9,5.2,3.5,,,,
Bhutan,,,,,,0.1,0.2,0.2,0.1857,0.1714,0.1571,0.1429,0.1286,0.1143,0.1,0.1,0.1,,,,,,,
Bolivia,,14.4,34.9333,55.4667,76,81.6,87.1,58.4,74.1,72.2,78.8,76.7,65.5,32.1,42.4,26.7,33.1,2.4,2.6,,,,,
"Bosnia and Herzegovina",,145.1,19.5,15,7.5,3,20.6,49,45.1,151,175.9,199.7,243.6,230,187.9,50.8,32.6,22.1,8.8,,,,,
Botswana,,,12,14.6,8.4,8.4,5.4,6.8,2.6,2.6,2.5,4,3.6,5.1,2.7,1.9,0.7,0.6,0.3,,,,,
Brazil,8538.8,8503.6,8933.6,9817.8,10778.2,10895.7,10872,9809.7,9542.9,11612,9275.1,6230.9,3000.6,3224.3,1870.5,967.2,376.8,305.3,284.3,46.9,-13.8,,,
Brunei,,,58.6,81.2,63.3,64.6,80.1,90,63.5,36.7,46.6,31.4,43.4,32.3,60.2,39,27.8,9.9,2.4,0.5,,,,
Bulgaria,2034,1556,1279,690.2,684,322.4,4,,,,,,,,,,,,,,,,,
"Burkina Faso",27.8,29.2,29.2,30.6,33.6,33.6,37.6,37.6,37,30.6,25.4,19.6,16.3,13.2,10.5,7.4,5.2,4.2,,,,,,
Burundi,43,45.6,48.2,50.8667,53.5333,56.2,58.8,61.9,64.5,59.6,53.8,46.5,19.1,9.2,3.9,3.5,3.5,3.1,1,0.4,,,,
Cambodia,,,,,,94.2,94.2,94.2,94.2,94.2,94.2,94.2,94.2,86.7,70.4,44.5,28.3,11.6,1.4,,,,,
Cameroon,77.7,66.5,63.7,156.6,156.6,230.7,280.4,259.5,311.8,361.5,368.7,364.1,226,220.5,148.5,120,103,25,17,-1.5,-6,-8,-11,
Canada,13173.6,8819.4,10746.8,4521,4852.8,4816.4,128.8,136.2,42.2,-4.8,10.1,0.1,-12.6,-0.2,,,,,,,,,,
"Cape Verde",2.2,2.1,2.2,2.3,2.3,2.4,2.3,2.2,2.1,2,1.9,1.9,1.8,1.8,1.5,0.9,,,,,,,,
"Central African Republic",,42.8,44.5,31.2,31.2,27.3,6.4,6.7,7,1.4,4.3,4,4.4,4.1,3.9,2.6,2,1.3,,,,,,
