Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Australia,221,240,259,278,296,317,283,260,234,206,200,206,212,216,218,191,181,170,158,143,145,134,134
Austria,493,644,688,780,971,1153,1234,1139,912,709,602,660,643,576,507,517,475,384,391,358,352,322,326
Belarus,,,,,,,,,,,,,,1,1,1,2,2,2,2,2,2,2
Belgium,1651,1564,1732,1665,2024,2243,2159,565,310,155,151,146,121,106,94,101,80,83,91,98,107,116,117
Bulgaria,4,4,4,5,5,5,5,6,6,6,7,7,8,8,9,9,9,9,10,10,13,15,12
Canada,3392,3874,2691,2499,2570,2396,1861,1923,2478,2534,3052,2689,3169,2787,2457,1492,1596,772,684,393,459,422,449
Croatia,11,11,11,11,11,12,12,12,13,13,12,12,13,13,13,14,14,14,13,8,9,10,10
"Czech Republic",79,79,80,81,82,83,92,89,86,96,111,111,128,151,121,113,102,89,95,105,71,84,92
Denmark,44,64,89,101,122,108,61,73,60,65,59,30,25,31,33,22,36,30,32,37,38,73,118
Estonia,,,,1,3,3,3,3,3,3,3,2,1,1,1,1,1,1,1,1,2,2,2
Finland,115,83,46,30,31,71,72,71,56,50,54,54,58,62,59,66,71,53,51,50,35,36,37
France,2286,2366,2420,2475,2644,2717,2777,2781,2899,2557,2445,1976,1629,1608,1641,1376,1242,1118,1098,928,851,665,672
Germany,4642,4975,5491,6262,6551,6779,6460,6404,6173,4497,4269,3933,3236,3181,3400,3480,3398,3334,3115,3065,3194,3316,3307
Greece,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,6,8,10,8,5,6,5,5
Hungary,88,102,99,130,149,170,175,211,168,205,195,226,174,180,330,238,186,253,276,221,235,220,153
Iceland,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,5,3,6
Ireland,36,41,46,55,65,83,102,132,93,67,54,68,68,115,69,102,63,66,57,41,35,48,39
Italy,333,356,358,370,416,601,683,729,605,405,493,795,740,468,502,465,406,428,436,398,373,351,356
Japan,13168,14678,16189,16194,15425,16961,17535,14998,13624,9310,7188,5962,5580,5254,5096,4808,4911,4407,3761,1851,1862,1638,1585
Latvia,,,,,,,,1,1,1,1,2,3,4,5,8,7,9,10,14,13,12,14
Lithuania,,,,,,,,,,,,,,2,1,1,1,1,3,3,6,8,4
Luxembourg,1,1,1,1,1,2,2,2,2,2,2,3,3,4,5,5,6,6,7,7,7,8,8
Malta,,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,
Netherlands,218,134,143,150,191,287,295,325,305,295,295,308,249,225,253,240,199,188,184,170,184,147,196
"New Zealand",15,16,16,17,17,18,18,18,17,16,11,11,15,18,22,19,15,15,15,20,20,18,20
Norway,2200,2079,705,738,878,608,574,580,727,874,934,791,238,228,276,312,212,76,65,61,75,61,60
Poland,,,,,14,31,25,24,25,25,24,24,24,22,23,28,35,33,34,39,37,41,42
Portugal,,,,,,7,7,9,9,10,10,11,10,16,26,26,26,37,36,41,44,44,45
Romania,,,,,1,1,1,1,1,1,7,11,9,8,11,13,19,23,27,37,48,38,41
Russia,1202,1092,354,170,102,416,1055,1053,845,681,697,867,940,1101,1236,1340,1361,1391,831,791,668,509,5969
Slovakia,,,,,9,10,11,11,12,13,13,13,14,15,16,16,17,17,19,19,20,21,21
Slovenia,10,10,10,11,11,13,13,14,13,16,16,16,17,18,18,19,18,18,17,16,17,17,17
Spain,67,73,76,80,89,108,115,130,139,172,198,174,194,188,219,225,255,263,264,242,241,247,220
Sweden,107,109,108,97,100,127,108,153,99,102,94,111,104,69,81,142,111,151,84,81,72,60,55
Switzerland,144,146,148,126,112,98,94,131,160,147,158,157,168,174,190,213,201,186,245,187,155,164,224
Turkey,,,,,,,374,611,660,517,323,308,477,479,705,859,911,952,843,803,876,950,971
Ukraine,,,,,,,,,,,,,1,2,3,5,4,5,10,10,10,9,12
"United Kingdom",987,1029,1071,1114,1157,1201,1245,1219,1271,1450,1787,1401,1444,1261,1046,986,739,746,585,561,648,559,542
"United States",32635,31253,31447,30903,29403,27960,27203,25362,22239,21972,18767,17888,16821,16524,15213,14651,13308,11754,10733,9595,9817,10815,8387
