Country,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,,29,29,29,29,29,29,29,29,29,29,29,29,29
Albania,38.7,38.7,38.7,38.7,38.7,38.7,38.7,35.7,35.7,35.7,35.7,34.9,34.9,34.9
Algeria,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,19.9,19.9,19.9
Angola,44.4,44.4,44.4,44.4,44.4,44.4,44.4,44.4,44.4,44.4,44.4,44.4,44.4,44.4
"Antigua and Barbuda",,,27.1,27.1,27.1,27.1,27.1,27.1,27.1,27.1,27.1,27.1,27.1,27.1
Argentina,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,18.5,20.5,22.5,22.5,22.5
Armenia,21,21,21,21,21,21,21,21,21,21,16,16,16,16
Australia,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,21.8,21.8,21.8,21.8,21.8,21.8
Austria,15.1,15.1,15.1,15.1,15.1,20.4,20.4,20.4,20.4,20.4,20.4,20.6,20.6,20.6
Azerbaijan,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5
Bahamas,,,,,28.9,28.9,28.9,28.9,28.9,28.9,28.9,28.9,28.9,28.9
Bahrain,,,,,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7
Bangladesh,66.8,66.8,66.8,66.8,66.8,66.8,66.8,66.8,66.8,66.8,66.8,66.8,66.8,66.8
Barbados,,,,,,,,,19.7,19.7,19.7,19.7,19.7,19.7
Belarus,17.4,17.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4
Belgium,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,18,18
Belize,,,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5
Benin,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7
Bhutan,93.7,93.7,93.7,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,23.1,23.1,23.1
