Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Afghanistan,78.23,78.26,71.07,80,81.18,74.54,83.12,85.14,87.72,75.16,69.59,85.59,92.94,94.5,97.64,100.96,90.1,96.03,92.87,89.48,85.46,81.74,78.79,75.01,71.06,67.57,74.67,66.22,62.35,59.53,60.19,53.71,64.27,69.01,71.78,71.07,81.8,87.47,71.22,43.12,46.19,82.05,98.54,79.36,118.83,101.81,127.74,88.91,144.65,133.09,104.88,139.24,142.26,147.09
Albania,47.69,56.07,48.23,62.06,58.63,78.39,88.36,92.6,98.69,101.31,101.93,109.28,119.23,122.52,124.44,165.27,176.02,180.51,186.65,170.01,174.77,188.58,209.06,203.87,194.58,204.23,199.95,194.44,202.37,181.68,87.38,78.69,128.79,125.46,126.52,95.3,117.55,119.21,96.12,112,98.48,103.45,97.03,98.54,101.28,100.18,96.43,121.21,125.82,137.48,138.46,138.59,139.59,138.69
Algeria,20.45,58.63,58.54,36.21,43.06,15.98,40.16,52.44,45.02,50.54,41.54,58.22,37.47,34.48,66.72,56.64,24.66,35.6,37.34,58.65,43.67,34.48,28.5,31.82,69.45,56.07,48.51,21.05,46.8,34.62,92.13,81.54,33.58,20.22,51.78,125,15.74,77.46,49.48,20.25,68.68,48.95,111.8,104.84,91.12,104.04,91.93,35.99,133.35,102.57,96.04,134.26,128.19,88.57
Angola,70.85,70.19,67.02,73.26,73.29,66,68.15,67.44,82.45,75.22,68.45,66.28,71.68,66.09,71.59,72.4,55.03,60,45.45,54.92,39.94,39.86,42.33,40.4,37.95,42.09,44.65,41.02,34.15,30.94,46.06,49.52,38.83,37.7,38.89,67.13,56.69,77.15,68.82,66.01,77.22,93.94,91.47,93.78,115,91.22,97.35,90.47,128.56,143.84,173.25,59.68,204.05,223.06
"Antigua and Barbuda",,,,,,48.32,28.99,48.32,72.48,96.64,128.85,148.18,45.1,59.6,96.64,82.14,48.32,56.37,154.63,46.71,72.48,95.03,109.53,46.71,61.21,64.43,77.31,91.81,96.64,80.53,88.59,81.83,80.74,79.56,72.48,78.55,79,79.61,80.17,77.31,81.81,80.53,88.59,96.64,98.66,104.69,104.61,109.53,106.78,102.25,115.72,112.84,116.04,119.16
Argentina,37.39,36.65,45.28,55.38,36.3,45.23,51.13,42.14,48.73,53.38,58.34,49.54,63.54,63.29,62.14,67.47,60.74,75.4,68.25,50.3,81.48,95.21,87.85,88.17,76.46,70.91,62.32,60.76,49.67,52.64,62.24,70.6,69.84,65.02,72.86,66.26,102.82,111.52,90.43,104.93,101.03,96.1,88.41,95.39,115.08,89.53,116.16,123.95,72.47,109,139.4,129.8,136.53,138.29
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.85,80.58,58.46,64.96,83.51,68.12,91.23,83.61,62.56,100.14,114.71,83.75,130.08,114.39,55.53,126.91,115.72,102.21,88.34,123.26,129.16,157.03,170.27
Australia,28.43,35.26,37.38,41.38,29.86,52.66,30.58,60.7,45.61,39.66,45.93,33.12,54.52,52.6,56.58,55.19,45.1,81.5,74.88,51.77,76.42,44.67,98.65,91,79.97,76.38,62.18,70.44,72.4,75.96,59.73,82.31,86.73,50.85,88.97,116.61,102.54,110.03,118.53,113.1,128.38,62.21,131.84,110.69,126.73,62.58,74.5,111.11,108.96,106.32,130,141.95,116.49,123.81
Austria,37.69,38.1,37.1,39.41,33.6,45.24,50.84,52.84,59.1,52.76,61.59,57.32,66.21,70.89,65.48,76.18,74.61,81.76,70.44,85.65,77.2,89.71,91.16,96.35,100.48,92.74,90.55,97.54,90.13,95.37,91.36,78.06,75.86,80.6,81.3,89.95,100.98,96.49,96.64,91.52,99.52,93.52,88.07,109.99,102.2,87.81,93.95,113.15,101.77,105.95,119.5,103.26,97.79,119.56
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.17,54.95,48.95,42.34,47.62,55.8,45.84,52.49,73.23,96.76,106.85,98.51,101.47,99.72,98.82,92.95,115.01,143.6,90.61,115.91,133.23,137.9,111.64
Bahamas,25.78,39,52.44,65.78,78.11,114.11,119.44,125,130.33,135.72,141.06,146.33,154.5,158.57,162.64,166.71,170.78,195.78,193,192.72,192.94,198.89,201.67,215.44,221,221.67,202.78,188.89,188.89,203.33,205,136.11,109.18,84.73,84.73,84.44,94.56,102.78,103.88,85.56,82.22,83.61,93.33,97.5,98.06,104.44,109.94,137.78,165.67,187.29,189.79,190.61,181.2,123.24
