Country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Albania,,,,,,,,,,,,,,,,55.4
Algeria,,,,,,,,,,25.9,,,,,,
Andorra,64.3,62.9867,61.6733,60.36,59.0467,57.7333,56.42,55.1067,53.7933,52.48,51.1667,49.8533,48.54,47.2267,45.9133,44.6
Argentina,61.3,57.0778,52.8556,48.6333,44.4111,40.1889,35.9667,31.7444,27.5222,23.3,24.4333,25.5667,26.7,27.8333,28.9667,30.1
Armenia,,,,,,,,,,37.8,35.5,33.2,30.9,28.6,26.3,24
Austria,,,,,,,,,,,,,,,,54.7
Australia,35.1,35.1667,35.2333,35.3,35.3667,35.4333,35.5,35.5667,35.6333,35.7,35.7167,35.7333,35.75,35.7667,35.7833,35.8
Azerbaijan,,,,,,,,,,33.1,33.9667,34.8333,35.7,36.5667,37.4333,38.3
Bangladesh,,,,,,,,,,,,,,,,43.7
Belarus,,,,,,,,,,29.4,30.8167,32.2333,33.65,35.0667,36.4833,37.9
Bolivia,,,,,,,,,,,,,,,,18.3
"Bosnia and Herzegovina",,,,,,,,,,,,,,,,53.4
Brazil,28.3,30,31.7,33.4,35.1,36.8,38.5,40.2,41.9,43.6,43.6,43.6,43.6,43.6,43.6,43.6
Bulgaria,32.4,32.94,33.48,34.02,34.56,35.1,35.64,36.18,36.72,37.26,37.8,38.34,38.88,39.42,39.96,40.5
"Burkina Faso",39.2,,,,,,,,,,,,,,,
Canada,30.3,,,,,,,,,,,,,,,
Chile,31.6,30.8222,30.0444,29.2667,28.4889,27.7111,26.9333,26.1556,25.3778,24.6,23.1167,21.6333,20.15,18.6667,17.1833,15.7
China,38.3,37.3556,36.4111,35.4667,34.5222,33.5778,32.6333,31.6889,30.7444,29.8,32.8,35.8,38.8,41.8,44.8,47.8
Colombia,,,,,,,,,,14.6,16.2833,17.9667,19.65,21.3333,23.0167,24.7
Croatia,,,,,,,,,,,,,,,,44.2
