Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Norway,,,,,,,,,,,14.8,14.28,13.76,13.24,12.72,12.2,11.94,11.68,11.42,11.16,10.9,10.6,10.3,10.1,9.8,9.6,9.2,9.1,8.5,7.8,7.8,7.4,6.9,6.8,6.6,6.5,6.3,6.4,6.2,6.1,6,5.8,5.7,5.4,5.2,5.2,5,5,4.8,6.4,6.3,6.1,5.8,5.5,5.5,6.2,
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,7.6,7.4,7.5,7.4,7.3,7.1,6.8,6.7,6.6,6.9,
Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,7.3,7.1,7.8,7.8,7.4,7.2,7.1,7.1,7,7.1,6.9,6.8,7,7,7,7.5,7.2,7.2,7.1,
Slovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5,10.1,9.4,8.7,8.4,8.1,7.7,7.4,7.3,7.3,7.2,7,6.9,6.7,6.6,6.3,6.2,6.2,7,6.9,
Spain,,,,,,,,,,,,,,,,,,,,,,,,,,10.1,9.9,10,9.8,9.7,9.6,9.3,9.2,9.1,9,8.8,8,7.6,7.5,7.3,7.1,7,7,6.9,6.7,6.7,6.6,6.6,6.5,6.4,6.3,6.1,6.1,6,5.9,5.9,
Sweden,,,,,,,,,,,11,10.6,10.2,9.8,9.6,9.5,9.1,9,8.9,8.7,8.5,8.3,8.2,8,7.8,7.5,7.3,7.1,6.9,6.8,6.5,6.2,5.8,5.5,5.3,5.2,5,5.1,7,6.8,6.6,6.6,6.5,6.4,6.3,6.2,6.3,6.1,6.2,6.2,5.8,5.7,5.6,5.6,5.6,5.7,
Switzerland,,,,,,,,,,,,,,,,15,15.1,15.2,15.3,15.4,15.5,15.4,15.1,15.1,15,14.7,14.2,14.5,14.2,14,13.4,13,12.1,12.1,12,12,12,10.5,9.9,9.8,9.3,9.2,9.1,9,8.8,8.5,8.2,7.8,7.7,7.5,6.6,6.5,6.1,5.9,5.8,5.7,
Turkey,,,,,,,,,,,,,,,,,,,,,8.5,8.5,7.7,7.6,7.2,7,6.8,6.7,6.5,6.5,6.5,6.5,6.5,6.4,6.2,6,5.9,5.8,5.6,6.5,5.6,5.6,5.8,5.7,5.6,5.3,5.1,4.4,4.1,4.1,4,3.9,3.9,3.9,4,3.9,
"United Kingdom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7,7.5,7.3,7.1,6.9,6.6,6.4,6.3,6.2,6.1,6,6,6,6,6,
"United States",7.6,7.6,7.6,7.7,7.7,7.8,7.9,8.3,8.4,8.3,8.2,8,7.9,7.8,7.8,7.7,7.7,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.3,7.1,7.1,7.2,7.2,7.3,7.3,7.2,7.1,7,6.8,6.5,6.2,6.1,6,5.9,5.8,5.8,5.7,5.7,5.6,5.6,5.6,5.5,5.5,5.4,5.4,5.4,5.4,5.4,5.5,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,15,14.5,14.4,14.3,14.3,14.3,14.4,13.1,12.5,11.4,10.5,9.6,9.2,8.8,8,7.3,6.9,6.9,6.4,6.2,6,5.9,5.9,5.7,5.6,5.5,5.5,5.6,5.5,5.4,5.5,
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6.1,6,6,6,5.9,7.3,5.7,5.1,5.2,5.2,5.4,5.4,5.3,5.1,5.2,
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,13.6,13.3,13.3,13.6,13.8,13.7,13.6,13.6,13.6,13.6,13.6,14.3,14,13.7,13.5,13.2,12.9,12.6,12.2,11.9,11.5,11.4,11.3,11,10.8,11.3,10.8,10.3,9.9,9.7,
Slovenia,,,,,,,,,,,,,,,,,,,,,11.5,11.34,11.18,11.02,10.86,10.7,10.5,10.3,10,9.8,9.8,9.4,9.3,9.2,8.9,8.8,8.8,8.4,7.9,7.5,7.1,6.8,6.6,6.1,6.2,5.8,5.8,5.5,5.7,5.6,5.5,6.8,6.9,6.6,6.6,6.5,
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,5.5,5.5,5.4,5.3,5.5,5.6,5.8,5.9,5.9
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,8.3,8,7.9,7.8,7.4,7.2,7.1,7.1,6.1,6.2,6,5.8,5.8,5.9,6,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.7,14.1,13.5,12.8,12,10.6,9.1,8.6,8.4,8.1,7.7,7.5,7.3,7.3,7.1,6.9,6.7,6.4,6.3,6.4,6.3,6.3,6.4,6.3,
