Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Australia,,,,,,,59.92689755,60.12865203,60.20345975,60.18025025,61.15517819,61.0196599,61.34507538,61.57473728,61.38096944,61.59342982,61.28882157,61.79442051,60.93201022,60.75705562,61.29511826,61.13587444,60.78106339,60.43699865,60.55017563,60.8055633,61.88730923,61.9582079,62.37942552,63.15969827,63.74686045,63.13826176,62.86331127,62.45095554,62.93410915,63.54214056,63.52009604,63.12334033,62.99785742,62.76399213,63.13834439,63.29884809,63.36389354,63.58591278,63.45979315,64.39760424,64.7566105,65.1762319,65.48123845,65.43127683,65.3906343,65.42254198,65.15562037,64.94482265,64.71373601,65.00884993,64.8755161,65.14721785
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.06287985,59.23565314,58.56657798,58.5444571,58.45685016,58.61745735,58.46281785,58.54187676,59.12599551,59.4507913,57.9300642,58.55834881,59.08239142,59.93623591,60.17306753,60.44493199,60.39602468,60.48918768,60.76281193,60.92017,60.69407925,60.72269023,61.20694976,61.21874824
Belgium,,,,,,,,,,,,,,,,,,,,,,,,50.68018238,49.73728977,49.95604458,49.8716428,49.10784859,48.64411181,48.39760779,48.33933258,49.27478723,49.63291779,49.73458739,50.33093894,50.53550578,50.40814812,50.52356751,50.85223932,51.91075686,52.18152426,51.3439031,51.74311951,51.82533456,52.54555306,53.29941714,53.1142994,53.59281215,53.6782083,53.4728383,54.06985686,53.19861258,53.24907336,53.55899936,53.50597841,53.30946284,53.11308389,53.836285
Canada,,,,,,,,,,,,,,,,,61.49417903,61.84980985,62.73314189,63.66270364,64.26384132,65.02872798,64.38592192,64.71746173,65.04097419,65.64092232,66.09565472,66.46894338,66.84116156,67.25410942,67.1375705,66.57270312,65.69507682,65.33216221,65.1460147,64.81981693,64.66430016,64.86727129,65.11904765,65.52069179,65.75659197,65.90156055,66.85480874,67.55382701,67.48019344,67.13583573,67.01026926,67.43532132,67.54981514,67.08452122,66.90493733,66.69652129,66.50025325,66.45105722,65.9866738,65.83844732,65.70475377,65.75768509
"Czech Republic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.4224102,61.61790197,61.50794592,61.24219874,61.09147275,61.02698005,60.9940173,60.39888817,60.01967038,59.8518019,59.42409892,59.17539086,59.36438733,59.26162333,58.77103409,58.5053333,58.67748432,58.44412245,58.32790098,58.6413014,59.27545614,59.31003035,59.4242641,59.92195582,60.22152686
Denmark,,,,,,,,,,,,,,,,,,,,,,,,65.49345999,66.49226207,66.72274628,67.52141016,66.74038907,67.88205219,67.66955037,68.12347482,67.82748432,68.10455124,67.37092607,64.37540343,64.60527141,65.19555777,65.44075291,65.1787418,65.80055497,65.53840397,65.94064373,65.51907106,65.50580408,66.03093731,65.64875958,65.93270078,65.71321931,65.99713172,65.33480825,64.36506423,63.93429733,63.15816874,62.35587291,62.18921805,62.21819453,63.55509862,62.26757608
Finland,,,,73.22045612,73.32197615,72.96383913,72.66331658,71.35278515,70.07227332,69.93442623,71.86885246,71.71223958,71.27659574,72.10341526,73.09885932,72.95934447,72.48195795,72.73011897,72.60828919,73.33126358,74.26629595,74.76979742,75.49527583,75.68140521,75.72202166,76.20617321,76.09085475,75.60465811,75.40346683,70.12080537,69.72452527,68.2434228,66.76354029,65.89534578,65.06401881,65.37258989,65.47248183,64.91455205,65.29138731,66.28116166,66.90592156,67.17830647,67.09216237,66.76006113,66.46356943,66.83544304,67.39843553,67.69655865,68.08988764,67.11409396,66.5512979,66.60916708,66.46206727,65.97358121,65.83638584,66.04095563,65.77890038,66.22034591
France,,,,,,,,,56.83143939,56.5923348,56.25068951,56.13238526,56.32476926,56.3532483,56.54560936,56.65217608,56.64239342,56.95102622,56.43644953,56.97170161,57.04368204,56.7801939,56.73251544,56.24280828,56.02354975,55.93703612,55.93300159,55.56453006,55.08373178,55.08727847,54.75381448,54.5558642,54.67221802,54.66508744,54.52901162,54.50187367,54.82428084,54.43955544,54.52010774,54.64918303,54.765177,54.74103763,54.88980212,56.33964451,56.321898,56.23850465,56.14873403,56.27451102,56.3644706,56.58085272,56.51238516,56.26232405,56.47435642,56.44839245,56.29980437,56.14544617,56.03608962,55.86305353
Germany,,,,,,,,,,,57.55891316,57.132261,56.94100357,57.02704388,56.59570954,56.00395526,55.56012249,55.23891238,55.18087436,55.29243995,55.4732935,55.63592052,55.72228618,55.58124624,54.98741237,55.34185476,55.47388261,55.48866272,55.64835922,55.62495968,55.80814766,59.07984893,58.44482595,58.03209906,57.7030976,57.36931057,57.39703364,57.53476137,57.85577187,57.84339496,57.55321317,57.54385965,57.2193594,56.9193309,57.13489011,58.47736567,59.02403662,59.20292016,59.29857928,59.45957477,59.51994302,60.11606206,60.05405562,60.34475272,60.40757543,60.16913372,60.9366179,61.20986828
Greece,,,,,,,,,,,,,,,,,,,,,,,,51.89847239,51.66626016,51.51325722,50.99071083,50.4238827,50.98779374,50.55175242,49.92835679,48.25484526,48.61358396,48.87957305,49.08397207,49.20406756,49.66159317,48.85364937,50.9828147,50.69749714,52.17214772,51.44729105,51.77690127,52.25842393,52.87308348,52.90138388,53.07924371,52.93472915,52.97554757,53.4475903,53.50456298,52.66455454,52.329431,52.02777121,51.82707485,51.99409758,52.15009991,52.08414153
