Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Albania,,,,,,,,,,,,,,,,,,,,,8341.498047,9139.708008,9979.962891,10938.64453,12095.36133,13168.86719,14067.86133,15281.50293,16651.29102,18108.47461,19475.17578,20819.99219,22260.31641,22660.75586,23848.40625,24653.70703,26067.96484,27256.43359,28346.27734,29426.125,31216.63672,30082.28125,28967.67188,29010.46484,29634.31055,30537.58594,31275.20898,31464.57422,31726.58984,32238.12109,33585.98047,35365.60547,37005.26172,40502.71875,44636.89844,49495.14844,63361.08203,71803.96875,82640.50781,96002.07031,94202.33594,104642.9609,89331.35938,93572.09375,112792.8281
Algeria,,,,,,,,,,,154455.2031,167330.1094,171828.5938,174938.875,177887.6094,181194.5313,183038.7969,188067.6094,194817.0313,206482.2969,230165.1563,244199.9063,259633.875,279142.0625,304936.7813,335477.5,363684.1563,404166.9063,455669.25,498346.5938,539231.625,578738.5,615149.75,629152.3125,663013.1875,693074.1875,731498.0625,752519.375,768213.875,781847.6875,810408.625,807714,805818.0625,816796.9375,829498.125,845511.625,851020.5625,862755.875,878909.5,894747.5,912808.1875,931085.1875,951533.8125,979068.375,1029980.375,1100865.5,1173725,1223665,1268023.125,1299178.375,1348453.875,1417463.75,1491193.75,1594439.125,1721823.75
Angola,,,,,,,,,,,,,,,,,,,,,77720.98438,82640.65625,87177.83594,92458.8125,98809.07031,103429.7266,105630.1641,109740.3438,113923.6172,117546.8828,120281.7031,122607.2578,125135.125,121325.1328,122040.3594,120223.9141,120850.5,120408.9609,119135.6328,116027.9063,114738.1172,117019.1563,124467.2813,130248.6797,136168.3594,145689.75,159560.9375,167298.8438,181732.3281,190761.3125,190448.4531,189098.9844,188344.6719,192070.5625,201747.4844,217491.2969,255379.7969,297778.7813,354643.5625,422951.0313,509115.875,641505.9375,683897.6875,734677.375,796054.125
Anguilla,,,,,,,,,,,,,,,,,,,,,155.7298584,178.0017242,203.3724518,231.4103851,262.4458008,291.8397827,317.2414246,348.7855835,386.2226868,426.3878784,466.321991,505.6646118,542.1747437,559.5273438,580.5043335,606.0394897,665.3704224,732.9093628,777.5892334,827.1260376,893.7669678,919.6486816,964.0643311,1011.942322,1067.412842,1132.889526,1185.890381,1243.195313,1344.735962,1485.85376,1623.39502,1713.938354,1758.303711,1825.095947,1974.980591,2189.000732,2471.682129,2821.080811,3158.324951,3159.268799,3126.500977,3101.033447,3108.843018,3165.35498,3296.04126
"Antigua and Barbuda",,,,,,,,,,,,,,,,,,,,,324.7911377,344.270874,359.5837097,375.6896362,402.3157349,419.3825684,426.9140625,433.8633423,444.3675537,481.6716003,512.6340942,545.1533813,551.2684326,541.3972778,544.6547241,557.1366577,589.7442627,632.9182739,682.2988892,734.5799561,757.5248413,793.9840088,822.9205933,858.541626,900.0029297,962.281189,1019.768066,1124.748291,1267.35083,1453.629517,1648.492432,1780.151733,1944.607056,2165.307617,2500.771729,2999.518799,3756.67041,4593.897949,5610.104004,6806.292969,8303.19043,10706.30859,10881.91211,11248.87988,11773.29688
Argentina,57509.32031,61940.01953,65282.9375,67051.50781,67107.3125,68349.94531,71089.67188,73226.94531,73912.35156,74841,74654.28125,78036.46094,79482.52344,78638.89844,79273.5625,81756.375,84346.80469,87191.35156,90598.99219,97227.8125,103105.7578,110420.7266,117993.6094,125268.1563,134567.625,142748.5313,149980.5625,163067.0469,174031.4219,186264.8438,198601.1406,218197.2031,235138.4219,247653.2813,262313.5625,279101.9375,305964.5313,336762.5938,370912.8125,403987.5938,440458.25,489520.9375,559911.3125,669640.1875,828229.25,1053556.875,1390282.625,1400468.75,1424251.375,1433022.75,1431154.5,1412692.125,1330856.375,1326432.25,1365802.875,1437139.125,1552985.125,1646294.5,1719041.875,1731396.5,1773983.75,1863171.5,1942274.125,2041532.375,2148250.75
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29760.10352,31045.29102,30409.0332,30072.38867,30339.49805,30630.09766,30655.34766,29301.44531,28409.66602,27618.10352,27020.72656,26479.39258,26320.33008,26785.81445,28035.73242,30258.92578,33058.10156,35629.39844,37983.29297,38228.57813,38477.97656,38802.34375,40334.02344,42051.00781,44003.41797
Aruba,,,,,,,,,,,,,,,,,,,,,1073.071045,1186.225098,1313.044678,1463.073853,1650.287354,1837.646851,2011.362427,2241.455566,2513.970947,2808.489258,3120.802734,3449.419922,3783.270264,4059.215332,4323.51416,4678.924805,5164.318848,5693.178223,6326.396973,6989.488281,7660.443848,8314.419922,8963.317383,9860.320313,10915.85059,11955.28418,12983.94434,14245.85449,15544.24316,16544.89258,17308.97266,18016.18164,18796.28906,19876.47266,21405.63672,23531.37695,25757.81836,27375.44727,28639.58594,29400.53906,29913.77148,30528.54297,30939.04883,31553.53125,32336.22852
Australia,220107.7188,256174.5,272404.7813,287565.0938,304031.125,324524.0625,345407.4688,361642.2188,374724.2188,396260.75,412499.1563,421668.3438,434298.0625,444193.375,452483.5,471708.8438,497621,521412.2813,550541.4375,586481.6875,623298.9375,658827.5,694775.375,737542,783624.125,823402.1875,849963.625,890753.5625,942788.125,995268.4375,1052851.625,1110034,1149537.25,1156874.5,1174785.75,1203236.625,1269487.125,1331959.5,1405805,1473855.5,1523152.5,1567467.875,1623520.125,1723865.625,1854995.375,2013598.375,2072824.375,2125195,2191332.5,2272878.5,2283470.25,2294784,2309183.5,2439970.75,2630114.75,2875683.75,3055752.75,3167556,3225914.5,3265227.25,3332889.5,3461364.75,3590807.75,3757906,3944975.5
Austria,65809.32813,73079.39063,78248.41406,79368.75781,80615.63281,85319.125,92464.28125,97572.65625,100176.6484,105112.9063,113279.5078,119324.6484,123768.6875,127292.8672,130878.0781,137600.4375,145885.6719,152797.7969,159693.0781,168468.9063,178565.1875,192118.2813,208040.2031,227195.7344,249554.5938,267316.6563,278759.5,296955.25,315584.5625,334957.875,354359.5938,387931.6875,419780.7813,443877.7813,473465.6563,514691.125,544727.5,572288.25,601380.375,630446.5625,659964.4375,692034.25,724430.875,770186.8125,824707.3125,889390.8125,908286.8125,914859.5625,915571.6875,905783.3125,919033.75,909235.5,891932.4375,918041.375,969900.125,1024403.25,1127908.5,1217271.25,1324056.75,1424927.375,1478047.125,1583957.125,1756985.5,1821958.75,1891024.375
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63680.85938,63376.63281,64473.1875,65692.46875,67124.79688,67528.85938,68458.50781,65240.49609,63651.89844,62134.97656,60682.78125,59949.88281,61547.84766,67050.49219,74320.67969,82358.35938,87832.95313,91752.60938,96872.96875,101376.3672,105433.1172,110943.1172,118975.9766,128618.4141,138659.9844
Bahamas,,,,,,,,,,,,,,,,,,,,,2255.093262,2337.711426,2411.914795,2514.903809,2616.814941,2665.26001,2683.52832,2776.720459,2888.351563,3060.990479,3322.5354,3555.620117,3827.020752,3978.655762,4130.556641,4381.086914,4604.024902,4863.728027,5028.120605,5259.738281,5354.743164,5482.444336,5631.200684,5757.95752,6036.84668,6501.34082,6955.672363,7713.575195,8699.21582,9622.983398,10686.68555,11739.86719,12630.57813,13627.40234,15007.88477,17311.70898,20337.48047,23283.9043,25914.99805,28511.96289,32100.37305,37689.59375,39031.78125,40657.63672,42922.21484
Bahrain,,,,,,,,,,,,,,,,,,,,,4272.976563,4702.952637,5146.831055,5780.537109,6613.198242,6993.798828,8070.919922,9435.926758,10410.54395,11703.1416,12929.46094,14000.19336,15311.98633,17059.71484,18562.66992,18950.97461,19683.23438,20131.4082,20717.83984,21351.42969,21484.35742,22250.76563,23175.16016,24595.85742,25871.02148,26931.39063,27620.46484,30925.67578,35038.78125,39484.11719,45733.42578,52868.4375,63115.83594,77857.5625,99925.60938,138223.5313,152087.5469,167625.375,183984.7813,189093.875,196433.7656,198958.3906,207386.3125,216023,226229.9531
