Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364.570573,376.7587142,364.095436,389.4163578,397.9859047,440.3681553,444.9501379,524.8235332,553.3002894,569.2333877,630.4274126,621.8180785,610.2419243,599.1351958,596.2576385
Albania,,,,,,,,,,,,,,,,,,,,,2036.703782,2111.015945,2127.816256,2106.180574,2036.518711,2030.600682,2103.999902,2046.150501,1979.394384,2116.440076,1879.654764,1331.485942,1243.134944,1370.814675,1493.733946,1702.886935,1869.43235,1677.283469,1839.930418,2101.611153,2256.050962,2458.149986,2569.858295,2728.418101,2896.277872,3077.679737,3265.365622,3484.254111,3775.478444,3928.340828,4094.358832,4210.075595,4276.91621,4332.320017,4419.442634,4547.128439,4711.986607
Algeria,2466.038238,2078.221933,1628.388725,2133.318607,2200.813876,2276.146998,2107.800391,2242.450417,2414.016695,2543.563265,2691.802317,2321.350402,2877.745265,2906.700502,3039.420571,3104.493573,3270.680356,3345.378017,3548.900065,3702.77745,3620.703537,3616.016313,3729.257178,3809.803763,3900.85048,3924.709271,3825.904018,3691.647555,3554.62274,3613.146593,3550.032672,3422.638618,3403.903452,3259.84368,3164.898577,3223.55756,3297.863375,3281.102139,3397.410198,3457.137046,3541.072037,3600.437254,3754.516275,3974.175032,4091.144235,4273.312751,4282.328231,4359.375748,4390.499633,4386.038896,4463.394675,4504.920098,4564.435017,4596.219627,4675.885024,4759.595242,4846.418247
"American Samoa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10613.91154,10630.45365,10661.17354,10644.58107,10282.45659,10619.61365,10500.38584,10199.06015,10352.82276,10442.7265,10000.31107,9665.233444,9779.883487,9868.88211,
Andorra,,,,,,,,,,,42137.59815,41883.21989,43051.30405,44201.81111,44648.46609,43158.08868,43079.89673,42958.97455,42339.4136,41041.94387,40495.77409,38896.69901,37756.49183,36776.58404,35820.99903,35096.05847,34744.45772,35205.05559,35546.71632,35831.68813,35780.58689,35291.7777,34278.71149,32766.12122,32633.88643,32917.71066,34175.32427,37293.35247,38595.79571,40035.55765,39870.50336,41064.15418,42013.77368,45050.55254,46730.65655,48718.16517,49615.82006,48638.42439,43833.80535,41860.24031,39627.66352,38038.88003,37967.80257,38715.35514,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,2574.051243,2570.529506,2700.114031,2778.093232,2715.327687,2630.623573,2519.96606,2271.0295,1654.537089,1658.310094,1775.899461,1919.211766,2015.013922,2094.478528,2101.945334,2100.572383,2119.325932,1906.08658,1936.599661,2071.905265,2364.194266,2754.413637,3258.475279,3578.872806,3536.798296,3529.053482,3538.715685,3591.027438,3702.59918,3747.56836,3730.169063,3606.644492
"Antigua and Barbuda",,,,,,,,,,,,,,,,,,4426.920802,4592.683636,4949.98892,5360.248531,5593.373875,5636.347775,6005.745955,6701.733587,7311.486549,8267.128325,8940.189115,9516.658137,10081.29471,10374.16394,10503.7716,10451.52439,10765.64614,11199.18971,10434.52726,10828.21599,11110.51481,11328.41954,11464.19707,11906.68425,11092.50993,11056.01518,11593.57539,12133.33635,12752.28128,14218.25652,15355.42682,15180.51051,13196.06028,12126.87614,11781.36908,12099.73492,11946.2813,12363.31513,12738.53004,13158.96845
Argentina,5605.191722,5815.233557,5675.060043,5290.766222,5738.59769,6251.32182,6120.712184,6226.997755,6434.953777,6954.764115,7056.848064,7335.759136,7329.921158,7407.366754,7685.857212,7559.143749,7291.840429,7681.017571,7227.564124,7849.36334,8052.689655,7478.130432,6996.962918,7154.411255,7198.719942,6550.150323,6958.75247,7053.985641,6772.223017,6173.684981,5939.756916,6598.722635,7285.429428,7612.681153,7952.711552,7630.022274,7955.127652,8500.940362,8728.947651,8339.894389,8182.686502,7735.493364,6816.734855,7337.792038,7913.743124,8522.522732,9112.113163,9830.68092,10125.12627,9428.502541,10276.2605,10780.01566,10557.88539,10699.19772,10323.20694,10490.01957,10148.51015
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1796.936432,1601.593823,949.0332212,886.0327859,956.4708856,1043.543141,1121.881629,1172.136802,1267.575283,1317.741923,1404.321462,1548.075851,1761.888272,2019.984867,2244.220171,2571.985756,2933.833478,3366.162187,3629.157702,3136.811727,3218.381655,3371.672831,3606.480554,3710.575743,3827.343195,3927.662244,3924.933387
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24271.94042,,,,,,
