Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Bahrain,,,,,,,,,,,,6394.722031,5971.473457,8495.334555,9009.062725,8000.645299,9584.323635,8188.762266,7844.320855,8814.106267,7794.794492,8295.063081,9071.024744,8502.888103,8833.122558,9921.653196,10261.44107,9523.90901,10493.49745,10248.37349,10555.27079,10108.35385,10837.7268,11142.36134,11555.53615,11408.51944,11109.67083,12181.22132,12406.71042,11851.5266,11988.72127,11738.14599,11548.54941,11566.50028,10894.96269,11675.40667,11604.24931,11234.22155,11318.77551,10339.60097,10207.85148,9911.796343,9657.568698,10416.78989,10593.99714,
Bangladesh,,,,,,,,,,,,85.59864378,86.87936102,92.48557875,93.89426141,94.34059216,98.01763955,97.75963173,98.34927624,99.39656051,103.1334516,102.4145143,105.3123599,104.9961465,103.7127635,106.7699186,111.2847344,106.6554276,114.1562699,116.7998234,119.9545805,115.477325,119.15375,123.0689467,125.7874922,133.9446139,131.8906722,134.903763,137.7494292,136.7841763,138.7883454,148.9587133,149.7331122,155.0327858,155.3449513,158.9185389,168.001385,173.4069409,179.9679144,187.2600424,200.5458238,205.6670193,213.3035485,215.282959,222.2209592,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1236.63776,1246.39,1256.1422,1265.8944,1275.6466,1285.3988,1295.151,1304.9032,1314.6554,1324.4076,1334.1598,1343.912,1353.6642,1363.4164,1373.168651,1423.310913,1447.067507,1452.109361,,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4465.375012,4348.467922,3620.731989,3076.700752,2615.739317,2427.669413,2501.348819,2505.604626,2466.16516,2411.568947,2462.411056,2485.565111,2550.108823,2643.687513,2752.759003,2768.821539,2965.377967,2917.907033,2932.103273,2790.137339,2900.042284,3097.656624,3222.44927,2881.507357,2928.520216,
Belgium,2519.49732,2570.815623,2810.061148,3043.306993,3021.647212,3116.033563,3051.297429,3182.923458,3590.004258,3877.044364,4135.19977,4099.95532,4473.929513,4720.784112,4617.498595,4317.935658,4622.233118,4589.52441,4826.564957,4976.777099,4743.42206,4415.358604,4208.257802,4156.257407,4334.902427,4474.062993,4633.920017,4727.686395,4770.948398,4798.926451,4809.867268,5006.004706,5040.67044,4902.269974,5186.186627,5267.670671,5536.471275,5523.459164,5603.160264,5612.714676,5669.358176,5634.215487,5390.719733,5590.025976,5592.98875,5555.615784,5470.491824,5336.963212,5454.667159,5196.581983,5539.472223,5087.946462,4836.207701,4987.001665,4708.221218,4687.787049
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,566.3389353,565.9871,565.6353,565.2834,564.9316,564.5797,564.2279,563.8761,563.5242,563.1724,562.8205,562.4687,562.1168,561.765,561.4131675,568.3482951,591.5796208,596.5007523,,,,,,,,
Benin,,,,,,,,,,,,371.2250199,380.2781407,379.7217115,379.0357193,380.8560976,360.2356377,363.6214303,368.1821303,364.6680997,363.8660108,353.4627636,355.6674442,355.4604278,353.9365077,360.5617949,353.5729092,348.1392369,346.6230045,337.9924465,333.6981691,327.5398247,324.147385,320.3536624,316.2935624,312.7613005,352.9201827,355.2383383,340.2016764,344.5618597,288.7684459,297.9547201,310.0397319,317.1983983,321.355318,313.1063081,358.8985427,379.2278248,376.8596822,384.4471803,397.1363346,396.7723878,399.6801368,406.2537764,416.7957653,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.1820801,116.8209,129.4598,142.0987,154.7375,167.3764,180.0152,192.6541,205.293,217.9318,230.5707,243.2095,255.8484,268.4873,281.1261288,310.6729877,313.8815997,355.1891091,,,,,,,,
Bolivia,,,,,,,,,,,,221.8488885,240.1385842,248.670785,260.6875162,295.5883477,316.7796684,331.3926328,351.4096909,378.5277822,437.3314608,449.2656085,462.3795796,429.438117,419.4207013,405.7014755,375.8656071,341.4010047,349.8153361,365.4226076,380.7610989,384.8647719,399.6881812,418.9605881,452.1568742,497.503672,524.4336758,560.8141682,555.9016697,535.8487504,588.1775816,449.1926263,528.7358819,539.9022975,531.0778935,569.2204043,700.3116553,561.0160903,586.8207384,601.30859,644.4985916,669.8197313,757.9979459,750.2837428,788.8043534,
"Bosnia and Herzegovina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1572.24569,1444.920776,1049.475674,906.6687639,363.4157682,388.7356805,461.6554218,718.040385,892.8954522,881.5512043,1153.854323,1113.712465,1166.96775,1163.990869,1271.830993,1332.787787,1402.325671,1405.428193,1583.999252,1659.513885,1741.316692,1937.059773,1832.143797,1790.292868,2194.055976,
