"Data Item",1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"Grocery stores",28045,28457,29201,29730,30417,31063,31515,32860,33466,34880,35024,35695,36662,38141,39344,40986,42530,42533,43426,45628,46913,47913,49983,51121,51861,54073,56225
"Food services and drinking places",16891,17953,18742,19434,20155,21473,22620,23662,25298,26414,27568,29166,31055,33041,35272,37082,37974,37712,38915,41279,43612,45312,48061,51976,54617,57855,61479
