Country,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Bangladesh,59.79,60.084,60.378,60.672,60.966,61.26,61.66,62.06,62.46,62.86,63.26,63.26,63.26,63.26,63.26,63.26,63.242,63.224,63.206,63.188,63.17,63.354,63.538,63.722,63.906,64.09,63.328,62.566,61.804,61.042,60.28,60.032,59.784,59.536,59.288,59.04,59.024,59.008,58.992,58.976,58.96,58.842,58.724,58.606,58.488,58.37,58.174,57.978,57.782,57.586,57.39,57.426,57.462,57.498,57.534,57.57
Barbados,39.53,39.53,39.53,39.53,39.53,39.53,39.53,39.53,39.53,39.53,39.53,39.53,39.53,39.53,39.53,39.53,39.53,39.53,39.53,39.53,39.53,39.53,39.53,39.53,39.53,39.53,39.53,39.53,39.53,39.53,39.53,39.53,39.53,39.53,39.53,39.53,38.6,37.67,36.74,35.81,34.88,34.416,33.952,33.488,33.024,32.56,31.63,30.7,29.77,28.84,27.91,27.91,27.91,27.91,27.91,27.91
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.16,30.216,30.272,30.328,30.384,30.44,29.88,29.32,28.76,28.2,27.64,27.546,27.452,27.358,27.264,27.17,27.172,27.174,27.176,27.178,27.18,27.32,27.46,27.6,27.74,27.88
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.94,27.986,28.032,28.078,28.124,28.17,27.94,27.71,27.48,27.25,27.02,27.114,27.208,27.302,27.396,27.49
Belize,1.828,1.8456,1.8632,1.8808,1.8984,1.916,1.9334,1.9508,1.9682,1.9856,2.003,2.029,2.055,2.081,2.107,2.133,2.1678,2.2026,2.2374,2.2722,2.307,2.4028,2.4986,2.5944,2.6902,2.786,2.9864,3.1868,3.3872,3.5876,3.788,3.8836,3.9792,4.0748,4.1704,4.266,4.301,4.336,4.371,4.406,4.441,4.441,4.441,4.441,4.441,4.441,4.5106,4.5802,4.6498,4.7194,4.789,4.789,4.789,4.789,4.789,4.789
Benin,8.888,9.1144,9.3408,9.5672,9.7936,10.02,10.394,10.768,11.142,11.516,11.89,12.152,12.414,12.676,12.938,13.2,13.418,13.636,13.854,14.072,14.29,14.394,14.498,14.602,14.706,14.81,14.89,14.97,15.05,15.13,15.21,16.246,17.282,18.318,19.354,20.39,21.218,22.046,22.874,23.702,24.53,24.486,24.442,24.398,24.354,24.31,24.938,25.566,26.194,26.822,27.45,27.536,27.622,27.708,27.794,27.88
Bhutan,2.404,2.4084,2.4128,2.4172,2.4216,2.426,2.477,2.528,2.579,2.63,2.681,2.7278,2.7746,2.8214,2.8682,2.915,2.983,3.051,3.119,3.187,3.255,3.3062,3.3574,3.4086,3.4598,3.511,3.4642,3.4174,3.3706,3.3238,3.277,3.4798,3.6826,3.8854,4.0882,4.291,4.0816,3.8722,3.6628,3.4534,3.244,3.408,3.572,3.736,3.9,4.064,3.8378,3.6116,3.3854,3.1592,2.933,2.933,2.933,2.933,2.933,2.933
Bolivia,1.313,1.3396,1.3662,1.3928,1.4194,1.446,1.479,1.512,1.545,1.578,1.611,1.6444,1.6778,1.7112,1.7446,1.778,1.8112,1.8444,1.8776,1.9108,1.944,1.9606,1.9772,1.9938,2.0104,2.027,2.046,2.065,2.084,2.103,2.122,2.2516,2.3812,2.5108,2.6404,2.77,2.8496,2.9292,3.0088,3.0884,3.168,3.3336,3.4992,3.6648,3.8304,3.996,4.0336,4.0712,4.1088,4.1464,4.184,4.2036,4.2232,4.2428,4.2624,4.282
"Bosnia and Herzegovina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.53,19.588,19.646,19.704,19.762,19.82,20.124,20.428,20.732,21.036,21.34,21.434,21.528,21.622,21.716,21.81,21.776,21.742,21.708,21.674,21.64,21.674,21.708,21.742,21.776,21.81
Botswana,0.6876,0.6879,0.6883,0.6886,0.689,0.6893,0.6896,0.69,0.6903,0.6907,0.691,0.691,0.691,0.691,0.691,0.691,0.6924,0.6938,0.6951,0.6965,0.6979,0.6993,0.7007,0.702,0.7034,0.7048,0.6501,0.5955,0.5408,0.4862,0.4315,0.4487,0.4659,0.483,0.5002,0.5174,0.4985,0.4796,0.4607,0.4418,0.4229,0.4016,0.3803,0.3589,0.3376,0.3163,0.3517,0.3871,0.4226,0.458,0.4934,0.5326,0.5718,0.6109,0.6501,0.6893
