Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,29,237,247,341,606,927,1431,2508,3466,5939
Canada,,,,,,,,,,,,,,,,,,,,,,198,236,322,444,684,1460,1846,2369,3319,4008,5265,6204,7823,9694
China,,,,,,,,,,,,,,,,38,79,170,224,268,346,404,470,568,765,1272,2559,5910,12020,25805,44733,62364,75324,91413,114609
France,,,,,,,,,,,,,,2,2.5,3,6,10,19,25,66,93,148,253,390,757,1567,2454,3404,4574,5970,6800,7623,8243,9285
Germany,,,,,,,,5,15,27,62,112,180,335,643,1130,1548,2080,2875,4442,6113,8754,11994,14609,16629,18415,20622,22247,23903,25777,27214,29060,31308,34250,39165
India,,,,,,,,,,,,39,39,79,185,576,820,940,1015,1077,1220,1456,1702,2125,3000,4430,6270,7845,9655,10926,13065,16084,18421,20150,22465
Italy,,,,,,,,,,,,1,3,6,18,32,70,103,180,277,427,690,797,913,1255,1717,2123,2726,3736,4850,5797,6885,8131,8558,8663
Spain,,,,,,,,,,,,5,50,60,70,140,230,512,834,1812,2235,3337,4825,6203,8263,10027,11623,15145,16689,19160,20623,21674,22784,22959,22987
"United Kingdom",,,,,,,,,,,,4,69,112.6667,156.3333,200,273,319,333,362,406,474,552,648,888,1353,1968,2428,3161,4257,5259,6593,8649,10711,12440
"United States",8,18,84,254,653,945,1265,1333,1231,1332,1484,1709,1680,1635,1663,1612,1614,1611,1837,2472,2539,4275,4685,6372,6725,9149,11575,16725,25076,35086,40298,46929,60007,61110,65879
