Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,,3,5,5,16,15,11,25,35,33,25,23,21,18,8,20,31,28,28,27,24,35,36,41,50,58,58,63,64,63,66,68,67,62,58,60,60,60
Albania,92,92,92,92,92,94,94,94,96,96,89,82,97,98,98,98,99,99,97,97,97,97,98,97,98,97,97,99,99,98,99,99,99,99,98,99,98,99
Algeria,,31,31,30,30,69,72,79,85,87,89,89,88,88,87,88,88,89,85,83,86,89,86,87,86,88,95,95,92,94,95,95,95,95,95,95,91,91
Andorra,,,,,,,,,,,,,,,,,,90,90,95,95,95,95,99,99,98,93,96,99,99,99,99,99,96,97,97,98,99
Angola,,,,,,13,15,16,13,19,23,26,21,28,28,28,33,38,45,36,27,36,32,33,32,30,26,63,53,49,66,57,58,48,55,57,53,47
"Antigua and Barbuda",36,47,86,99,93,99,96,99,99,99,99,97,99,99,99,99,99,99,99,99,96,99,93,99,97,98,99,98,99,98,99,99,97,98,96,86,87,94
Argentina,33,40,48,79,72,73,79,85,90,86,90,86,85,82,85,90,90,92,90,91,88,85,94,95,91,95,92,92,94,97,95,93,90,90,92,93,87,84
Armenia,,,,,,,,,,,,,92,92,92,93,97,95,96,97,96,97,96,96,93,92,87,90,91,94,96,96,96,96,95,96,96,96
Australia,17,43,68,94,94,94,95,95,95,95,72,75,78,80,83,86,86,77,83,88,90,91,92,92,92,92,92,92,92,92,92,92,92,91,92,93,94,95
Austria,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,95,95,87,79,71,83,82,84,83,86,83,85,83,83,86,89,92,95,98,93,87,90
Azerbaijan,,,,,,,,,,,,,63,69,68,71,72,73,74,76,75,77,80,79,78,79,80,81,85,84,85,91,92,96,97,98,98,97
Bahamas,35,40,67,65,69,84,81,76,84,82,82,91,92,91,91,86,85,86,88,82,91,98,93,93,92,93,94,95,93,97,97,97,99,97,96,95,94,94
