Country,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,12.5,12.8429,13.1857,13.5286,13.8714,14.2143,14.5571,14.89999962,15.65,16.4,17.15,17.9,18.65,19.39999962,21.05,22.7,24.35,26,25.25,24.5,23.75,23,22.25,21.5,,,,
"Dominican Republic",,,,,,,,,,,,,,,,,,,,,2.5,2.44,2.38,2.32,2.26,2.200000048,2.16,2.12,2.08,2.04,2,1.875,1.75,1.625,1.5,1.85,2.200000048,2.125,2.05,1.975,1.899999976,2.299999952,2.3167,2.3333,2.35,2.3667,2.3833,2.400000095,,,
Ecuador,,,,,,,,,,,,,,,,,,,,,2.299999952,2.375,2.45,2.525,2.6,2.675,2.75,2.825,2.9,2.975,3.05,3.125,3.200000048,3.05,2.9,2.75,2.6,2.45,2.299999952,2.299999952,2.299999952,2.299999952,2.299999952,2.299999952,2.299999952,2.299999952,2.299999952,,,,
Egypt,,,,,,,,,,,,,1.700000048,1.75,1.8,1.85,1.9,1.95,2,2.05,2.1,2.15,2.200000048,2.9667,3.7333,4.5,4.3,4.099999905,4.9,5.699999809,6.6,7.5,6.400000095,4.8,3.200000048,3.8667,4.5333,5.199999809,5.25,5.300000191,6.1667,7.0333,7.900000095,8.1667,8.4333,8.7,8.9667,9.2333,9.5,,
"El Salvador",,,,,,,,,,1.600000024,1.6462,1.6923,1.7385,1.7846,1.8308,1.8769,1.9231,1.9692,2.0154,2.0615,2.1077,2.1538,2.200000048,2.04,1.88,1.72,1.56,1.399999976,1.42,1.44,1.46,1.48,1.5,1.46,1.42,1.38,1.34,1.299999952,1.36,1.42,1.48,1.54,1.600000024,1.6667,1.7333,1.8,1.8667,1.9333,2,,
"Equatorial Guinea",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5.7333,7.4667,9.199999809,7.6,6,4.4,2.799999952,2.85,2.9,2.95,3,3.05,3.099999905,,,,,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.80000019,16,20.20000076,19.4429,18.6857,17.9286,17.1714,16.4143,15.6571,14.89999962,14.95,15,15.05,15.1,15.15,15.2,15.25,15.30000019,,,,,,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,9.600000381,9.95,10.3,10.65,11,11.35,11.7,12.05,12.39999962,12.38,12.36,12.34,12.32,12.30000019,11.9333,11.5667,11.2,10.8333,10.4667,10.10000038,9.6333,9.1667,8.699999809,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.800000191,9.4818,9.1636,8.8455,8.5273,8.2091,7.8909,7.5727,7.2545,6.9364,6.6182,6.300000191,,,,,,,,,,,,
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.300000191,4.225,4.15,4.075,4,3.925,3.85,3.775,3.7,3.625,3.55,3.475,3.400000095,,,,
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.899999619,8.65,8.4,8.15,7.9,7.65,7.400000095,7.925,8.45,8.975,9.5,10.0333,10.5667,11.10000038,,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.099999905,3.0833,3.0667,3.05,3.0333,3.0167,3,2.65,2.3,1.95,1.600000024,,,,,,,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Ghana,,,,,,,,,,,,,,,,,,,,,,,9.399999619,10.44,11.48,12.52,13.56,14.60000038,13.8167,13.0333,12.25,11.4667,10.6833,9.899999619,9.525,9.15,8.775,8.399999619,7.6333,6.8667,6.099999905,7.4,8.699999809,7.8667,7.0333,6.199999809,5.7,5.2,4.699999809,,
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.800000012,,,,,,,,,,,,,
Guatemala,,,,,,,,,,,,,,,,,,,,,,2.400000095,2.575,2.75,2.925,3.1,3.275,3.45,3.625,3.799999952,3.575,3.35,3.125,2.900000095,3.700000048,2.75,1.799999952,1.7,1.6,1.5,1.4,1.3,1.2,1.100000024,1.0333,0.9667,0.9,0.8333,0.7667,0.699999988,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,13.18,12.36,11.54,10.72,9.899999619,10.30000019,10.4,10.5,10.6,10.7,10.80000019,9.55,8.300000191,7.76,7.22,6.68,6.14,5.599999905,,,,
"Guinea Bissau",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.80000019,11.3167,10.8333,10.35,9.8667,9.3833,8.899999619,6.85,4.800000191,5.3,5.800000191,5.85,5.9,5.95,6,,
Guyana,,,,,,,,,,,,,,,,10.19999981,10.3937,10.5875,10.7812,10.975,11.1687,11.3625,11.5562,11.75,11.9438,12.1375,12.3313,12.525,12.7188,12.9125,13.1063,13.30000019,12.9,12.5,12.10000038,11.4667,10.8333,10.2,9.5667,8.9333,8.300000191,7.3,6.3,5.300000191,5.52,5.74,5.96,6.18,6.400000095,,
Haiti,,,,,,,,,,,,,10.60000038,10.2083,9.8167,9.425,9.0333,8.6417,8.25,7.8583,7.4667,7.075,6.6833,6.2917,5.900000095,6.775,7.65,8.525,9.399999619,8.7667,8.1333,7.5,6.8667,6.2333,5.599999905,6.3833,7.1667,7.95,8.7333,9.5167,10.30000019,9.45,8.6,7.75,6.9,6.05,5.199999809,,,,
Honduras,,,,,,,,,,,,,,,,,,,,,,2.299999952,2.26,2.22,2.18,2.14,2.099999905,2.4,2.700000048,2,1.299999952,1.28,1.26,1.24,1.22,1.200000048,1.24,1.28,1.32,1.36,1.399999976,1.399999976,1.399999976,1.399999976,1.399999976,1.399999976,1.399999976,,,,
Hungary,,,,,,,,,,,,,,,,,,,4.199999809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,,,,,,,,,,,,20.29999924,20.3833,20.4667,20.55,20.6333,20.7167,20.8,20.8833,20.9667,21.05,21.1333,21.2167,21.29999924,21.2333,21.1667,21.10000038,20.74,20.38,20.02,19.66,19.29999924,19.55,19.79999924,19.8286,19.8571,19.8857,19.9143,19.9429,19.9714,20,19.3875,18.775,18.1625,17.55,16.9375,16.325,15.7125,15.10000038,,
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,5.400000095,8.4,11.4,14.39999962,14.5333,14.6667,14.80000019,13.9667,13.1333,12.30000019,12.7,13.1,13.5,,,
Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.100000381,7.4333,6.7667,6.099999905,5.8833,5.6667,5.45,5.2333,5.0167,4.800000191,,,,,,,,,,,,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,4.400000095,4.6444,4.8889,5.1333,5.3778,5.6222,5.8667,6.1111,6.3556,6.599999905,6.2667,5.9333,5.599999905,6.900000095,6.35,5.800000191,6.12,6.44,6.76,7.08,7.400000095,,,,,
Italy,,,,,,,,,,,1.200000048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamaica,,,,,,,,,,,,,6.300000191,6.1273,5.9545,5.7818,5.6091,5.4364,5.2636,5.0909,4.9182,4.7455,4.5727,4.400000095,4.85,5.300000191,3.200000048,4.5,2.900000095,4.5,2.5,2.299999952,2.900000095,2.5,3,2.900000095,2.299999952,3.4,4.5,3.9,3.299999952,2.299999952,2.099999905,2.8,3.5,3.25,3,,,,
Japan,,,,,,,,,,,,,,,1.200000048,1.2367,1.2733,1.31,1.3467,1.3833,1.42,1.4567,1.4933,1.53,1.5667,1.6033,1.64,1.6767,1.7133,1.75,1.7867,1.8233,1.86,1.8967,1.9333,1.97,2.0067,2.0433,2.08,2.1167,2.1533,2.19,2.2267,2.2633,2.299999952,,,,,,
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,3.799999952,3.6,3.4,3.2,3,2.8,2.6,2.400000095,2.42,2.44,2.46,2.48,2.5,2.3714,2.2429,2.1143,1.9857,1.8571,1.7286,1.600000024,1.8667,2.1333,2.400000095,,,,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.300000191,6.1,4.9,3.7,2.5,2.8429,3.1857,3.5286,3.8714,4.2143,4.5571,4.900000095,4.7,4.5,4.3,4.099999905,,,,,,
Kenya,,,,,,,,,,,,,6.599999905,6.4,6.2,6,5.800000191,5.78,5.76,5.74,5.72,5.699999809,5.9333,6.1667,6.4,6.6333,6.8667,7.099999905,9.399999619,9.225,9.05,8.875,8.699999809,8.05,7.400000095,7,6.6,6.199999809,6.95,7.699999809,7.525,7.35,7.175,7,6.4,5.8,5.2,4.6,4,,
Kiribati,,,,,,,,,,,,,,,,,,,,12.60000038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"North Korea",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.79999924,16.5,12.19999981,10.45,8.699999809,8.6,8.5,7.84,7.18,6.52,5.86,5.199999809,4.8,4.4,4,,,,
"South Korea",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,,,,,,
