Country,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,,,,,,,,,,45.02818,46.33514,42.9454,39.55557,41.65403,47.07411,49.00927,,
Albania,,,,,,,,,,,92.7018,90.38097,97.38472,102.10761,90.30747,106.73087,103.10396,
Algeria,,,,,84.58984,85.14421,83.077,81.00986,84.9857,88.9616,92.9374,96.9133,100.8892,104.865,108.8409,112.81674,108.13742,
Angola,,,,,,,,,,32.17319,32.32069,32.12423,31.9963,,,,,
"Antigua and Barbuda",,,,,,,,,103.20988,84.89388,77.39899,90.67688,88.31836,108.49421,99.9502,91.40625,84.79685,
Argentina,99.55702,98.33066,103.56015,104.30236,108.28516,109.31955,105.47556,105.37483,108.20268,113.0353,115.57255,113.69654,111.73666,112.9805,110.24949,105.62911,,
Armenia,,,,,101.51551,105.81301,108.8605,111.908,114.95542,120.84942,117.784,114.7185,111.653,108.5876,105.5221,102.45667,99.05553,
Aruba,,,,,85.86526,84.4586,85.4197,86.38083,94.30789,101.6994,109.09091,92.45283,,,,,,
Azerbaijan,,,91.55645,99.05219,90.73997,93.63433,88.34708,96.28548,93.2276,90.16976,94.10878,94.83681,92.53507,89.33596,86.60461,94.49447,,
Bahamas,,,,,,,,,,,,102.01413,,,,,,
Bahrain,,,,,,,,,,,,,,,97.6209,,,
Bangladesh,,,,,,,,,63.10786,55.08211,57.45137,61.86453,65.85179,73.064,80.2762,87.4885,94.7007,
Barbados,,,,,106.6365,94.95968,93.3591,91.7585,90.15789,94.40299,95.1013,95.79968,99.19268,99.3545,99.5163,99.67811,,
Belarus,,,,,,99.32146,94.68468,94.86584,94.68957,98.30117,104.7536,107.04393,103.87313,105.94153,100.83403,96.31408,96.06486,
Belize,,,,,74.97717,78.65836,86.9035,95.14863,94.8219,94.49517,90.02646,99.47644,102.83944,108.11572,107.73734,100.83969,100.30832,
Benin,,,,20.46216,27.21962,31.03013,34.1283,37.2265,40.3246,43.42279,42.14466,41.9204,41.69621,51.69691,49.98125,59.85409,64.02597,
Bhutan,,,,,,66.54984,71.172,75.517,79.862,84.20701,88.95325,86.7663,96.59715,102.12029,105.8597,109.5992,113.3386,117.0781
Bolivia,,88.16767,90.55284,95.89821,97.71555,99.11943,98.81921,97.12592,95.94133,94.85525,94.86422,95.02196,97.21109,97.97257,95.69588,93.00786,,
Botswana,,,,,,,,,,,,,,72.89402,101.48005,,,
Brazil,,,,,,,,,,,,,,,102.8731,,,
Brunei,,,,92.05152,97.97318,91.96787,98.28326,94.48819,94.92797,92.0951,94.69965,97.57168,101.4997,105.42773,105.11296,99.22342,101.4484,
"Burkina Faso",,,,,,,,22.98981,23.69106,26.849,30.0069,33.1648,36.32274,35.95211,83.31848,82.01646,49.15187,
Burundi,,,,9.50269,9.98593,12.70216,12.197,11.69181,14.1359,16.58,19.0241,21.46816,23.83462,31.95852,58.18058,56.60651,59.22891,
