Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,,,,,,,,,,,87,87,87,87,87,87,87,87,87
Afghanistan,18,25,32,31,39,45,51,56,54,49,51,49,49,50,50,55,63,68,69
Angola,33,42,53,60,54,52,66,52,54,48,50,51,54,60,54,58,57,51,61
Albania,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
Andorra,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
"United Arab Emirates",87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
Argentina,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
Armenia,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
"American Samoa",87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,
"Antigua and Barbuda",87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
Australia,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
Austria,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,74
Azerbaijan,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
Burundi,35,37,38,43,46,46,44,47,52,57,61,54,56,61,58,56,61,63,58
Belgium,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,88
Benin,45,45,48,50,54,56,62,61,64,63,60,66,62,60,61,63,61,55,62
"Burkina Faso",28,29,29,31,34,41,45,45,47,52,53,58,57,58,59,60,60,59,63
Bangladesh,27,27,28,30,32,40,47,47,47,50,47,47,51,55,56,60,64,69,75
Bulgaria,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,82
Bahrain,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
Bahamas,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
"Bosnia and Herzegovina",80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
Belarus,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
Belize,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
Bermuda,,,,,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
Bolivia,65,69,67,66,66,67,63,60,65,64,62,64,63,64,63,61,61,61,62
Brazil,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
Barbados,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
Brunei,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
Bhutan,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
Botswana,62,65,70,70,74,77,68,66,78,77,68,68,75,80,75,66,77,80,59
"Central African Republic",,13,24,19,18,15,27,28,29,37,28,24,34,36,42,43,42,39,43
Canada,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
Switzerland,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
Chile,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
