Country,2010,2011,2012,2013,2014,2015,2016
Afghanistan,23,20,21,17,15,15,21
Albania,15,6,7,10,9,11,10
Algeria,9,8,7,8,,,
Angola,39,39,33,24.5,16,,
Argentina,16,16,15,17,15,20,20
Armenia,12,11,9,8,7,6,4
Australia,38,36,37,34,37,40,40
Austria,30,27,24,28,29,26,28
Azerbaijan,27,23,28,28,25,17,16
Bahrain,18,17,15,,,,
Bangladesh,5,14,10,12,14,14,8
Belarus,32,35,30,30,33,22,20
Belgium,24,26,26,25,24,28,26
Belize,27,27,,,,,
Benin,19,19,7,12,10,18,17
Bhutan,,,,,43,39,
Bolivia,,,,,,,22
"Bosnia and Herzegovina",4,4,4,4,6,4,6
Botswana,19,17,15,19,23,21,12
Brazil,15,14,12,13,16,18,20
Bulgaria,3,5,4,7,7,7,5
"Burkina Faso",14,10,8,8,16,19,21
"Burma (Myanmar)",,,,,,55,51
Burundi,7,7,8,,,,
"Ivory Coast",7,7,7.6667,8.3333,9,7,
Cambodia,2,10,10,9,10,15,6
Cameroon,12,14,11,13,18,24,20
Canada,35,34,42,42,44,38,35
"Central African Republic",47,20,15,17,19,21,23
Chad,27,20,13,12,14,11,16
Chile,16,16,14,13,15,16,14
China,4,4,4,4,6,4,6
Colombia,20,24,22,24,20,19,18
Comoros,21,28,19,18,,,
"Congo (Brazzaville)",,,,,,,15
"Congo (Kinshasa)",,,,,,12,
"Costa Rica",23,24,22,27,22,23,22
Croatia,6,4,6,6,10,10,12
Cyprus,22,26,27,27,25,25,24
"Czech Republic",18,18,14,14,14,14,14
Denmark,20,24,23,20,23,23,21
Djibouti,16,11,8,,,,
"Dominican Republic",25,33,34,35,32,37,34
Ecuador,16,16,7,15,9,16,23
Egypt,6,6,6,7,7,4,7
"El Salvador",12,15,12,18,21,28,24
Estonia,15,15,21,18,18,13,22
Ethiopia,13,13,12,11,21,18,16
Finland,28,30,27,27,32,31,28
France,22,27,29,25,22,29,31
Gabon,,,13,12,13,12,12
Georgia,15,21,16,18,18,18,9
Germany,28,26,22,27,25,27,22
Ghana,31,30,32,21,26,26,37
Greece,5,3,3,4,10,8,11
Guatemala,33,33,31,40,40,36,31
Guinea,42,42,13,18,30,20,16
Guyana,33,33,,,,,
Haiti,38,31,25,36,29,26,26
Honduras,27,24,29,28,32,41,32
"Hong Kong",13,16,13,15,15.6667,16.3333,17
Hungary,9,8,8,10,12,9,9
Iceland,26,26,25.5,25,29,26,26
India,12,18,10,18,21,21,27
Indonesia,27,13,41,30,40,50,55
Iran,,,,,,,25
Iraq,6,10,8,11,18,17,16
Ireland,35,38,34,37,41,40,39
Israel,18,25,14,21,28,24,25
Italy,16,14,18,25,9,15,15
Jamaica,18,18,32,33.5,35,,
Japan,23,28,21,24.5,28,23,18
Jordan,4,6,5,6,8,11,15
Kazakhstan,22,25,20,29,19,14,18
Kenya,28,22,24,28,37,42,51
Kosovo,9,16,11,8,13,12,6
Kuwait,19,20,19.25,18.5,17.75,17,17
Kyrgyzstan,25,36,20,25,28,29,15
Laos,32,32,26,20,,,
Latvia,18,18,12,9,13,11,5
Lebanon,13,11,8,8,12,10,13
Lesotho,,,16,18,20,22,24
Liberia,30,48,53,43.5,34,34,46
Libya,,,,,,18,
Lithuania,6,9,11,12,13,11,10
Luxembourg,28,29,27,30,22,31,28
"Macedonia (F.Y.R.O.M.)",,,,,,,13
Madagascar,11,11,16,27,27,22,18
Malawi,35,35,27,30,23,32,32
Malaysia,29,20,26,19,41,33,
Mali,21,14,7,6,7,10,11
Malta,21,25,22,24,25,28,26
Mauritania,15,16,17,12,13,22,10
Mauritius,,,35,36.25,37.5,38.75,40
Mexico,20,25,17,25,22,13,13
Moldova,,,,,,17,17
Mongolia,31,28,32,29,36,39,37
Montenegro,6,6,5,8,9,8,10
Morocco,4,14,6,7,5,9,7
Mozambique,14,14,17,21.3333,25.6667,30,
Namibia,17,17,,,,,
Nepal,21,22,18,26,29,36,29
Netherlands,39,37,34,37,34,33,36
"New Zealand",41,39,38,40,44,44,41
Nicaragua,20,17,18,17,20,23,24
Niger,11,5,4,11,9,14,10
Nigeria,28,41,26,36,41,25,29
"Northern Cyprus",,,,,14,23,23
Norway,38,38,36.5,35,33,31,30
Oman,,,22,,,,
Pakistan,8,27,12,15,16,11,12
"West Bank and Gaza",,,,,,,9
Panama,21,24,23,31,31,32,21
Paraguay,17,35,42,24,14,19,10
Peru,19,19,15,20,19,26,20
Philippines,36,41,44,43,38,42,36
Poland,9,13,8,12,9,9,13
Portugal,11,10,10,16,15,17,17
"Puerto Rico",18,18,,,,,
Qatar,18,12,17,19,,,
"South Korea",22,27,29,25.5,22,,
Romania,5,5,4,8,8,7,9
Russia,,,,,,12,12
Rwanda,11,11,9,10,17,14,15
"Saudi Arabia",12,21,9,14,11,15,14
Senegal,13,10,6,15,13,13,23
Serbia,5,4,3,7,4,5,7
"Sierra Leone",45,26,30,29.5,29,28,41
Singapore,10,11,8,17,20,23,25
Slovakia,13,16,13,11,15,11,16
Slovenia,27,34,36,34,32,34,32
Somalia,23,17,19,18,19.5,21,24
"South Africa",19,14,19,21,33,28,33
"South Sudan",,,,,,31,23
