Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Haiti,93.4,93.4,93.4,93.4,93.4,93.4,93.4,93.4,93.4,93.4,93.4,88.74,84.08,79.42,74.76,70.1,70.1,70.1,70.1,70.1,70.96,71.82,72.68,73.54,74.4
Honduras,,,,,,,,,,,,,,,,34.9,34.0778,33.2556,32.4333,31.6111,30.7889,29.9667,29.1444,28.3222,27.5
India,54.9,53.56,52.22,50.88,49.54,48.2,46.86,45.52,44.18,42.84,41.5,40.16,38.82,37.48,36.14,34.8,33.45,32.1,30.75,29.4,28.32,27.24,26.16,25.08,24
Indonesia,50.8,49.16,47.52,45.88,44.24,42.6,40.96,39.32,37.68,36.04,34.4,32.78,31.16,29.54,27.92,26.3,24.65,23,23,23,22.76,22.52,22.28,22.04,21.8
Iraq,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,24.08,31.26,38.44,45.62,52.8,52.8,52.8,52.8,52.8,51.68,50.56,49.44,48.32,47.2
Jamaica,,,,,,,,,,,,,,,,60.5,,,,,,,,,
Jordan,,,,,,,,,,,,,,,,15.8,16.75,17.7,18.65,19.6,18.26,16.92,15.58,14.24,12.9
Kenya,54.9,54.88,54.86,54.84,54.82,54.8,54.8,54.8,54.8,54.8,54.8,54.8,54.8,54.8,54.8,54.8,54.8,54.8,54.75,54.7,54.96,55.22,55.48,55.74,56
Laos,,,,,,,,,,,,,,,,79.3,73.9778,68.6556,63.3333,58.0111,52.6889,47.3667,42.0444,36.7222,31.4
Lebanon,,,,,,,,,,,,,,,,53.1,,,,,,,,,
Lesotho,,,,,,,,,,,,,,,,35.1,39.75,44.4,49.05,53.7,53.12,52.54,51.96,51.38,50.8
Liberia,,,,,,,,,,,,,,,,,,,,68.3,67.78,67.26,66.74,66.22,65.7
Madagascar,93,92.12,91.24,90.36,89.48,88.6,87.7,86.8,85.9,85,84.1,83.4,82.7,82,81.3,80.6,79.3,78,77.1,76.2,76.4,76.6,76.8,77,77.2
Malawi,66.4,66.4,66.4,66.4,66.4,66.4,66.4,66.4,66.4,66.4,66.4,66.4,66.4,66.4,66.4,66.4,67.05,67.7,68.3,68.9,68.46,68.02,67.58,67.14,66.7
Mali,94.2,92.32,90.44,88.56,86.68,84.8,82.92,81.04,79.16,77.28,75.4,73.5,71.6,69.7,67.8,65.9,65.9,65.9,65.9,65.9,63.98,62.06,60.14,58.22,56.3
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,79.9
Mexico,23.1,22.78,22.46,22.14,21.82,21.5,21.18,20.86,20.54,20.22,19.9,18.8,17.7,16.6,15.5,14.4,14.4,14.4,13.9286,13.4571,12.9857,12.5143,12.0429,11.5714,11.1
Mongolia,68.5,68.14,67.78,67.42,67.06,66.7,66.34,65.98,65.62,65.26,64.9,63.5,62.1,60.7,59.3,57.9,57.9,57.9,55.7286,53.5571,51.3857,49.2143,47.0429,44.8714,42.7
Morocco,37.4,36.96,36.52,36.08,35.64,35.2,33,30.8,28.6,26.4,24.2,21.98,19.76,17.54,15.32,13.1,13.1,13.1,13.1,13.1,13.1,13.1,13.1,13.1,13.1
Mozambique,75.6,75.86,76.12,76.38,76.64,76.9,77.16,77.42,77.68,77.94,78.2,78.46,78.72,78.98,79.24,79.5,79.75,80,80.25,80.5,80.46,80.42,80.38,80.34,80.3
"Burma (Myanmar)",,,,,,,,,,,,,,,,45.6,45.0889,44.5778,44.0667,43.5556,43.0444,42.5333,42.0222,41.5111,41
Namibia,34.4,34.34,34.28,34.22,34.16,34.1,34.06,34.02,33.98,33.94,33.9,33.9,33.9,33.9,33.9,33.9,33.75,33.6,33.55,33.5,33.44,33.38,33.32,33.26,33.2
Nepal,70.6,69.94,69.28,68.62,67.96,67.3,66.64,65.98,65.32,64.66,64,63.34,62.68,62.02,61.36,60.7,60.05,59.4,58.75,58.1,57.34,56.58,55.82,55.06,54.3
Nicaragua,89.1,86.18,83.26,80.34,77.42,74.5,71.6,68.7,65.8,62.9,60,57.1,54.2,51.3,48.4,45.5,45.5,45.5,,,,,,,
Niger,83.6,83.5,83.4,83.3,83.2,83.1,83,82.9,82.8,82.7,82.6,82.5,82.4,82.3,82.2,82.1,82,81.9,81.8,81.7,79.38,77.06,74.74,72.42,70.1
Nigeria,77.3,76.54,75.78,75.02,74.26,73.5,72.72,71.94,71.16,70.38,69.6,68.84,68.08,67.32,66.56,65.8,65,64.2,63.45,62.7,60.2,57.7,55.2,52.7,50.2
Pakistan,51,50.76,50.52,50.28,50.04,49.8,49.58,49.36,49.14,48.92,48.7,48.46,48.22,47.98,47.74,47.5,47.25,47,46.8,46.6,46.38,46.16,45.94,45.72,45.5
Panama,,,,,,,,,,,,,,,,23,23.3111,23.6222,23.9333,24.2444,24.5556,24.8667,25.1778,25.4889,25.8
Paraguay,,,,,,,,,,,,,,,,17.6,,,,,,,,,
Peru,66.4,64.38,62.36,60.34,58.32,56.3,54.28,52.26,50.24,48.22,46.2,44.18,42.16,40.14,38.12,36.1,36.1,36.1,35.8286,35.5571,35.2857,35.0143,34.7429,34.4714,34.2
Philippines,54.3,53.6,52.9,52.2,51.5,50.8,50.08,49.36,48.64,47.92,47.2,46.5,45.8,45.1,44.4,43.7,43,42.3,41.6,40.9,40.38,39.86,39.34,38.82,38.3
Rwanda,96,94.38,92.76,91.14,89.52,87.9,86.26,84.62,82.98,81.34,79.7,78.08,76.46,74.84,73.22,71.6,69.95,68.3,66.7,65.1,62.72,60.34,57.96,55.58,53.2
"Saint Lucia",,,,,,,,,,,,,,,,11.9,,,,,,,,,
"Saint Thomas and Principe",,,,,,,,,,,,,,,,,,,,,,,,,86.6
"Saudi Arabia",,,,,,,,,,,,,,,,18,,,,,,,,,
Senegal,70.6,68.44,66.28,64.12,61.96,59.8,57.62,55.44,53.26,51.08,48.9,47.78,46.66,45.54,44.42,43.3,42.2,41.1,39.95,38.8,38.92,39.04,39.16,39.28,39.4
"Sierra Leone",,,,,,,,,,,,,,,,97,94.6222,92.2444,89.8667,87.4889,85.1111,82.7333,80.3556,77.9778,75.6
Somalia,,,,,,,,,,,,,,,,73.5,73.55,73.6,73.6,73.6,73.6,73.6,73.6,73.6,73.6
"South Africa",46.2,44.9,43.6,42.3,41,39.7,38.4,37.1,35.8,34.5,33.2,32.3,31.4,30.5,29.6,28.7,25.85,23,23,23,23,23,23,23,23
"South Sudan",,,,,,,,,,,,,,,,,,,,,,,,,95.6
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,91.6
Suriname,,,,,,,,,,,,,,,,3.9,4.2778,4.6556,5.0333,5.4111,5.7889,6.1667,6.5444,6.9222,7.3
Swaziland,,,,,,,,,,,,,,,,,,,,,,,,,32.7
Syria,,,,,,,,,,,,,,,,10.5,16.5,22.5,22.0429,21.5857,21.1286,20.6714,20.2143,19.7571,19.3
Thailand,,,,,,,,,,,,,,,,26,26.25,26.5,26.75,27,26.6,26.2,25.8,25.4,25
Togo,,,,,,,,,,,,,,,,62.1,60.8889,59.6778,58.4667,57.2556,56.0444,54.8333,53.6222,52.4111,51.2
"Trinidad and Tobago",,,,,,,,,,,,,,,,24.7,,,,,,,,,
Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,8
Turkey,23.4,22.86,22.32,21.78,21.24,20.7,20.14,19.58,19.02,18.46,17.9,17.42,16.94,16.46,15.98,15.5,14.8,14.1,13.55,13,12.78,12.56,12.34,12.12,11.9
Uganda,75,75,75,75,75,75,75,75,75,75,75,73.34,71.68,70.02,68.36,66.7,65.05,63.4,61.75,60.1,58.8,57.5,56.2,54.9,53.6
Tanzania,77.4,76.66,75.92,75.18,74.44,73.7,72.98,72.26,71.54,70.82,70.1,69.36,68.62,67.88,67.14,66.4,65.7,65,64.25,63.5,60.94,58.38,55.82,53.26,50.7
Venezuela,,,,,,,,,,,,,,,,32,,,,,,,,,
Vietnam,60.5,59.32,58.14,56.96,55.78,54.6,53.44,52.28,51.12,49.96,48.8,47.3,45.8,44.3,42.8,41.3,39.8,38.3,36.75,35.2,33.6,32,30.4,28.8,27.2
Yemen,,,,,,,,,,,,,,,,67.2,72,76.8,74.5143,72.2286,69.9429,67.6571,65.3714,63.0857,60.8
Zambia,57,57.02,57.04,57.06,57.08,57.1,57.12,57.14,57.16,57.18,57.2,57.2,57.2,57.2,57.2,57.2,57.25,57.3,57.3,57.3,56.64,55.98,55.32,54.66,54
Zimbabwe,4,3.94,3.88,3.82,3.76,3.7,3.62,3.54,3.46,3.38,3.3,6.22,9.14,12.06,14.98,17.9,19.45,21,22.55,24.1,24.3,24.5,24.7,24.9,25.1
