Country,2007,2008,2009,2010,2011,2012,2013,2014,2015
Greece,2.926281761,2.954358183,2.732657439,2.427090363,2.1935202,1.879988547,1.54346021,1.850893997,2.3349737
Guatemala,1.706690972,2.155260486,2.174180642,1.920265939,1.698076506,1.654193188,1.982696108,1.954100177,1.811888503
Guinea,,,,,,,2.605268,2.479646886,2.323951235
Guyana,1.813732394,2.049493243,2.056065272,2.233474603,2.620903005,2.763501924,2.784689642,3.101088292,3.162288384
Haiti,,,,,,1.441068,1.504369312,1.891513428,1.983162639
Honduras,1.839084613,2.293528055,2.418244806,2.1819792,2.287546028,2.414122259,2.177353085,1.879594085,2.396005092
"Hong Kong",4.748350547,5.232490827,5.216263328,4.84960125,4.657651048,4.350744419,4.125593475,4.427067823,4.625497347
Hungary,2.348178379,2.304020139,2.060668732,1.897095958,1.751787166,1.794830437,1.824965885,1.99297543,2.227097503
Iceland,5.651666667,5.627653799,5.682538212,4.66387505,3.499533145,3.085960565,2.80362509,3.332643884,3.998524642
India,2.229787136,2.209580639,2.276503555,2.377510771,2.320147368,2.272296645,2.207816849,2.176705278,3.351032954
Indonesia,2.570612257,2.604290326,2.950042726,3.170736103,3.329950375,3.14488795,3.00972873,3.230595377,3.63845549
Iran,,,,,3.651828,3.626826407,3.676862785,3.333000592,3.065409307
Ireland,3.156341539,3.251168831,3.592955184,3.296286196,2.997641733,2.965139045,3.170723292,3.939857043,4.474809722
Israel,3.061723856,3.19198302,2.785972467,3.514377528,3.687297386,3.209695198,3.048831026,3.037417565,2.780296385
Italy,2.11615873,2.158460154,2.082435909,1.947406739,2.038001423,1.848940575,1.791711064,1.816445206,1.723017239
Jamaica,2.123802357,1.967589552,1.920467683,2.149849383,2.052423192,2.030243244,2.046830312,2.205205488,2.429392675
Japan,3.309560623,3.4038026,3.316580004,3.111251839,3.148576238,3.157314151,3.066793297,3.802747822,4.483748234
Jordan,3.370013751,3.338620328,3.74065276,3.909447053,3.54028899,3.181722578,3.351333257,3.539501,3.573445664
Kazakhstan,2.40002061,2.552408155,2.781964733,3.115564224,3.379671259,3.32348,3.657020604,3.766183981,3.73426451
Kenya,1.71511544,1.773298291,2.058674449,1.855159624,1.744741145,2.042661034,2.387892681,2.74610806,3.020169679
"South Korea",2.688747214,4.02195186,4.271778508,2.789399977,2.116342582,2.037792267,2.054936467,2.212750562,2.421070257
Kuwait,2.881677613,3.278097411,3.573024606,3.510952367,3.41204902,3.302314668,3.15845676,3.175590551,3.187423796
Kyrgyzstan,1.532312371,1.836007281,2.055805031,1.938920631,2.0347354,1.896452974,1.86038375,2.012540528,2.281638773
Laos,,,,,,,,4.17655,3.940319586
Latvia,2.246715077,2.091043392,2.060151251,2.055003358,1.919430043,2.356451498,2.511382088,2.546444872,2.718850686
Lebanon,,,,,1.594159,1.501572504,1.53910467,1.398382587,1.33978113
Lesotho,2.162162162,2.050674764,2.495960946,2.797471557,2.820516368,2.465749613,2.37422411,3.13344929,3.395509713
Liberia,,,,,,,4.113406,3.281103954,
Libya,,2.56097561,2.753227578,3.05144025,2.778316611,3.1519,3.525573,3.052029,2.259197865
Lithuania,2.009637731,2.745431756,2.697689217,2.124967011,2.045627173,2.039685459,2.129001128,2.402238183,2.722520314
Luxembourg,5.320781337,5.33527917,5.596516274,5.853114717,5.772610074,5.613011925,5.372072463,5.265764724,5.371207857
"Macedonia (F.Y.R.O.M.)",1.757676519,1.995621817,2.277886709,2.670562369,2.901670947,2.798809701,2.859018177,3.037128376,3.3148175
Madagascar,2.08590913,2.281544354,2.13068184,1.859450965,1.614960308,1.573156188,1.788780469,2.028078574,2.089998882
Malawi,,,2.9772,3.06814927,3.137270707,3.085720853,2.669714352,2.80523434,2.66471516
Malaysia,4.510547125,4.584699688,4.463251618,3.82261533,3.754982072,4.281719669,4.40765521,4.347336319,4.700295118
Mali,2.250350953,2.349819604,2.258156277,2.032492309,2.178032102,2.523550416,2.552437669,2.281954228,2.752901007
Malta,3.377097948,3.648208042,3.872741422,3.918387247,3.8577782,3.543741144,3.188725855,3.39855849,3.507169176
Mauritania,2.477272727,2.625369159,2.201609832,2.221211326,2.020791934,2.00439655,2.473032656,2.329761324,2.197431024
Mauritius,2.099402185,2.32996633,2.731103599,2.997069596,3.140325826,3.080316434,3.060919381,3.063278746,3.0521624
Mexico,1.893733167,2.057139613,2.055909873,2.141432777,2.179595755,2.201324834,2.28275984,2.32087856,2.225312811
Moldova,,,,,2.641203,2.490364065,2.344356,2.144838969,2.195956907
Mongolia,1.599498116,1.578614907,1.592089134,1.777356134,1.926169155,2.029945064,2.115252308,2.064776588,2.112595519
Montenegro,,2.319444444,3.011985935,3.363181256,3.673948256,3.839383691,3.667245845,3.58835014,3.452299427
Morocco,2.529736072,3.102286013,3.029487611,2.85218,3.147280232,3.280302,3.165606624,3.079486013,3.287906774
Mozambique,1.869725826,1.891588073,2.106644033,2.512690875,3.024445375,2.789920228,2.43654369,2.340134352,2.397713168
"Burma (Myanmar)",,,,,,,,3.115105,2.988286847
Namibia,2.699667165,2.849151979,3.626627854,4.017490223,4.023966598,3.721621554,3.335561969,3.306556154,3.177631937
Nepal,1.597222222,1.654524198,1.762177668,1.761249373,1.744224184,1.8720868,1.875408462,1.76316165,2.058485257
Netherlands,5.043437152,5.372124334,5.534818828,5.309391305,5.008506765,5.128089134,5.353676006,5.310552636,5.321994968
"New Zealand",4.957508977,5.206331938,5.085991047,5.563031906,5.597375717,5.361671226,5.455583827,5.626462791,5.668893368
Nicaragua,1.353725836,1.510664683,1.51673011,1.786562429,1.98774425,1.906274148,2.406527582,2.836944042,2.309434054
Nigeria,2.111865349,2.008021665,1.48453774,1.5691123,1.779492518,1.917879434,2.225378108,2.105367253,1.835826009
Norway,5.284525176,5.453377743,5.776208,5.724527898,5.596162909,5.709103387,5.697340402,5.669057238,5.895260628
Oman,,4.751592357,5.145964998,5.267079023,5.334208556,5.222053255,5.005574342,5.136402,4.781656143
