Country,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,,0.395,0.79,0.79,0.79,0.79,0.79,0.79,1.14,1.14,1.14,1.14,1.14,0.64
Albania,5.07,5.07,5.07,5.07,5.07,4.71,4,4,4,4.36,4.36,4.71,4.71,5.36
Algeria,2.21,2.21,2.21,2.21,2.21,2.21,2.21,2.21,2.21,2.21,2.21,2.21,2.21,2.86
Angola,2.14,2.675,3.21,3.21,3.21,3.21,3.21,3.21,3.21,3.21,3.21,2.86,2.86,2.86
Argentina,5,5,5,5.355,5.71,5.71,5.71,5.71,5.71,5,5,5,5.36,5.36
Armenia,3.21,3.21,3.21,3.21,3.21,3.21,3.21,2.86,2.86,2.86,2.86,2.86,4.64,5.36
Australia,8.93,8.93,8.93,8.93,8.93,8.93,8.93,8.93,8.93,8.93,8.93,8.93,8.93,8.93
Austria,8.21,8.035,7.86,7.86,7.86,7.86,8.21,7.5,7.86,7.86,7.86,8.21,7.86,7.86
Azerbaijan,0.79,0.79,0.79,1.29,1.79,1.79,1.79,1.79,2.14,2.14,2.14,2.14,2.14,3.21
Bahrain,2.57,3.07,3.57,3.57,3.57,2.5,2.5,3.57,3.57,3.21,3.21,3.21,3.21,2.71
Bangladesh,5.07,5.07,5.07,5.25,5.43,5.43,5.43,5.43,5.07,5.07,5.07,5.07,5.07,6.07
Belarus,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,3.93,3.57,3.57,2.86,2.86,2
Belgium,8.21,8.21,8.21,8.21,8.21,8.21,8.21,8.21,8.21,8.21,8.57,8.93,8.93,8.21
Benin,6.43,6.43,6.43,6.43,6.43,6.43,6.43,6.07,5.36,5.71,5.36,5.36,5.71,5.71
Bhutan,4.64,4.82,5,5.18,5.36,5.36,5.36,5.36,5.36,5.36,5.36,6.07,6.79,6.79
Bolivia,5.71,5.71,5.71,5.355,5,5,5,5,5,5.36,5.36,4.64,4.64,3.93
"Bosnia and Herzegovina",3.29,3.29,3.29,3.29,3.29,3.29,2.93,2.93,2.93,2.93,2.93,2.93,2.93,2.93
Botswana,7.86,7.68,7.5,7.32,7.14,7.14,7.14,7.14,7.14,7.14,7.14,7.14,7.14,7.14
Brazil,7.86,7.86,7.86,7.68,7.5,7.5,7.5,7.5,7.5,6.79,6.79,5.36,5.36,5.36
Bulgaria,5.71,5.535,5.36,5.535,5.71,5.71,5.71,5.71,5.71,6.07,6.07,6.43,6.43,6.43
"Burkina Faso",1.79,1.79,1.79,2.68,3.57,3.57,3.21,3.57,2.86,4.29,4.29,4.29,4.29,2.71
"Burma (Myanmar)",1.79,1.79,1.79,1.79,1.79,1.79,1.79,2.14,2.86,3.57,3.57,3.93,3.93,3.93
Burundi,3.29,3.29,3.29,3.29,3.29,3.29,2.57,2.21,2.21,0.43,0.79,0.43,0.43,0.07
Cambodia,6.07,6.07,6.07,6.07,6.07,6.07,6.07,6.07,6.43,5.71,5.71,5.71,5,4.64
Cameroon,3.21,3.75,4.29,4.29,4.29,4.29,4.29,3.57,3.57,3.57,3.21,2.86,2.86,2.5
Canada,9.64,9.64,9.64,9.465,9.29,9.29,9.29,9.29,9.29,9.29,9.64,9.64,9.64,9.64
"Cape Verde",7.86,7.86,7.86,7.86,7.86,7.86,7.86,7.86,7.86,7.86,7.86,7.86,7.86,7.36
"Central African Republic",1.43,1.25,1.07,1.07,1.07,1.07,1.07,0.8925,0.715,0.5375,0.36,,,
Chile,8.93,8.93,8.93,8.75,8.57,8.57,8.57,8.93,8.93,8.57,8.57,8.57,8.57,8.57
China,4.64,4.82,5,5,5,5,4.64,4.64,4.64,4.64,4.64,5,5,4.29
Colombia,4.36,4.86,5.36,6.25,7.14,7.5,7.5,7.14,7.14,7.14,7.14,6.79,6.79,6.79
Comoros,3.21,2.71,2.21,2.21,2.21,2.21,2.21,2.21,2.21,2.21,2.21,2.21,2.21,2.21
"Congo (Brazzaville)",2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.5,2.5,2.5
"Congo (Kinshasa)",0.36,0.535,0.71,0.89,1.07,1.07,0.71,0.71,0.71,0.71,0.71,0.71,0.71,
"Costa Rica",8.21,8.21,8.21,8.21,8.21,8.21,8.21,7.86,7.86,7.5,7.14,7.14,7.5,7.5
Croatia,6.07,6.07,6.07,6.07,6.07,5.71,6.07,6.07,6.07,6.07,6.07,6.07,6.07,6.07
Cuba,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.29,3.57,3.57
Cyprus,6.79,6.43,6.07,6.25,6.43,6.43,6.43,6.43,6.43,6.43,6.43,6.43,6.43,6.43
"Czech Republic",6.79,6.965,7.14,7.14,7.14,7.14,7.14,7.14,7.14,7.14,7.14,6.43,6.79,6.79
Denmark,9.64,9.64,9.64,9.64,9.64,9.64,9.64,9.64,9.29,9.29,9.29,9.29,9.29,9.29
Djibouti,1.43,1.43,1.43,1.43,1.43,1.79,1.79,1.79,2.5,2.5,2.14,1.79,1.79,1.29
"Dominican Republic",4.29,4.465,4.64,4.82,5,5,5.36,6.07,5.71,5.71,5.71,5.36,5.36,5.36
Ecuador,4.29,4.29,4.29,4.465,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,5.36,5.36
Egypt,3.64,3.425,3.21,3.21,3.21,3.21,4.64,2.5,2.86,2.86,3.93,3.21,3.21,3.21
"El Salvador",5.43,5.57,5.71,5.89,6.07,6.07,6.07,6.07,6.07,6.07,6.07,5.36,4.29,4.64
"Equatorial Guinea",2.86,2.86,2.86,1.825,0.79,0.79,0.79,0.79,0.79,0.79,0.43,0.43,0.43,0.43
Eritrea,2.14,2.14,2.14,2.14,2.14,2.86,2.86,2.86,2.5,2.14,2.14,2.14,2.14,2.14
Estonia,7.5,7.5,7.5,7.5,7.5,7.14,7.14,7.14,7.86,7.86,7.86,7.86,8.21,7.86
Ethiopia,3.93,3.93,3.93,3.93,3.93,3.93,3.57,3.57,3.57,3.57,3.57,3.57,3.57,3.57
Fiji,5.21,4.21,3.21,3.035,2.86,2.86,2.86,2.86,5.71,5.71,5.71,5.36,5.36,5.36
Finland,10,10,10,9.82,9.64,9.64,9.64,8.93,8.93,8.93,8.93,8.93,8.93,8.93
France,7.5,7.5,7.5,7.32,7.14,7.14,7.14,6.79,7.14,7.14,7.14,7.5,7.5,7.86
Gabon,3.21,2.71,2.21,2.21,2.21,2.21,2.21,2.21,2.21,2.21,2.21,2.21,2.21,2.21
Gambia,4.64,4.64,4.64,4.465,4.29,4.29,3.93,3.93,3.93,3.93,3.21,3.93,4.29,4.29
Georgia,1.79,1.29,0.79,1.465,2.14,2.14,3.21,4.64,4.64,4.29,4.29,4.29,3.57,3.21
Germany,8.57,8.57,8.57,8.215,7.86,8.21,8.21,7.5,8.57,8.57,8.57,8.21,8.57,8.57
Ghana,4.64,4.64,4.64,4.82,5,5,5,5.36,5.36,5.71,5.71,5.71,5.71,5.71
Greece,7.5,7.5,7.5,6.965,6.43,5.71,5.71,5.71,5.36,5.36,5.36,5.36,5.36,4.86
Guatemala,6.79,6.79,6.79,6.61,6.43,6.43,6.43,6.07,6.07,6.07,6.07,5.71,5.36,4.64
Guinea,0.79,0.61,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43
"Guinea Bissau",0.07,0.035,,,,,,,,,,,,
Guyana,5.36,5.535,5.71,5.535,5.36,5.36,5.36,5.36,4.64,5.36,5.36,5.71,5.71,5.36
Haiti,3.64,3.64,3.64,2.75,1.86,1.86,2.21,2.21,2.21,2.21,2.21,2.21,2.93,2.07
Honduras,6.43,6.25,6.07,5.89,5.71,5.71,5.71,5.71,5.71,5.71,5.71,5.36,4.64,4.29
"Hong Kong",5.71,5.71,5.71,5.535,5.36,5.36,6.07,6.07,5.71,5.71,5.71,6.07,6.07,4.36
Hungary,6.79,6.43,6.07,6.07,6.07,6.07,6.07,6.07,6.07,6.07,6.07,6.07,6.07,6.07
Iceland,9.64,9.64,9.64,9.64,9.64,9.64,9.64,9.64,9.29,9.29,8.93,9.29,9.29,9.29
India,8.21,8.21,8.21,8.39,8.57,7.5,7.5,7.14,7.14,7.14,7.5,6.79,6.79,6.79
Indonesia,7.14,6.965,6.79,7.145,7.5,7.5,7.5,7.5,7.14,7.14,7.14,7.14,7.14,7.14
Iran,3.57,3.215,2.86,3.035,3.21,2.86,2.86,2.86,2.86,2.86,3.21,3.21,3.21,2.86
Iraq,,0.035,0.07,0.43,0.79,0.43,0.79,0.79,0.79,0.07,0.07,0.07,0.07,
Ireland,8.93,8.93,8.93,8.395,7.86,7.86,7.86,7.86,7.5,7.5,7.86,7.86,7.86,7.86
Israel,6.64,7.07,7.5,7.5,7.5,7.5,7.5,7.5,7.14,7.14,7.5,7.5,7.5,7.86
Italy,6.43,6.43,6.43,6.61,6.79,6.43,6.43,6.43,6.43,6.43,6.43,6.43,6.07,6.07
"Ivory Coast",2.86,2.86,2.86,2.86,2.86,1.79,1.79,1.79,3.21,3.21,2.86,2.14,2.86,2.86
Jamaica,7.14,6.965,6.79,6.79,6.79,6.43,6.79,6.79,6.79,6.79,6.79,7.14,7.14,7.14
Japan,7.86,8.035,8.21,8.21,8.21,8.21,8.21,8.21,8.21,8.21,8.21,8.21,8.21,8.21
Jordan,3.79,3.5,3.21,3.925,4.64,4.29,3.93,3.93,3.93,3.93,4.29,4.29,4.29,4.29
Kazakhstan,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14
Kenya,4.29,4.29,4.29,4.29,4.29,4.29,4.29,4.29,4.29,5,5,5.36,5.36,5.71
