Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Belgium,6.75,6.808,6.866,6.924,6.982,7.04,7.076,7.112,7.148,7.184,7.22,7.242,7.264,7.286,7.308,7.33,7.396,7.462,7.528,7.594,7.66,7.734,7.808,7.882,7.956,8.03,8.124,8.218,8.312,8.406,8.5,8.594,8.688,8.782,8.876,8.97,9.062,9.154,9.246,9.338,9.43,9.544,9.658,9.772,9.886,10,10.058,10.116,10.174,10.232,10.29,10.35,10.41,10.47,10.53,10.59,10.61,10.63,10.65,10.67,10.69
Belize,7.23,7.264,7.298,7.332,7.366,7.4,7.418,7.436,7.454,7.472,7.49,7.554,7.618,7.682,7.746,7.81,7.796,7.782,7.768,7.754,7.74,7.782,7.824,7.866,7.908,7.95,7.898,7.846,7.794,7.742,7.69,7.734,7.778,7.822,7.866,7.91,8.08,8.25,8.42,8.59,8.76,8.888,9.016,9.144,9.272,9.4,9.536,9.672,9.808,9.944,10.08,10.216,10.352,10.488,10.624,10.76,10.866,10.972,11.078,11.184,11.29
Benin,0.44,0.458,0.476,0.494,0.512,0.53,0.546,0.562,0.578,0.594,0.61,0.64,0.67,0.7,0.73,0.76,0.776,0.792,0.808,0.824,0.84,0.86,0.88,0.9,0.92,0.94,0.996,1.052,1.108,1.164,1.22,1.318,1.416,1.514,1.612,1.71,1.8,1.89,1.98,2.07,2.16,2.25,2.34,2.43,2.52,2.61,2.71,2.81,2.91,3.01,3.11,3.232,3.354,3.476,3.598,3.72,3.862,4.004,4.146,4.288,4.43
Bolivia,2.32,2.39,2.46,2.53,2.6,2.67,2.748,2.826,2.904,2.982,3.06,3.162,3.264,3.366,3.468,3.57,3.656,3.742,3.828,3.914,4,4.12,4.24,4.36,4.48,4.6,4.776,4.952,5.128,5.304,5.48,5.66,5.84,6.02,6.2,6.38,6.556,6.732,6.908,7.084,7.26,7.374,7.488,7.602,7.716,7.83,7.922,8.014,8.106,8.198,8.29,8.33,8.37,8.41,8.45,8.49,8.442,8.394,8.346,8.298,8.25
Botswana,1.38,1.388,1.396,1.404,1.412,1.42,1.428,1.436,1.444,1.452,1.46,1.51,1.56,1.61,1.66,1.71,1.796,1.882,1.968,2.054,2.14,2.26,2.38,2.5,2.62,2.74,2.816,2.892,2.968,3.044,3.12,3.554,3.988,4.422,4.856,5.29,5.604,5.918,6.232,6.546,6.86,7.136,7.412,7.688,7.964,8.24,8.356,8.472,8.588,8.704,8.82,8.9,8.98,9.06,9.14,9.22,9.286,9.352,9.418,9.484,9.55
Brazil,2.08,2.122,2.164,2.206,2.248,2.29,2.342,2.394,2.446,2.498,2.55,2.61,2.67,2.73,2.79,2.85,2.938,3.026,3.114,3.202,3.29,3.212,3.134,3.056,2.978,2.9,2.928,2.956,2.984,3.012,3.04,3.22,3.4,3.58,3.76,3.94,4.09,4.24,4.39,4.54,4.69,4.868,5.046,5.224,5.402,5.58,5.768,5.956,6.144,6.332,6.52,6.674,6.828,6.982,7.136,7.29,7.41,7.53,7.65,7.77,7.89
Brunei,2.02,2.07,2.12,2.17,2.22,2.27,2.356,2.442,2.528,2.614,2.7,2.838,2.976,3.114,3.252,3.39,3.644,3.898,4.152,4.406,4.66,4.864,5.068,5.272,5.476,5.68,5.872,6.064,6.256,6.448,6.64,6.74,6.84,6.94,7.04,7.14,7.25,7.36,7.47,7.58,7.69,7.748,7.806,7.864,7.922,7.98,8.028,8.076,8.124,8.172,8.22,8.266,8.312,8.358,8.404,8.45,8.508,8.566,8.624,8.682,8.74
Bulgaria,3.82,3.976,4.132,4.288,4.444,4.6,4.678,4.756,4.834,4.912,4.99,4.882,4.774,4.666,4.558,4.45,4.786,5.122,5.458,5.794,6.13,6.318,6.506,6.694,6.882,7.07,7.224,7.378,7.532,7.686,7.84,7.982,8.124,8.266,8.408,8.55,8.524,8.498,8.472,8.446,8.42,8.508,8.596,8.684,8.772,8.86,8.944,9.028,9.112,9.196,9.28,9.514,9.748,9.982,10.216,10.45,10.608,10.766,10.924,11.082,11.24
Burundi,0.42,0.44,0.46,0.48,0.5,0.52,0.55,0.58,0.61,0.64,0.67,0.698,0.726,0.754,0.782,0.81,0.86,0.91,0.96,1.01,1.06,1.104,1.148,1.192,1.236,1.28,1.314,1.348,1.382,1.416,1.45,1.468,1.486,1.504,1.522,1.54,1.58,1.62,1.66,1.7,1.74,1.828,1.916,2.004,2.092,2.18,2.256,2.332,2.408,2.484,2.56,2.624,2.688,2.752,2.816,2.88,2.974,3.068,3.162,3.256,3.35
Cambodia,0.42,0.464,0.508,0.552,0.596,0.64,0.748,0.856,0.964,1.072,1.18,1.236,1.292,1.348,1.404,1.46,1.532,1.604,1.676,1.748,1.82,1.896,1.972,2.048,2.124,2.2,2.268,2.336,2.404,2.472,2.54,2.592,2.644,2.696,2.748,2.8,2.858,2.916,2.974,3.032,3.09,3.126,3.162,3.198,3.234,3.27,3.316,3.362,3.408,3.454,3.5,3.62,3.74,3.86,3.98,4.1,4.224,4.348,4.472,4.596,4.72
