Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Haiti,0.59,0.606,0.622,0.638,0.654,0.67,0.696,0.722,0.748,0.774,0.8,0.83,0.86,0.89,0.92,0.95,0.996,1.042,1.088,1.134,1.18,1.244,1.308,1.372,1.436,1.5,1.598,1.696,1.794,1.892,1.99,2.18,2.37,2.56,2.75,2.94,3.038,3.136,3.234,3.332,3.43,3.528,3.626,3.724,3.822,3.92,4.002,4.084,4.166,4.248,4.33,4.426,4.522,4.618,4.714,4.81,4.87,4.93,4.99,5.05,5.11
Honduras,1.64,1.662,1.684,1.706,1.728,1.75,1.784,1.818,1.852,1.886,1.92,1.956,1.992,2.028,2.064,2.1,2.146,2.192,2.238,2.284,2.33,2.392,2.454,2.516,2.578,2.64,2.836,3.032,3.228,3.424,3.62,3.794,3.968,4.142,4.316,4.49,4.57,4.65,4.73,4.81,4.89,4.964,5.038,5.112,5.186,5.26,5.338,5.416,5.494,5.572,5.65,5.726,5.802,5.878,5.954,6.03,6.062,6.094,6.126,6.158,6.19
Hungary,7.13,7.158,7.186,7.214,7.242,7.27,7.302,7.334,7.366,7.398,7.43,7.464,7.498,7.532,7.566,7.6,7.696,7.792,7.888,7.984,8.08,8.178,8.276,8.374,8.472,8.57,8.656,8.742,8.828,8.914,9,8.998,8.996,8.994,8.992,8.99,8.95,8.91,8.87,8.83,8.79,9.114,9.438,9.762,10.086,10.41,10.568,10.726,10.884,11.042,11.2,11.292,11.384,11.476,11.568,11.66,11.698,11.736,11.774,11.812,11.85
Iceland,5.7,5.736,5.772,5.808,5.844,5.88,5.932,5.984,6.036,6.088,6.14,6.224,6.308,6.392,6.476,6.56,6.65,6.74,6.83,6.92,7.01,7.094,7.178,7.262,7.346,7.43,7.52,7.61,7.7,7.79,7.88,7.97,8.06,8.15,8.24,8.33,8.42,8.51,8.6,8.69,8.78,8.87,8.96,9.05,9.14,9.23,9.318,9.406,9.494,9.582,9.67,9.82,9.97,10.12,10.27,10.42,10.546,10.672,10.798,10.924,11.05
India,0.99,1.004,1.018,1.032,1.046,1.06,1.074,1.088,1.102,1.116,1.13,1.164,1.198,1.232,1.266,1.3,1.362,1.424,1.486,1.548,1.61,1.69,1.77,1.85,1.93,2.01,2.076,2.142,2.208,2.274,2.34,2.45,2.56,2.67,2.78,2.89,3.002,3.114,3.226,3.338,3.45,3.584,3.718,3.852,3.986,4.12,4.302,4.484,4.666,4.848,5.03,5.15,5.27,5.39,5.51,5.63,5.752,5.874,5.996,6.118,6.24
Indonesia,1.09,1.122,1.154,1.186,1.218,1.25,1.314,1.378,1.442,1.506,1.57,1.69,1.81,1.93,2.05,2.17,2.304,2.438,2.572,2.706,2.84,2.91,2.98,3.05,3.12,3.19,3.278,3.366,3.454,3.542,3.63,3.676,3.722,3.768,3.814,3.86,3.924,3.988,4.052,4.116,4.18,4.268,4.356,4.444,4.532,4.62,4.726,4.832,4.938,5.044,5.15,5.402,5.654,5.906,6.158,6.41,6.65,6.89,7.13,7.37,7.61
Iran,0.54,0.564,0.588,0.612,0.636,0.66,0.712,0.764,0.816,0.868,0.92,1.02,1.12,1.22,1.32,1.42,1.542,1.664,1.786,1.908,2.03,2.158,2.286,2.414,2.542,2.67,2.852,3.034,3.216,3.398,3.58,3.746,3.912,4.078,4.244,4.41,4.572,4.734,4.896,5.058,5.22,5.446,5.672,5.898,6.124,6.35,6.542,6.734,6.926,7.118,7.31,7.46,7.61,7.76,7.91,8.06,8.224,8.388,8.552,8.716,8.88
Iraq,0.24,0.258,0.276,0.294,0.312,0.33,0.364,0.398,0.432,0.466,0.5,0.57,0.64,0.71,0.78,0.85,0.966,1.082,1.198,1.314,1.43,1.538,1.646,1.754,1.862,1.97,2.124,2.278,2.432,2.586,2.74,2.938,3.136,3.334,3.532,3.73,3.9,4.07,4.24,4.41,4.58,4.682,4.784,4.886,4.988,5.09,5.252,5.414,5.576,5.738,5.9,5.982,6.064,6.146,6.228,6.31,6.48,6.65,6.82,6.99,7.16
Ireland,6.23,6.28,6.33,6.38,6.43,6.48,6.528,6.576,6.624,6.672,6.72,6.794,6.868,6.942,7.016,7.09,7.206,7.322,7.438,7.554,7.67,7.82,7.97,8.12,8.27,8.42,8.588,8.756,8.924,9.092,9.26,9.402,9.544,9.686,9.828,9.97,10,10.03,10.06,10.09,10.12,10.174,10.228,10.282,10.336,10.39,10.444,10.498,10.552,10.606,10.66,10.836,11.012,11.188,11.364,11.54,11.638,11.736,11.834,11.932,12.03
Israel,7.3,7.318,7.336,7.354,7.372,7.39,7.444,7.498,7.552,7.606,7.66,7.75,7.84,7.93,8.02,8.11,8.22,8.33,8.44,8.55,8.66,8.84,9.02,9.2,9.38,9.56,9.702,9.844,9.986,10.128,10.27,10.314,10.358,10.402,10.446,10.49,10.558,10.626,10.694,10.762,10.83,10.878,10.926,10.974,11.022,11.07,11.124,11.178,11.232,11.286,11.34,11.366,11.392,11.418,11.444,11.47,11.64,11.81,11.98,12.15,12.32
Italy,4.21,4.276,4.342,4.408,4.474,4.54,4.604,4.668,4.732,4.796,4.86,4.934,5.008,5.082,5.156,5.23,5.31,5.39,5.47,5.55,5.63,5.736,5.842,5.948,6.054,6.16,6.27,6.38,6.49,6.6,6.71,6.804,6.898,6.992,7.086,7.18,7.284,7.388,7.492,7.596,7.7,7.814,7.928,8.042,8.156,8.27,8.372,8.474,8.576,8.678,8.78,8.854,8.928,9.002,9.076,9.15,9.246,9.342,9.438,9.534,9.63
Jamaica,3.59,3.606,3.622,3.638,3.654,3.67,3.71,3.75,3.79,3.83,3.87,3.976,4.082,4.188,4.294,4.4,4.492,4.584,4.676,4.768,4.86,4.972,5.084,5.196,5.308,5.42,5.552,5.684,5.816,5.948,6.08,6.19,6.3,6.41,6.52,6.63,6.734,6.838,6.942,7.046,7.15,7.356,7.562,7.768,7.974,8.18,8.372,8.564,8.756,8.948,9.14,9.244,9.348,9.452,9.556,9.66,9.702,9.744,9.786,9.828,9.87
Japan,6.73,6.822,6.914,7.006,7.098,7.19,7.304,7.418,7.532,7.646,7.76,7.704,7.648,7.592,7.536,7.48,7.55,7.62,7.69,7.76,7.83,7.94,8.05,8.16,8.27,8.38,8.524,8.668,8.812,8.956,9.1,9.206,9.312,9.418,9.524,9.63,9.668,9.706,9.744,9.782,9.82,9.958,10.096,10.234,10.372,10.51,10.596,10.682,10.768,10.854,10.94,11.012,11.084,11.156,11.228,11.3,11.36,11.42,11.48,11.54,11.6
Jordan,1.33,1.416,1.502,1.588,1.674,1.76,1.89,2.02,2.15,2.28,2.41,2.528,2.646,2.764,2.882,3,3.094,3.188,3.282,3.376,3.47,3.578,3.686,3.794,3.902,4.01,4.118,4.226,4.334,4.442,4.55,4.776,5.002,5.228,5.454,5.68,5.866,6.052,6.238,6.424,6.61,6.804,6.998,7.192,7.386,7.58,7.736,7.892,8.048,8.204,8.36,8.502,8.644,8.786,8.928,9.07,9.174,9.278,9.382,9.486,9.59
Kazakhstan,2.59,2.654,2.718,2.782,2.846,2.91,3.068,3.226,3.384,3.542,3.7,3.802,3.904,4.006,4.108,4.21,4.352,4.494,4.636,4.778,4.92,5.106,5.292,5.478,5.664,5.85,6.05,6.25,6.45,6.65,6.85,6.994,7.138,7.282,7.426,7.57,7.682,7.794,7.906,8.018,8.13,8.372,8.614,8.856,9.098,9.34,9.58,9.82,10.06,10.3,10.54,10.752,10.964,11.176,11.388,11.6,11.546,11.492,11.438,11.384,11.33
Kenya,1.16,1.19,1.22,1.25,1.28,1.31,1.35,1.39,1.43,1.47,1.51,1.546,1.582,1.618,1.654,1.69,1.786,1.882,1.978,2.074,2.17,2.268,2.366,2.464,2.562,2.66,2.81,2.96,3.11,3.26,3.41,3.554,3.698,3.842,3.986,4.13,4.26,4.39,4.52,4.65,4.78,4.876,4.972,5.068,5.164,5.26,5.346,5.432,5.518,5.604,5.69,5.802,5.914,6.026,6.138,6.25,6.228,6.206,6.184,6.162,6.14
Kuwait,1.48,1.552,1.624,1.696,1.768,1.84,1.95,2.06,2.17,2.28,2.39,2.482,2.574,2.666,2.758,2.85,2.934,3.018,3.102,3.186,3.27,3.318,3.366,3.414,3.462,3.51,3.73,3.95,4.17,4.39,4.61,4.796,4.982,5.168,5.354,5.54,5.616,5.692,5.768,5.844,5.92,5.958,5.996,6.034,6.072,6.11,6.106,6.102,6.098,6.094,6.09,6.086,6.082,6.078,6.074,6.07,6.124,6.178,6.232,6.286,6.34
Kyrgyzstan,4.04,4.116,4.192,4.268,4.344,4.42,4.466,4.512,4.558,4.604,4.65,4.744,4.838,4.932,5.026,5.12,5.23,5.34,5.45,5.56,5.67,5.83,5.99,6.15,6.31,6.47,6.666,6.862,7.058,7.254,7.45,7.582,7.714,7.846,7.978,8.11,8.208,8.306,8.404,8.502,8.6,8.666,8.732,8.798,8.864,8.93,9.024,9.118,9.212,9.306,9.4,9.498,9.596,9.694,9.792,9.89,10.054,10.218,10.382,10.546,10.71
Laos,1.25,1.278,1.306,1.334,1.362,1.39,1.426,1.462,1.498,1.534,1.57,1.608,1.646,1.684,1.722,1.76,1.82,1.88,1.94,2,2.06,2.132,2.204,2.276,2.348,2.42,2.504,2.588,2.672,2.756,2.84,2.918,2.996,3.074,3.152,3.23,3.302,3.374,3.446,3.518,3.59,3.656,3.722,3.788,3.854,3.92,3.986,4.052,4.118,4.184,4.25,4.324,4.398,4.472,4.546,4.62,4.7,4.78,4.86,4.94,5.02
Latvia,3.84,3.884,3.928,3.972,4.016,4.06,4.154,4.248,4.342,4.436,4.53,4.604,4.678,4.752,4.826,4.9,4.996,5.092,5.188,5.284,5.38,5.496,5.612,5.728,5.844,5.96,6.108,6.256,6.404,6.552,6.7,6.844,6.988,7.132,7.276,7.42,7.534,7.648,7.762,7.876,7.99,8.19,8.39,8.59,8.79,8.99,9.06,9.13,9.2,9.27,9.34,9.524,9.708,9.892,10.076,10.26,10.338,10.416,10.494,10.572,10.65
Lesotho,2.47,2.522,2.574,2.626,2.678,2.73,2.776,2.822,2.868,2.914,2.96,3.016,3.072,3.128,3.184,3.24,3.302,3.364,3.426,3.488,3.55,3.622,3.694,3.766,3.838,3.91,3.988,4.066,4.144,4.222,4.3,4.368,4.436,4.504,4.572,4.64,4.736,4.832,4.928,5.024,5.12,5.228,5.336,5.444,5.552,5.66,5.77,5.88,5.99,6.1,6.21,6.354,6.498,6.642,6.786,6.93,6.714,6.498,6.282,6.066,5.85
Liberia,0.57,0.58,0.59,0.6,0.61,0.62,0.642,0.664,0.686,0.708,0.73,0.77,0.81,0.85,0.89,0.93,0.974,1.018,1.062,1.106,1.15,1.252,1.354,1.456,1.558,1.66,1.768,1.876,1.984,2.092,2.2,2.298,2.396,2.494,2.592,2.69,2.756,2.822,2.888,2.954,3.02,3.032,3.044,3.056,3.068,3.08,3.162,3.244,3.326,3.408,3.49,3.562,3.634,3.706,3.778,3.85,3.92,3.99,4.06,4.13,4.2
Libya,0.44,0.462,0.484,0.506,0.528,0.55,0.576,0.602,0.628,0.654,0.68,0.744,0.808,0.872,0.936,1,1.106,1.212,1.318,1.424,1.53,1.662,1.794,1.926,2.058,2.19,2.404,2.618,2.832,3.046,3.26,3.47,3.68,3.89,4.1,4.31,4.482,4.654,4.826,4.998,5.17,5.314,5.458,5.602,5.746,5.89,6.07,6.25,6.43,6.61,6.79,6.916,7.042,7.168,7.294,7.42,7.536,7.652,7.768,7.884,8
Lithuania,3.71,3.802,3.894,3.986,4.078,4.17,4.294,4.418,4.542,4.666,4.79,4.882,4.974,5.066,5.158,5.25,5.374,5.498,5.622,5.746,5.87,6.006,6.142,6.278,6.414,6.55,6.71,6.87,7.03,7.19,7.35,7.516,7.682,7.848,8.014,8.18,8.306,8.432,8.558,8.684,8.81,8.882,8.954,9.026,9.098,9.17,9.234,9.298,9.362,9.426,9.49,9.672,9.854,10.036,10.218,10.4,10.498,10.596,10.694,10.792,10.89
Luxembourg,3.39,3.522,3.654,3.786,3.918,4.05,4.142,4.234,4.326,4.418,4.51,4.674,4.838,5.002,5.166,5.33,5.506,5.682,5.858,6.034,6.21,6.552,6.894,7.236,7.578,7.92,7.98,8.04,8.1,8.16,8.22,8.276,8.332,8.388,8.444,8.5,8.582,8.664,8.746,8.828,8.91,8.972,9.034,9.096,9.158,9.22,9.286,9.352,9.418,9.484,9.55,9.692,9.834,9.976,10.118,10.26,10.406,10.552,10.698,10.844,10.99
Malawi,0.96,0.974,0.988,1.002,1.016,1.03,1.042,1.054,1.066,1.078,1.09,1.114,1.138,1.162,1.186,1.21,1.282,1.354,1.426,1.498,1.57,1.628,1.686,1.744,1.802,1.86,1.956,2.052,2.148,2.244,2.34,2.402,2.464,2.526,2.588,2.65,2.7,2.75,2.8,2.85,2.9,2.932,2.964,2.996,3.028,3.06,3.144,3.228,3.312,3.396,3.48,3.666,3.852,4.038,4.224,4.41,4.49,4.57,4.65,4.73,4.81
Malaysia,2.08,2.138,2.196,2.254,2.312,2.37,2.462,2.554,2.646,2.738,2.83,2.942,3.054,3.166,3.278,3.39,3.552,3.714,3.876,4.038,4.2,4.324,4.448,4.572,4.696,4.82,5.008,5.196,5.384,5.572,5.76,5.952,6.144,6.336,6.528,6.72,6.77,6.82,6.87,6.92,6.97,7.254,7.538,7.822,8.106,8.39,8.53,8.67,8.81,8.95,9.09,9.214,9.338,9.462,9.586,9.71,9.856,10.002,10.148,10.294,10.44
Maldives,2.99,3.03,3.07,3.11,3.15,3.19,3.238,3.286,3.334,3.382,3.43,3.476,3.522,3.568,3.614,3.66,3.732,3.804,3.876,3.948,4.02,4.076,4.132,4.188,4.244,4.3,4.348,4.396,4.444,4.492,4.54,4.596,4.652,4.708,4.764,4.82,4.742,4.664,4.586,4.508,4.43,4.366,4.302,4.238,4.174,4.11,4.14,4.17,4.2,4.23,4.26,4.346,4.432,4.518,4.604,4.69,4.956,5.222,5.488,5.754,6.02
Mali,0.15,0.154,0.158,0.162,0.166,0.17,0.176,0.182,0.188,0.194,0.2,0.208,0.216,0.224,0.232,0.24,0.25,0.26,0.27,0.28,0.29,0.322,0.354,0.386,0.418,0.45,0.484,0.518,0.552,0.586,0.62,0.652,0.684,0.716,0.748,0.78,0.802,0.824,0.846,0.868,0.89,0.914,0.938,0.962,0.986,1.01,1.054,1.098,1.142,1.186,1.23,1.33,1.43,1.53,1.63,1.73,1.778,1.826,1.874,1.922,1.97
Malta,3.23,3.328,3.426,3.524,3.622,3.72,3.828,3.936,4.044,4.152,4.26,4.38,4.5,4.62,4.74,4.86,5.052,5.244,5.436,5.628,5.82,5.97,6.12,6.27,6.42,6.57,6.698,6.826,6.954,7.082,7.21,7.376,7.542,7.708,7.874,8.04,8.178,8.316,8.454,8.592,8.73,8.856,8.982,9.108,9.234,9.36,9.444,9.528,9.612,9.696,9.78,9.85,9.92,9.99,10.06,10.13,10.208,10.286,10.364,10.442,10.52
Mauritania,1.27,1.286,1.302,1.318,1.334,1.35,1.366,1.382,1.398,1.414,1.43,1.448,1.466,1.484,1.502,1.52,1.548,1.576,1.604,1.632,1.66,1.694,1.728,1.762,1.796,1.83,1.89,1.95,2.01,2.07,2.13,2.19,2.25,2.31,2.37,2.43,2.496,2.562,2.628,2.694,2.76,2.832,2.904,2.976,3.048,3.12,3.206,3.292,3.378,3.464,3.55,3.652,3.754,3.856,3.958,4.06,4.154,4.248,4.342,4.436,4.53
Mauritius,2.51,2.59,2.67,2.75,2.83,2.91,3.04,3.17,3.3,3.43,3.56,3.694,3.828,3.962,4.096,4.23,4.37,4.51,4.65,4.79,4.93,4.962,4.994,5.026,5.058,5.09,5.144,5.198,5.252,5.306,5.36,5.46,5.56,5.66,5.76,5.86,5.986,6.112,6.238,6.364,6.49,6.558,6.626,6.694,6.762,6.83,6.804,6.778,6.752,6.726,6.7,6.928,7.156,7.384,7.612,7.84,8.044,8.248,8.452,8.656,8.86
Mexico,2.19,2.22,2.25,2.28,2.31,2.34,2.376,2.412,2.448,2.484,2.52,2.608,2.696,2.784,2.872,2.96,3.046,3.132,3.218,3.304,3.39,3.53,3.67,3.81,3.95,4.09,4.252,4.414,4.576,4.738,4.9,5.074,5.248,5.422,5.596,5.77,5.91,6.05,6.19,6.33,6.47,6.616,6.762,6.908,7.054,7.2,7.292,7.384,7.476,7.568,7.66,7.818,7.976,8.134,8.292,8.45,8.518,8.586,8.654,8.722,8.79
Mongolia,1.61,1.678,1.746,1.814,1.882,1.95,2.064,2.178,2.292,2.406,2.52,2.658,2.796,2.934,3.072,3.21,3.28,3.35,3.42,3.49,3.56,3.978,4.396,4.814,5.232,5.65,5.79,5.93,6.07,6.21,6.35,6.484,6.618,6.752,6.886,7.02,7.168,7.316,7.464,7.612,7.76,7.776,7.792,7.808,7.824,7.84,7.848,7.856,7.864,7.872,7.88,8.018,8.156,8.294,8.432,8.57,8.696,8.822,8.948,9.074,9.2
Morocco,0.28,0.3,0.32,0.34,0.36,0.38,0.402,0.424,0.446,0.468,0.49,0.534,0.578,0.622,0.666,0.71,0.764,0.818,0.872,0.926,0.98,1.054,1.128,1.202,1.276,1.35,1.432,1.514,1.596,1.678,1.76,1.866,1.972,2.078,2.184,2.29,2.404,2.518,2.632,2.746,2.86,2.968,3.076,3.184,3.292,3.4,3.484,3.568,3.652,3.736,3.82,3.924,4.028,4.132,4.236,4.34,4.464,4.588,4.712,4.836,4.96
Mozambique,0.49,0.522,0.554,0.586,0.618,0.65,0.684,0.718,0.752,0.786,0.82,0.856,0.892,0.928,0.964,1,1.002,1.004,1.006,1.008,1.01,0.998,0.986,0.974,0.962,0.95,0.984,1.018,1.052,1.086,1.12,1.13,1.14,1.15,1.16,1.17,1.136,1.102,1.068,1.034,1,0.986,0.972,0.958,0.944,0.93,0.96,0.99,1.02,1.05,1.08,1.12,1.16,1.2,1.24,1.28,1.41,1.54,1.67,1.8,1.93
"Burma (Myanmar)",1.15,1.162,1.174,1.186,1.198,1.21,1.214,1.218,1.222,1.226,1.23,1.26,1.29,1.32,1.35,1.38,1.394,1.408,1.422,1.436,1.45,1.48,1.51,1.54,1.57,1.6,1.726,1.852,1.978,2.104,2.23,2.33,2.43,2.53,2.63,2.73,2.75,2.77,2.79,2.81,2.83,2.908,2.986,3.064,3.142,3.22,3.314,3.408,3.502,3.596,3.69,3.798,3.906,4.014,4.122,4.23,4.354,4.478,4.602,4.726,4.85
Namibia,2.4,2.47,2.54,2.61,2.68,2.75,2.814,2.878,2.942,3.006,3.07,3.142,3.214,3.286,3.358,3.43,3.534,3.638,3.742,3.846,3.95,4.054,4.158,4.262,4.366,4.47,4.58,4.69,4.8,4.91,5.02,5.14,5.26,5.38,5.5,5.62,5.726,5.832,5.938,6.044,6.15,6.13,6.11,6.09,6.07,6.05,5.984,5.918,5.852,5.786,5.72,5.77,5.82,5.87,5.92,5.97,6.01,6.05,6.09,6.13,6.17
Nepal,0.11,0.11,0.11,0.11,0.11,0.11,0.114,0.118,0.122,0.126,0.13,0.158,0.186,0.214,0.242,0.27,0.316,0.362,0.408,0.454,0.5,0.544,0.588,0.632,0.676,0.72,0.774,0.828,0.882,0.936,0.99,1.144,1.298,1.452,1.606,1.76,1.906,2.052,2.198,2.344,2.49,2.522,2.554,2.586,2.618,2.65,2.714,2.778,2.842,2.906,2.97,3.086,3.202,3.318,3.434,3.55,3.686,3.822,3.958,4.094,4.23
Netherlands,6.08,6.092,6.104,6.116,6.128,6.14,6.15,6.16,6.17,6.18,6.19,6.414,6.638,6.862,7.086,7.31,7.488,7.666,7.844,8.022,8.2,8.346,8.492,8.638,8.784,8.93,9.036,9.142,9.248,9.354,9.46,9.552,9.644,9.736,9.828,9.92,9.992,10.064,10.136,10.208,10.28,10.336,10.392,10.448,10.504,10.56,10.61,10.66,10.71,10.76,10.81,10.808,10.806,10.804,10.802,10.8,10.918,11.036,11.154,11.272,11.39
"New Zealand",9.19,9.248,9.306,9.364,9.422,9.48,9.564,9.648,9.732,9.816,9.9,9.914,9.928,9.942,9.956,9.97,10.162,10.354,10.546,10.738,10.93,11.086,11.242,11.398,11.554,11.71,11.686,11.662,11.638,11.614,11.59,11.614,11.638,11.662,11.686,11.71,11.692,11.674,11.656,11.638,11.62,11.632,11.644,11.656,11.668,11.68,11.696,11.712,11.728,11.744,11.76,11.762,11.764,11.766,11.768,11.77,11.612,11.454,11.296,11.138,10.98
Nicaragua,1.55,1.606,1.662,1.718,1.774,1.83,1.898,1.966,2.034,2.102,2.17,2.252,2.334,2.416,2.498,2.58,2.67,2.76,2.85,2.94,3.03,3.088,3.146,3.204,3.262,3.32,3.406,3.492,3.578,3.664,3.75,3.82,3.89,3.96,4.03,4.1,4.178,4.256,4.334,4.412,4.49,4.596,4.702,4.808,4.914,5.02,5.118,5.216,5.314,5.412,5.51,5.604,5.698,5.792,5.886,5.98,6.106,6.232,6.358,6.484,6.61
Niger,0.32,0.324,0.328,0.332,0.336,0.34,0.348,0.356,0.364,0.372,0.38,0.384,0.388,0.392,0.396,0.4,0.408,0.416,0.424,0.432,0.44,0.456,0.472,0.488,0.504,0.52,0.546,0.572,0.598,0.624,0.65,0.686,0.722,0.758,0.794,0.83,0.872,0.914,0.956,0.998,1.04,1.078,1.116,1.154,1.192,1.23,1.26,1.29,1.32,1.35,1.38,1.418,1.456,1.494,1.532,1.57,1.632,1.694,1.756,1.818,1.88
Norway,7.4,7.402,7.404,7.406,7.408,7.41,7.424,7.438,7.452,7.466,7.48,7.556,7.632,7.708,7.784,7.86,7.952,8.044,8.136,8.228,8.32,8.364,8.408,8.452,8.496,8.54,8.624,8.708,8.792,8.876,8.96,9.106,9.252,9.398,9.544,9.69,9.808,9.926,10.044,10.162,10.28,10.368,10.456,10.544,10.632,10.72,10.78,10.84,10.9,10.96,11.02,11.172,11.324,11.476,11.628,11.78,11.742,11.704,11.666,11.628,11.59
Pakistan,0.99,0.994,0.998,1.002,1.006,1.01,1.038,1.066,1.094,1.122,1.15,1.198,1.246,1.294,1.342,1.39,1.428,1.466,1.504,1.542,1.58,1.64,1.7,1.76,1.82,1.88,1.934,1.988,2.042,2.096,2.15,2.222,2.294,2.366,2.438,2.51,2.592,2.674,2.756,2.838,2.92,3.008,3.096,3.184,3.272,3.36,3.462,3.564,3.666,3.768,3.87,4.082,4.294,4.506,4.718,4.93,4.948,4.966,4.984,5.002,5.02
Panama,3.76,3.836,3.912,3.988,4.064,4.14,4.23,4.32,4.41,4.5,4.59,4.64,4.69,4.74,4.79,4.84,4.914,4.988,5.062,5.136,5.21,5.346,5.482,5.618,5.754,5.89,6.044,6.198,6.352,6.506,6.66,6.796,6.932,7.068,7.204,7.34,7.402,7.464,7.526,7.588,7.65,7.806,7.962,8.118,8.274,8.43,8.492,8.554,8.616,8.678,8.74,8.828,8.916,9.004,9.092,9.18,9.198,9.216,9.234,9.252,9.27
"Papua New Guinea",0.51,0.526,0.542,0.558,0.574,0.59,0.622,0.654,0.686,0.718,0.75,0.794,0.838,0.882,0.926,0.97,1.042,1.114,1.186,1.258,1.33,1.404,1.478,1.552,1.626,1.7,1.782,1.864,1.946,2.028,2.11,2.21,2.31,2.41,2.51,2.61,2.698,2.786,2.874,2.962,3.05,3.102,3.154,3.206,3.258,3.31,3.344,3.378,3.412,3.446,3.48,3.582,3.684,3.786,3.888,3.99,4.044,4.098,4.152,4.206,4.26
Paraguay,2.69,2.752,2.814,2.876,2.938,3,3.086,3.172,3.258,3.344,3.43,3.482,3.534,3.586,3.638,3.69,3.78,3.87,3.96,4.05,4.14,4.248,4.356,4.464,4.572,4.68,4.784,4.888,4.992,5.096,5.2,5.32,5.44,5.56,5.68,5.8,5.862,5.924,5.986,6.048,6.11,6.138,6.166,6.194,6.222,6.25,6.246,6.242,6.238,6.234,6.23,6.502,6.774,7.046,7.318,7.59,7.586,7.582,7.578,7.574,7.57
Peru,2.83,2.864,2.898,2.932,2.966,3,3.042,3.084,3.126,3.168,3.21,3.308,3.406,3.504,3.602,3.7,3.832,3.964,4.096,4.228,4.36,4.552,4.744,4.936,5.128,5.32,5.476,5.632,5.788,5.944,6.1,6.204,6.308,6.412,6.516,6.62,6.742,6.864,6.986,7.108,7.23,7.36,7.49,7.62,7.75,7.88,8.074,8.268,8.462,8.656,8.85,8.99,9.13,9.27,9.41,9.55,9.416,9.282,9.148,9.014,8.88
Philippines,2.21,2.408,2.606,2.804,3.002,3.2,3.252,3.304,3.356,3.408,3.46,3.554,3.648,3.742,3.836,3.93,4.086,4.242,4.398,4.554,4.71,4.866,5.022,5.178,5.334,5.49,5.634,5.778,5.922,6.066,6.21,6.284,6.358,6.432,6.506,6.58,6.684,6.788,6.892,6.996,7.1,7.192,7.284,7.376,7.468,7.56,7.622,7.684,7.746,7.808,7.87,7.932,7.994,8.056,8.118,8.18,8.23,8.28,8.33,8.38,8.43
Poland,5.4,5.454,5.508,5.562,5.616,5.67,5.744,5.818,5.892,5.966,6.04,6.176,6.312,6.448,6.584,6.72,6.846,6.972,7.098,7.224,7.35,7.462,7.574,7.686,7.798,7.91,7.942,7.974,8.006,8.038,8.07,8.156,8.242,8.328,8.414,8.5,8.612,8.724,8.836,8.948,9.06,9.22,9.38,9.54,9.7,9.86,9.94,10.02,10.1,10.18,10.26,10.396,10.532,10.668,10.804,10.94,11.016,11.092,11.168,11.244,11.32
Portugal,1.9,1.932,1.964,1.996,2.028,2.06,2.104,2.148,2.192,2.236,2.28,2.316,2.352,2.388,2.424,2.46,2.554,2.648,2.742,2.836,2.93,3.104,3.278,3.452,3.626,3.8,3.97,4.14,4.31,4.48,4.65,4.804,4.958,5.112,5.266,5.42,5.536,5.652,5.768,5.884,6,6.138,6.276,6.414,6.552,6.69,6.838,6.986,7.134,7.282,7.43,7.348,7.266,7.184,7.102,7.02,7.12,7.22,7.32,7.42,7.52
Qatar,1.63,1.724,1.818,1.912,2.006,2.1,2.188,2.276,2.364,2.452,2.54,2.674,2.808,2.942,3.076,3.21,3.324,3.438,3.552,3.666,3.78,3.878,3.976,4.074,4.172,4.27,4.366,4.462,4.558,4.654,4.75,4.836,4.922,5.008,5.094,5.18,5.26,5.34,5.42,5.5,5.58,5.69,5.8,5.91,6.02,6.13,6.224,6.318,6.412,6.506,6.6,6.738,6.876,7.014,7.152,7.29,7.518,7.746,7.974,8.202,8.43
"South Korea",4.5,4.604,4.708,4.812,4.916,5.02,4.856,4.692,4.528,4.364,4.2,4.424,4.648,4.872,5.096,5.32,5.494,5.668,5.842,6.016,6.19,6.376,6.562,6.748,6.934,7.12,7.322,7.524,7.726,7.928,8.13,8.304,8.478,8.652,8.826,9,9.17,9.34,9.51,9.68,9.85,9.978,10.106,10.234,10.362,10.49,10.604,10.718,10.832,10.946,11.06,11.14,11.22,11.3,11.38,11.46,11.578,11.696,11.814,11.932,12.05
Moldova,3.28,3.36,3.44,3.52,3.6,3.68,3.798,3.916,4.034,4.152,4.27,4.376,4.482,4.588,4.694,4.8,4.966,5.132,5.298,5.464,5.63,5.808,5.986,6.164,6.342,6.52,6.67,6.82,6.97,7.12,7.27,7.4,7.53,7.66,7.79,7.92,8.03,8.14,8.25,8.36,8.47,8.554,8.638,8.722,8.806,8.89,8.954,9.018,9.082,9.146,9.21,9.282,9.354,9.426,9.498,9.57,9.736,9.902,10.068,10.234,10.4
