Country,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Albania,,,,,,,,,,,,,,,,,,2,1.75,1.5,1.25,1,1.1667,1.3333,1.5,1.6667,1.8333,2,1.9954,1.9908,1.9863,1.9817,1.9771,1.9725,1.9679,1.9633,1.9588,1.9542,1.9496,1.945
Algeria,,,,,,,,,,,,,,,,,,,,,,1,1.0909,1.1818,1.2727,1.3636,1.4545,1.5455,1.6364,1.7273,1.8182,1.9091,2,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,8,7.9998,7.9996,7.9994,7.9992,7.999,7.9988,7.9986,7.9984,7.9982,7.998,7.9978,7.9976,7.9974,7.9972,7.997
Argentina,,,,2,2.1429,2.2857,2.4286,2.5714,2.7143,2.8571,3,3.25,3.5,3.75,4,4,4,4,4,4.1429,4.2857,4.4286,4.5714,4.7143,4.8571,5,4.9982,4.9964,4.9946,4.9929,4.9911,4.9893,4.9875,4.9857,4.9839,4.9821,4.9804,4.9786,4.9768,4.975
Armenia,,,,,,,,,,,,,,,,,2,1.9091,1.8182,1.7273,1.6364,1.5455,1.4545,1.3636,1.2727,1.1818,1.0909,1,1,1,1,1.0394,1.0789,1.1183,1.1578,1.1972,1.2367,1.2761,1.3156,1.355
Australia,4,4.0714,4.1429,4.2143,4.2857,4.3571,4.4286,4.5,4.5714,4.6429,4.7143,4.7857,4.8571,4.9286,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,5.9,6,6.1429,6.2857,6.4286,6.5714,6.7143,6.8571,7,7.0148,7.0295,7.0443,7.059,7.0738,7.0885,7.1033,7.118
Austria,,,,,,,,,,3,3.2222,3.4444,3.6667,3.8889,4.1111,4.3333,4.5556,4.7778,5,5,5,5,5,5,5,5,5,5,5.1473,5.2945,5.4418,5.589,5.7363,5.8835,6.0308,6.178,6.3253,6.4725,6.6198,6.767
Azerbaijan,,,,,,,,,,,,,,,,,1,1.0909,1.1818,1.2727,1.3636,1.4545,1.5455,1.6364,1.7273,1.8182,1.9091,2,1.6667,1.3333,1,1.0288,1.0576,1.0863,1.1151,1.1439,1.1727,1.2014,1.2302,1.259
Bangladesh,,,,,,,,,,,,,,,,,,,,,,1,1.0383,1.0766,1.1148,1.1531,1.1914,1.2297,1.2679,1.3062,1.3445,1.3828,1.4211,1.4593,1.4976,1.5359,1.5742,1.6124,1.6507,1.689
Belarus,,,,,,,,,,2,2,2,2,2,2,2,2.25,2.5,2.75,3,3,3,3,3,3,3,3,3,2.6667,2.3333,2,2.0392,2.0784,2.1177,2.1569,2.1961,2.2353,2.2746,2.3138,2.353
