Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Australia,,,,,,21.58273381,20.75471698,18.3908046,19.79166667,20,18.75,18.25396825,20.81911263,19.15584416,18.6746988,19.60784314,18.84816754,18.51851852,18.79350348,18.58974359,18.18181818,16.015625,14.25855513,13.22463768,14.40972222,14.47811448,14.8662,15.25423729,13.24200913,14.28571429,17.2,14.34210526,15,13.04347826,14.35294118,15.77777778,16.66666667,15.4,11.93737769,16.36363636,14.04293381,15.96638656,13.75,18,15.38461539,13
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.14194309,22.80181782,24.48922362,21.13692198,22.43079216,22.03208575,21.85513043,21.63427637,20.91732027,19.35596592,19.18886268,18.55055412,18.18505684,18.05321141,17.72888425,17.04325299
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.18298714,13.59923114,13.18681319,11.60471442,15.20518359,11.83206107,11.51109251,10.25326797,9.873617694,8.915753683,7.480461481,7.04379562,5.838108883,6.411149826,5.912863071,3.298900367,
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.70588235,24.85549133,24,23.875,24.32457913,24.0131579,22.50234034,22.71794872,21.25,21.12332112,20.80823529,20.45454546,20.13186813,18.97746967,19.17553192,19.51123128,19.30323498,19.229,18.62745098
Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,25.47202797,24.7972,24.12242781,23.9548,23.78714118,23.2944,22.80161943,22.407,22.012478,21.6653,21.31813213,21.3128,21.30750605,20.6806,20.05359536,19.6986,19.34352644,18.1421,16.94074284,
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.958415842,5.6692,7.3801,9.090909091,12.5455,16,16.3333,16.66666667,18.8596,21.05263158
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.339317018,1.739690722,3.384675171,6.430555556,3.534808419,8.197946776,7.142857143,9.6,11.14171573
"Costa Rica",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.630681818,0.552486188,2.8511,5.149700599,3.703703704
"Czech Republic",,,,,,,,,,,,,,,,,,,,,,,,,,,18.28985624,18.42904374,18.7297,19.03031426,17.9535,16.87662165,15.95069783,15.63749732,16.14681968,15.93892946,15.35176621,16.93153188,17.87301988,15.10501797,15.79850307,16.3296567,15.26297988,15.37883532,16.2545602,16.45515416
Germany,,,,,,,,,,,,,,,,,,,,,,,27.01268499,23.39181287,21.02578797,19.98158379,20.89222615,21.45470085,21.16385135,21.04730414,20.5107084,19.2485083,19.13580247,20.39758504,22.50935252,17.30205279,19.62209302,17.10526316,17.44233577,17.04545455,16.75081342,16.66666667,15.30054645,13.85714286,17.07953064,
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.79707567,9.921804087,10.18220538,10.16733042,10.17206125,9.850297938,10.18354903,10.17200504,8.895098496,7.947197261,6.9998449,6.76891196,6.323865702,5.836048095
Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.16196137,16.2548,15.3476,14.4405,13.53333333,13.5261,13.5189,13.5117,13.50446429,13.0135,12.5225,12.0315,11.54049762,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.00065194,26.1724,27.3441,28.5158,29.6875,29.2151,28.7427,28.2703,27.79783394,27.9332,28.0686,28.204,28.33935018,
Finland,,,,,,,,27.69040181,27.08860759,27.16894977,26.62381868,26.2927,25.96153846,25.63174292,23.4270415,22.9792,22.53142039,23.61284007,23.04579444,23.5590355,22.862102,21.46774696,20.28498619,21.9848125,23.14957875,22.40219409,20.58266966,21.33201166,20.80042641,21.71623611,20.42748918,21.23909129,20.37320281,20.09925558,20.01515104,18.94169403,19.37479454,21.37690409,21.23395266,19.67567279,18.87699985,18.6076171,18.72607453,20.17843271,19.60907945,18.05598132
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.30472103,12.3262,11.3477,10.3692,9.390746679,9.3228,9.2548,9.1868,9.118807541,9.3071,9.4955,9.6838,9.872102318,
"United Kingdom",47.57803918,45.52742197,45.67779459,46.3787263,44.42223422,39.85541471,36.55030196,35.7883676,37.47486879,38.29523948,36.68858598,35.42681227,35.6596195,34.56728189,35.0815266,35.12011436,34.93850634,34.51295439,34.04572948,33.73065918,32.74495597,31.07547804,29.9466794,28.71901926,28.07971852,28.19283493,27.2184109,26.91907016,27.03529423,26.08972841,26.28031382,25.63964591,24.37909945,24.12446709,23.35874097,22.06395819,21.71808403,21.6347807,21.85786912,20.68629596,19.23143692,18.2460052,17.78388278,17.48201439,17.38274257,17.10155148
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.8755983,16.66666569,11.87862949,11.62904936,9.523771574,9.587165735,12.1728406,10.71428576,6.852802021,11.27373202,9.090908085,6.249999287
Hungary,,,,,,,,,,,,,,,,,,,,25.97997942,23.117,20.2541,17.39109272,7.948628948,15.18105405,15.75400169,17.77534924,16.7236,15.67189287,15.30123115,14.09876804,13.68978149,9.129712294,1.47600449,3.034373765,4.021526574,0.384387036,3.648106127,2.22065446,3.87608807,6.381712252,6.863905325,11.33246244,8.723650635,3.772605527,9.523809524
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,25.18248175,24.0272,22.8719,21.71666667,21.0544,20.392,19.72972973,19.7208,19.7118,19.70283629,18.23030174,13.79310345,14.41132686,17.95344797,14.96402878,14.88707738,12.84472988,10.44685255,8.50075339,12.7698278,15.17342812,14.44894073
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.22546295,13.19922882,12.40007676,15.89032991,13.32855935,15.97781296,14.31478374,14.07981263,14.3036,14.52746333,13.59348986,9.931402995
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.10349985,24.52009598,24.61492448,25.46195257,22.35153686,22.01591512,21.1606511,22.02600958,20.26863667,20.70009212,21.82741117,,,,
