Country,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,,,,,,,,,,,,,,,,,,5.1,,,,,
Angola,,,,,,,,30.1,,,,,,,,,,,,,,,
Albania,,,,,,,31.84332,29.2347,26.626,24.0173,21.4087,18.8,15.96,13.12,10.28,7.44,4.6,,,,,,
Argentina,,,,,,,,,,,9.8,9.0108,8.2217,7.4325,6.6434,5.8542,5.065,4.2759,3.486703,,,,
Armenia,,,,,,,,,,,,,,,,,7.5,,,,,,
Azerbaijan,,,,,,,7.330279,6.7642,6.1982,5.6321,5.0661,4.5,,,,,,,,,,,
Burundi,,,,,,,35.67728,30.7418,25.8064,20.8709,15.9355,11,15.28,19.56,23.84,28.12,32.4,,,,,,
Benin,,,,,,,,,,,,,76.1,67.3667,58.6333,49.9,41.1667,32.4333,23.7,,,,
"Burkina Faso",,,,,,,,,,51,45.5,40,34.5,37.075,39.65,42.225,44.8,,,,,,
Bangladesh,,,,,,,,,,13.9129715635,11.4086,8.9043,6.4,6.0892,5.7784,5.4676,5.1569,4.8461,4.5353,4.224495,,,
"Bosnia and Herzegovina",,,,,,,17.6,16.25,14.9,13.55,12.2,10.85,9.5,,,,,,,,,,
Belarus,,,,,,,,,,,,11.2,9.9714,8.7429,7.5143,6.2857,5.0571,3.8286,2.6,,,,
Bolivia,,,,,,,,,22.5,21.7,20.9,20.1,23.7667,27.4333,31.1,18.4,18.9305,19.4611,19.9916,20.52219,16.5561,12.59,
Brazil,,,,,,,,,,,4.60644,4.4043,4.2021,4,3.5,3.3,2.945,2.59,2.3306,2.071282,2.20961609178223,1.53,
"Central African Republic",,,,,,,67.6,64.63,61.66,58.69,55.72,52.75,49.78,46.81,43.84,40.87,37.9,,,,,,
Chile,,,,,,,,,,3.1,3.0667,3.0333,3,2.9667,2.9333,2.9,2.8667,2.8333,2.8,,,,
"Ivory Coast",,,,,,,40.5,41.0167,41.5333,42.05,42.5667,43.0833,43.6,42.4,41.2,40,38.8,37.6,36.4,,,,
Cameroon,,,,,,,,17.40652,21.7388,26.071,30.4033,34.7355,39.0678,43.4,47.65,51.9,56.15,60.4,,,,,
"Congo (Kinshasa)",,,,,,,39.8,38.6143,37.4286,36.2429,35.0571,33.8714,32.6857,31.5,28.1333,24.7667,21.4,26.9521,32.5042,38.0564,43.6084959730716,,
"Congo (Brazzaville)",,,,,,,,,,,,30.183,30.3854,30.5879,30.7903,30.9927,31.1951,31.3976,31.6,,,,
Colombia,,,,,,,,,,,,1.8,2.05,2.3,3.345,4.39,4.4933,4.5967,4.7,4.5775,4.455055,4.1,
"Costa Rica",,,,,,,,,,,3.5,3.2286,2.9571,2.6857,2.4143,2.1429,1.8714,1.6,1.406,1.212,1.018,0.824,0.63
"Dominican Republic",,,,,,,,,0.9,1.5,2.1,2.7,3.9933,5.2866,6.5799,7.873248,5.7174,3.5616,1.405777,5.8609,10.3160329660876,,
Algeria,,,,,,,,,,,,,,,,,,,,6.48955221272624,,,
Ecuador,,,,,,,,,,,9.3,10.45,11.6,9.4667,7.3333,5.2,3.85,2.5,3.1698,3.8396,4.5093,5.179114,
Egypt,,,,,,,,,,,,4.3,3.45,2.6,1.75,0.9,,,,,,,
Ethiopia,,,,,,,,,,,,47.1,42.5,37.9,33.3,28.7,24.1,19.5,,,,,
Gabon,,,,,,,,,,,,,,,,,,,22.6,,,,
