Country,2007,2008,2009,2010,2011,2012,2013,2014,2015
Albania,3.739975758,3.829952918,3.77377228,4.212871881,4.498489643,4.399897266,4.198683731,3.7925495,3.668083963
Algeria,3.470502749,3.68,3.480294904,3.62351906,4.044358638,3.505358313,2.767084204,3.028045771,3.364527797
Angola,,,,,3.412853,2.646821764,2.4901,2.333333,2.584119656
Argentina,4.265522069,4.006668987,3.928119161,3.878529431,3.79884055,3.891806842,3.848427405,3.763173624,3.883164493
Armenia,3.89652217,3.878549093,4.01267608,4.18131619,4.15279565,4.365289337,4.442909922,4.420493287,4.43359731
Australia,6.302370046,6.23813927,6.199105935,5.99827015,5.764842725,5.926441154,6.036072371,5.83942108,5.866462134
Austria,6.099836998,6.22544929,6.241042357,5.984375234,5.702191083,5.665219797,5.664725886,5.67252385,5.658032331
Azerbaijan,3.863034891,3.946978996,4.378620374,4.3153825,3.9264143,4.005064002,3.988711405,4.171118281,4.24900617
Bahrain,5.60959113,5.973607239,5.73720781,5.346071482,5.646785552,6.132068045,6.012861138,5.778792416,5.768210743
Bangladesh,3.684589724,3.51119087,3.332311024,3.588569952,3.83591255,3.802828749,3.671763877,3.553761549,3.368702868
Barbados,5.631578947,5.563768116,5.671956442,5.784781715,5.911640573,5.907872636,5.714263346,5.635462898,5.592359969
Belgium,5.812593174,6.013750734,5.921681396,5.645778609,5.606023378,5.722846831,5.556783053,5.414575617,5.464066953
Belize,,,,,,4.21387,,,
Benin,3.526460663,3.791080646,3.896449659,3.891948837,3.509254116,3.302551514,3.260772815,3.79240545,
Bhutan,,,,,,,,4.718472,4.716249102
Bolivia,3.355864939,3.538120391,3.172064508,3.163736855,3.597109175,3.644027095,3.671095618,3.690828011,3.758655323
"Bosnia and Herzegovina",3.841659262,3.990560491,3.570838038,3.053816733,3.422494274,3.816441,3.87668085,3.925968,
Botswana,5.245236612,5.157403515,5.284721182,4.933634869,5.040675078,5.309032024,4.947465008,4.979351605,5.162088026
Brazil,4.730365326,4.7943986,4.966367965,4.723201845,4.755407891,4.992019625,5.112263463,5.332420983,5.166390412
Brunei,,,4.860627,5.053013963,4.99797391,4.806585322,4.796432685,4.995540328,
Bulgaria,4.434310574,4.339715608,4.266915944,4.346029066,4.307787626,4.254499464,4.307627259,4.526462642,4.890984311
"Burkina Faso",4.413043478,4.262796768,4.174034887,4.247911563,3.98016295,4.052495584,3.995335805,4.124929498,4.349683574
Burundi,3.192307692,3.27011869,3.539173666,3.250523737,2.863835273,2.678223017,2.590823907,2.919590596,3.572933011
"Ivory Coast",,,4.010137,4.075402231,3.842071102,3.383222668,3.476458845,4.25214266,4.47420416
Cambodia,3.01589372,3.252760771,3.468100752,3.755670458,3.80889989,3.776731593,3.894052904,3.891682985,3.664886333
Cameroon,3.308332015,3.318381071,3.57231996,3.87871763,3.791996304,3.807135469,3.739112969,3.652999771,3.854125098
Canada,6.064156084,6.067245658,6.085968775,6.081530383,6.117787537,6.196432703,6.074062458,6.017458584,6.232992873
"Cape Verde",,,,,4.164327,4.081972531,3.976532287,3.840315415,3.88050679
Chad,2.477049538,2.765971444,2.50234712,2.795193673,3.376071701,3.332869728,3.313789939,3.206250788,3.1985165
Chile,5.414973176,5.525744915,5.574271803,5.579529957,5.579762461,5.573832894,5.027296667,4.995672738,5.240729019
China,3.715462862,3.842521338,4.356496341,4.706840487,4.788978705,4.780441686,4.549914871,4.48466131,4.448739221
Colombia,4.707766325,4.500221417,4.386601819,4.203312561,4.321246058,4.444714384,4.375058475,4.465258616,4.52774036
"Costa Rica",4.426910244,4.670199019,4.813822728,4.916423821,4.7866661,4.670556047,4.68788315,5.000082705,5.103545998
Croatia,4.660700327,4.919812706,4.704798997,4.519195959,4.541003018,4.3910351,4.213654457,4.272026451,4.254400574
Cyprus,5.497057892,5.541180209,5.769003467,5.708536346,5.678978812,5.420091403,5.391916087,5.233974968,4.973184104
"Czech Republic",4.9338136,4.925142272,5.13394721,5.254700409,5.102415139,4.997851351,4.937340491,4.751708852,4.925947393
Denmark,6.292123918,6.166428834,6.02619388,5.852742341,5.659264275,5.697101156,5.265201904,5.154573839,5.505266984
"Dominican Republic",3.3548155,3.494407976,3.85567142,4.0792851,4.277502663,4.379442688,4.515556145,4.709616686,4.539056879
Ecuador,3.779573071,3.750936764,3.691282854,3.810169392,3.992535354,4.050817012,4.040383,4.331492889,
Egypt,4.549810247,4.617881487,4.767053814,5.071632892,4.8287779,4.255606854,4.125149919,3.808242098,3.818303188
"El Salvador",4.666666667,4.570811101,4.414917678,4.617558833,4.756540874,4.576843936,4.321507521,3.727862467,3.789747402
Estonia,5.56110267,5.522718998,5.690337932,5.781144091,5.565685543,5.559826308,5.517531254,5.47484609,5.542886834
Ethiopia,3.514859459,3.795273471,3.657860259,3.795658692,4.312545547,4.263435081,4.047365788,3.959636595,4.023121224
Finland,6.297606491,6.216217257,6.137038972,6.178070675,6.173855744,6.10065004,6.270200291,6.4274476,6.424834065
France,6.218659832,6.108868836,5.919600492,5.557846152,5.54004705,5.612376188,5.251844136,5.300817874,5.512675201
Gabon,,,,,,,4.370521,4.491424529,4.566525324
