Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3821.01,3877.98,3930.72,3978.09,4019.47,4055.53,4087.98,4119.26,4151.29,4184.65,4219.2,4255.19,4292.7,4331.8,4372.54,4415.15,4459.95,4507.32,4557.38,4610.27,4665.5,4721.83,4777.59,4831.49,4883.05,4932.28
Bahamas,42.375,42.9,43.686,44.698,45.91,47.296,48.861,50.618,52.565,54.733,57.138,59.776,62.618,65.589,68.604,71.601,74.543,77.434,80.236,82.923,85.466,87.858,90.098,92.222,94.258,96.244,98.17,100.063,101.968,103.954,106.076,108.381,110.825,113.355,115.852,118.24,120.496,122.64,124.735,126.897,129.173,131.617,134.183,136.799,139.346,141.749,143.96,146.038,148.094,150.314,152.791,155.592,158.645,161.888,165.214,168.529,171.83,175.091,178.305,181.428,184.441,187.323,190.064,192.667,195.147,197.489,199.696,201.773
Bahrain,53.497,54.605,56.078,57.895,60.036,62.442,65.055,67.777,70.493,73.09,75.467,77.58,79.457,81.199,82.97,84.896,87.041,89.373,91.921,94.686,97.684,100.888,104.344,108.173,112.538,117.537,123.23,129.528,136.216,142.966,149.537,155.841,161.922,167.852,173.756,179.716,185.776,191.917,198.031,203.998,209.76,215.313,220.764,226.332,232.275,238.802,246.052,254.072,262.923,272.674,283.386,294.86,307.146,320.83,336.655,355.018,376.374,400.185,424.676,447.441,466.813,481.962,493.538,503.133,513.088,525.099,539.718,556.298
Bangladesh,18110.2,18523.7,18925.4,19337.6,19777.3,20256.2,20780.4,21351,21964,22612.2,23287.9,23986.4,24709.1,25464.9,26266.3,27118.8,28034.1,29000.6,29972.1,30886.7,31703.4,32400.1,32999.9,33562.4,34172.8,34892.3,35742.3,36704.2,37749.7,38833.4,39922.1,41007.2,42099.7,43209.7,44353.7,45542.1,46777.6,48050.9,49345.7,50639.9,51917.7,53171.1,54403.9,55626.3,56854.4,58099,59360.6,60632.3,61907.9,63178.6,64436.6,65682.3,66913.5,68117.1,69276.1,70379.6,71421.2,72406.3,73351.2,74279.3,75208,76143.5,77082,78018.9,78946.1,79857.9,80752.7,81634
Barbados,113.991,116.328,118.4,120.237,121.865,123.299,124.545,125.594,126.434,127.067,127.475,127.666,127.671,127.54,127.34,127.126,126.928,126.746,126.615,126.553,126.593,126.727,126.96,127.31,127.794,128.415,129.189,130.091,131.028,131.877,132.544,133.005,133.266,133.407,133.52,133.668,133.865,134.103,134.384,134.698,135.052,135.47,135.924,136.415,136.933,137.469,138.02,138.581,139.146,139.685,140.204,140.669,141.107,141.535,141.989,142.479,143.023,143.608,144.223,144.829,145.421,145.983,146.539,147.056,147.552,148.035,148.496,148.925
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5426.42,5417.32,5403.89,5387.49,5368.67,5347.48,5324.08,5298.51,5270.99,5241.7,5211.41,5181.56,5154.06,5130.26,5110.61,5094.89,5083.05,5074.76,5069.61,5067.79,5068.96,5071.5,5073.24,5072.61,5068.9,5062.37
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5247.23,5264.57,5286.01,5311.43,5340.46,5372.65,5408.09,5446.54,5486.79,5527.27,5566.77,5604.81,5641.32,5676.02,5708.72,5739.3,5767.56,5793.45
Belize,35.177,36.337,37.427,38.48,39.536,40.605,41.715,42.887,44.084,45.332,46.605,47.904,49.23,50.597,52.041,53.55,55.149,56.816,58.482,60.065,61.5,62.79,63.941,64.977,65.921,66.799,67.587,68.326,69.117,70.118,71.419,73.083,75.039,77.242,79.541,81.844,84.151,86.494,88.789,90.965,92.982,94.768,96.37,98.04,100.077,102.721,106.062,110.008,114.322,118.664,122.794,126.639,130.257,133.754,137.275,140.951,144.788,148.732,152.748,156.764,160.738,164.661,168.54,172.396,176.267,180.181,184.139,188.137
Benin,1204.5,1202.85,1203.22,1205.62,1210.03,1216.41,1224.68,1234.78,1246.6,1260.03,1274.97,1291.36,1309.22,1328.6,1349.64,1372.42,1396.97,1423.29,1451.28,1480.81,1511.84,1544.34,1578.39,1614.14,1651.79,1691.5,1733.37,1777.42,1823.57,1871.77,1921.98,1974.3,2028.88,2085.67,2144.68,2205.93,2269.18,2334.65,2403.31,2476.47,2554.95,2639.32,2728.99,2822.26,2916.76,3010.79,3103.7,3196.08,3289.04,3384.29,3483.09,3585.78,3691.95,3801.24,3913.01,4026.82,4142.66,4260.76,4381.29,4504.45,4630.42,4759.21,4890.85,5025.62,5163.87,5305.83,5451.62,5601.14
Bhutan,86.143,88.25,90.255,92.26,94.35,96.545,98.893,101.383,103.995,106.706,109.473,112.282,115.172,118.211,121.505,125.107,129.06,133.335,137.831,142.426,147.015,151.578,156.133,160.744,165.483,170.418,175.581,180.941,186.442,192.011,197.59,203.025,208.322,213.772,219.76,226.49,234.297,242.891,251.167,257.6,261.198,261.407,258.831,255.002,252.09,251.659,254.242,259.355,266.214,273.637,280.699,287.236,293.5,299.568,305.604,311.752,317.961,324.132,330.226,336.199,342.031,347.691,353.192,358.543,363.792,368.944,374.009,378.982
Bolivia,1565.76,1590.86,1617.06,1644.34,1672.7,1702.11,1732.55,1763.96,1796.34,1829.63,1863.81,1898.89,1934.87,1971.81,2009.8,2048.89,2089.13,2130.54,2173.17,2217.07,2262.28,2308.8,2356.63,2405.91,2456.82,2509.42,2563.77,2619.75,2677.12,2735.56,2794.8,2854.83,2915.62,2977.01,3038.8,3100.88,3163.12,3225.66,3288.85,3353.24,3419.2,3486.83,3556.02,3626.77,3699.01,3772.69,3847.81,3924.3,4001.79,4079.82,4158.06,4236.33,4314.66,4393.08,4471.67,4550.48,4629.47,4708.62,4787.99,4867.68,4947.77,5028.28,5109.15,5190.4,5272.02,5353.99,5436.3,5518.9
