Country,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,55.9,54.6889,53.4778,52.2667,51.0556,49.8444,48.6333,47.4222,46.2111,45,,,,
"Cape Verde",,,,,,,,,,,,,,,,,,,,,,,52.5,51.6167,50.7333,49.85,48.9667,48.0833,47.2,,,,,,,,,,
"Costa Rica",,,47.5,44.88,42.26,39.64,37.02,34.4,38.5,42.6,46.7,45.3,46.7,45.7,46,46.8,45.7,46.5,45.6,45.7,47.7,47.4,51.1,50.9,49.9,48.9,47.8,49.3,49.5,49.1,51,48.1,48.6,48.6,49.2,48.5,48.2,,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,30.1,30.3,31.1,31.1,31.7,32.1,31.5,32.6,34.3,37,35.6,,,
"Czech Republic",,,,,,,,,,19.4,20.84,22.28,23.72,25.16,26.6,26.3333,26.0667,25.8,26.0125,26.225,26.4375,26.65,26.8625,27.075,27.2875,27.5,27,26.7,26,26.3,26.2,26.6,26.4,26.1,26.5,25.9,,,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.8,31.9,31.1,31.2,30.7,30,30.7,31.4,,,,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,40,40.51,41.02,41.53,42.04,42.55,43.06,43.57,44.08,44.59,45.1,44.1,,,,
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,24.9,25.2,25.9,26.2,25.3,26.7,27.3,27.5,27.8,28.5,28.5,,,
"Dominican Republic",,,,,,,,47.8,48.7,49.6,50.5,50.8,51.1,51.4,50.4,49.4,48.4,47.4,48.9,49.9333,50.9667,52,50.4,50.1,52.1,52,50,51.9,48.7,49,48.9,47.2,47.4,45.7,47.1,44.5,44.9,,
Algeria,,,,,,,,,,40.2,39.5,38.8,38.1,37.4,36.7,36,35.3,34.8188,34.3375,33.8563,33.375,32.8938,32.4125,31.9313,31.45,30.9688,30.4875,30.0063,29.525,29.0438,28.5625,28.0813,27.6,,,,,,
Ecuador,,,,,,,,,50.5,50.9143,51.3286,51.7429,52.1571,52.5714,52.9857,53.4,52.475,51.55,50.625,49.7,58.6,56.4,55.9333,55.4667,55,54.1,54.1,53.2,54.3,50.6,49.3,49.3,46.2,46.6,47.3,45.4,46.5,,
Egypt,,,,,,,,,,,,32,31.62,31.24,30.86,30.48,30.1,30.775,31.45,32.125,32.8,32.62,32.44,32.26,32.08,31.9,31.7,31.5,31.3,31.1,31.3,31.5,30.65,29.8,30.4667,31.1333,31.8,,
Spain,,,,,,,,,,,,,,,,,,,,,,,,,,33.3,32.4,32.5,33.1,34.2,34.9,35.3,35.7,35.4,36.2,36,,,
Estonia,,,,,,,,,,23,26.3,29.6,32.9,36.2,39.5,39.27,39.04,38.81,38.58,38.35,38.12,37.89,37.66,37.43,37.2,33.6,33.5,33.7,31.2,31.9,31.4,32,32.5,32.9,35.1,34.6,,,
Ethiopia,,,,,,,,,,,,,,,,,44.6,40.95,37.3,33.65,30,29.96,29.92,29.88,29.84,29.8,30.3667,30.9333,31.5,32.0667,32.6333,33.2,,,,,,,
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,27.9,27.6,28,28.3,27.8,27.5,27.7,27.6,27.1,27.2,26.8,,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,38.1,38.4833,38.8667,39.25,39.6333,40.0167,40.4,39.6,38.8,38,37.2,36.4,,,,
France,,,,,,,,,,,,,,,,,,,,,,,,,,30.6,29.8,29.7,32.4,33,33.35,33.7,33.3,33,32.5,32.3,,,
Micronesia,,,,,,,,,,,,,,,,,,,,,,,,,,,42.4,42.1125,41.825,41.5375,41.25,40.9625,40.675,40.3875,40.1,,,,
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,42.2,,,,,,,,,,,,
"United Kingdom",,,,,,,,,,,,,,,,,,,,,,,,,,36,34.3,34.6,35.7,34.1,34.3,34.4,33.2,32.3,33.2,34.1,,,
Georgia,,,,,,,,,,,,,,,,,,37.1,42,41.3,40.2,40.5,39.6,39.6,39.5,39.8,40.3,39.7,40.6,40.6,41.7,42.1,41.6,41.3,40,40.1,38.5,,
Ghana,,,,,,,,,35.3,36,36.8,37.6,38.4,38.6429,38.8857,39.1286,39.3714,39.6143,39.8571,40.1,40.4857,40.8714,41.2571,41.6429,42.0286,42.4143,42.8,42.7143,42.6286,42.5429,42.4571,42.3714,42.2857,42.2,,,,,
Guinea,,,,,,,,,,,,,46.8,46.5667,46.3333,46.1,45.7125,45.325,44.9375,44.55,44.1625,43.775,43.3875,43,42.28,41.56,40.84,40.12,39.4,38.26,37.12,35.98,34.84,33.7,,,,,
Gambia,,,,,,,,,,,,,,,,,,,,48.5,48.26,48.02,47.78,47.54,47.3,,,,,,,,,,,,,,
"Guinea Bissau",,,,,,,,,,,,,,,43.6,42.7111,41.8222,40.9333,40.0444,39.1556,38.2667,37.3778,36.4889,35.6,37.4875,39.375,41.2625,43.15,45.0375,46.925,48.8125,50.7,,,,,,,
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,33.6,34.6,35.1,34,33.6,33.6,34.1,34.8,36.3,36.1,35.8,,,
Guatemala,,,,,,,,58.3,58.7333,59.1667,59.6,59.1636,58.7273,58.2909,57.8545,57.4182,56.9818,56.5455,56.1091,55.6727,55.2364,54.8,54.8167,54.8333,54.85,54.8667,54.8833,54.9,54.38,53.86,53.34,52.82,52.3,51.1,49.9,48.7,,,
Guyana,,,,,,,,,,,,,,,,,,,,44.5,,,,,,,,,,,,,,,,,,,
Honduras,,,,,,,,,,,59.5,57.4,51.8,51.8,53.5,55,55.5,55.7,52.7,57.4,55.3,54.7,54.1,58.8,58.7,58.4,59.5,57.4,56.2,55.7,51.6,53.4,57.4,57.4,53.7,51,50.1,,
Croatia,,,,,,,,,,22.8,23.2667,23.7333,24.2,24.6667,25.1333,25.6,26.0667,26.5333,27,27.4667,27.9333,28.4,28.8667,29.3333,29.8,30.2667,30.7333,31.2,31.6667,32.1333,32.6,32.4,32.3,32.5,32,32.2,,,
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.9,,,,,
Hungary,,,,,,,,,21,23,25,25.725,26.45,27.175,27.9,28.0818,28.2636,28.4455,28.6273,28.8091,28.9909,29.1727,29.3545,29.5364,29.7182,29.9,34.7,28.3,27.9,27.5,27,29.4,28.9,30.5,31.5,30.9,,,
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.5,,,,
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.2,,,,,,
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,33.6,33.8,32.7,32,30.9,32.7,32.3,32.3,32.5,33.4,31.9,,,
Iran,,,,,,,,47.4,46.45,45.5,44.55,43.6,43.45,43.3,43.15,43,43.275,43.55,43.825,44.1,44.0286,43.9571,43.8857,43.8143,43.7429,43.6714,43.6,44.8,43.8667,42.9333,42,40.85,39.7,38.55,37.4,38.8,,,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.6,28.75,28.9,29.05,29.2,29.35,29.5,,,,,
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,28,29,30.3,29.5,31.8,28.7,26.2,26.8,26.8,25.4,25.6,,,
Israel,36.3,36.3286,36.3571,36.3857,36.4143,36.4429,36.4714,36.5,36.3333,36.1667,36,35.8333,35.6667,35.5,36.02,36.54,37.06,37.58,38.1,38.3,38.5,38.7,38.9,39.6,40.3,41,41.7,41.35,41,41.5,42,42.5,41.95,41.4,,,,,
Italy,,,,,,,,,,,,,,,,,,,,,,,,,,34.3,33.8,34,32.9,33.6,33.5,34.3,34.5,34.9,34.9,34.7,,,
Jamaica,,,,,,,,,,43.2,42.15,41.1,39.3,37.5,35.7,37.2667,38.8333,40.4,41.6333,42.8667,44.1,45.5,46.9,48.3,46.9,45.5,,,,,,,,,,,,,
Jordan,,,,,,,,36.1,37.3167,38.5333,39.75,40.9667,42.1833,43.4,42,40.6,39.2,37.8,36.4,36.52,36.64,36.76,36.88,37,36.225,35.45,34.675,33.9,33.25,32.6,33.15,33.7,,,,,,,
Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.1,,,,,,,,,
Kazakhstan,,,,,,,,,,,,,,,,,,35.4,35.4,35.4,35.4,35.4,35.4,34,33,31.4,29.6,30,28.5,29.1,28.8,28.6,27.4,27.5,26.3,26.5,26.5,,
Kenya,,,,,,,,,,,,,,57.5,50.7,43.9,44.7,45.5,46.3,46.575,46.85,47.125,47.4,47.675,47.95,48.225,48.5,,,,,,,,,,,,
Kyrgyzstan,,,,,,,,,,,,,,,53.7,52.24,50.78,49.32,47.86,46.4,38.7,31,30.2,30.3,28.7,34.8,32.6,37.4,33.9,31.5,29.9,30.1,27.8,27.4,28.8,26.8,29,,
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,,,,,,,,
"South Korea",,,,,,,,,,,,,,,,,,,,,,,,,,,,31.7,32,32.3,32.15,32,31.8,31.6,,,,,
Laos,,,,,,,,,,,,,,34.3,34.42,34.54,34.66,34.78,34.9,34.44,33.98,33.52,33.06,32.6,33.16,33.72,34.28,34.84,35.4,35.6,35.8,36,36.2,36.4,,,,,
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.8,,,,,,
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.5,36.0286,35.5571,35.0857,34.6143,34.1429,33.6714,33.2,,,
"Saint Lucia",,,,,,,,,,,,,,,,,42.6,,,,,,,,,,,,,,,,,,,,,,
"Sri Lanka",,,,,,,32.5,32.5,32.5,32.5,32.5,32.5,33.08,33.66,34.24,34.82,35.4,36.2,37,37.8,38.6,39.4,40.2,41,40.825,40.65,40.475,40.3,39,37.7,36.4,37.3333,38.2667,39.2,,,,,
Lesotho,,,,,,,,56,56.9,57.8,58.7,59.6,60.5,61.4,62.3,63.2,61.75,60.3,58.85,57.4,55.95,54.5,53.05,51.6,51.925,52.25,52.575,52.9,53.225,53.55,53.875,54.2,,,,,,,
Lithuania,,,,,,,,,,22.5,24.72,26.94,29.16,31.38,33.6,33.9091,34.2182,34.5273,34.8364,35.1455,35.4545,35.7636,36.0727,36.3818,36.6909,37,35.3,34.4,34.6,35.7,37.2,33.6,32.5,35.1,35.3,37.7,,,
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,30.2,30.8,31,31.1,32.6,31.2,30.5,32,34.3,32,31.2,,,
Latvia,,,,,,,,,,22.5,23.4,24.3,25.2,26.1,27,29,31,31.6,32.2,32.8,33.4,34,34.6,35.2,35.8,36.4,39,35.5,37.5,37.2,36,35,35.8,35.2,35.5,35.1,,,
Morocco,,,,,,39.2,39.2,39.2,39.2,39.2,39.2,39.2,39.2375,39.275,39.3125,39.35,39.3875,39.425,39.4625,39.5,40.05,40.6,40.6167,40.6333,40.65,40.6667,40.6833,40.7,,,,,,,,,,,
Moldova,,,,,,,,,,,,,,,,,,,36.9,39.5,42.6,36.4,38,35.8,34.9,35,36.3,35.4,34.4,34.7,32.9,32,30.6,29.2,28.5,26.8,27,,
Madagascar,,46.8,46.6846,46.5692,46.4538,46.3385,46.2231,46.1077,45.9923,45.8769,45.7615,45.6462,45.5308,45.4154,45.3,43.85,42.4,40.95,39.5,39.05,38.6,43,47.4,45.525,43.65,41.775,39.9,40.4,40.9,41.4,41.9,42.4,42.55,42.7,,,,,
Maldives,,,,,,,,,,,,,,,,,,,,,,,,41.3,40.8857,40.4714,40.0571,39.6429,39.2286,38.8143,38.4,,,,,,,,
Mexico,,,,,,49,49.25,49.5,49.75,50,50.25,50.5,50.75,51,51.35,51.7,50.1,48.5,48.75,49,50.35,51.7,50.6,49.5,47.75,46,47,48,48.1,48.2,48.15,48.1,48.1,48.1,48.15,48.2,,,
"Macedonia (F.Y.R.O.M.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.8,40.2,40.1,38.5,36.9,35.6,,
Mali,,,,,,,,,,,,,,,,50.4,48.9,47.4,45.9,44.4,42.9,41.4,39.9,39.7,39.5,39.3,39.1,38.9,36.9333,34.9667,33,,,,,,,,
"Burma (Myanmar)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.1,,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,30.2,30,31.5,30.5,31,28.9,30.8,32.2,32.3,31.9,,,
Mongolia,,,,,,,,,,,,,,,,,33.2,32.2333,31.2667,30.3,30.95,31.6,32.25,32.9,33.48,34.06,34.64,35.22,35.8,34.9,34,33.1,33.9,33.8,32.9,32,,,
Mozambique,,,,,,,,,,,,,,,,,,44.4,44.8333,45.2667,45.7,46.1333,46.5667,47,46.7667,46.5333,46.3,46.0667,45.8333,45.6,,,,,,,,,
Mauritania,,,,,,,,,43.9,44.9167,45.9333,46.95,47.9667,48.9833,50,43.9,37.8,38.04,38.28,38.52,38.76,39,39.3,39.6,39.9,40.2,39.075,37.95,36.825,35.7,35.15,34.6,34.05,33.5,32.95,32.4,,,
Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.7,35.7167,35.7333,35.75,35.7667,35.7833,35.8,,,,,
Malawi,,,,,,,,,,,,,,,,,,,65.8,62.1,58.4,54.7,51,47.3,43.6,39.9,40.9333,41.9667,43,44.0333,45.0667,46.1,,,,,,,
Malaysia,,,,,,48.6,48.0667,47.5333,47,46.6,46.2,46.7,47.2,47.7,47.9667,48.2333,48.5,48.85,49.2,48.7429,48.2857,47.8286,47.3714,46.9143,46.4571,46,46,46,46,46.15,46.3,,,,,,,,
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,63.3,62.9167,62.5333,62.15,61.7667,61.3833,61,,,,,,,,
Niger,,,,,,,,,,,,,,36.1,38.8,41.5,41.7636,42.0273,42.2909,42.5545,42.8182,43.0818,43.3455,43.6091,43.8727,44.1364,44.4,40.85,37.3,35.85,34.4,32.95,31.5,32.3333,33.1667,34,,,
Nigeria,,,,,,,38.7,39.6,40.5,41.4,42.3,43.2,44.1,45,46.725,48.45,50.175,51.9,50.2143,48.5286,46.8429,45.1571,43.4714,41.7857,40.1,40.5833,41.0667,41.55,42.0333,42.5167,43,,,,,,,,
Nicaragua,,,,,,,,,,,,,,,57.4,56.8,56.2,55.6,55,54.4,53.9667,53.5333,53.1,52.125,51.15,50.175,49.2,47.95,46.7,45.45,44.2,44.68,45.16,45.64,46.12,46.6,,,
Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,29.8,29,30,29.6,29.3,27.9,27.9,27.8,27.6,28.1,28.6,,,
Norway,,,,,,,,,,,,,,,,,,,,,,,,,,31.6,30.6,26.5,27.1,27,26.2,25.7,25.3,25.7,26.4,26.8,,,
Nepal,,,,,,,,,,,,,,,,,35.2,36.275,37.35,38.425,39.5,40.575,41.65,42.725,43.8,42.2286,40.6571,39.0857,37.5143,35.9429,34.3714,32.8,,,,,,,
Pakistan,,,,,,,,,33.3,33.3,33.3,33.3,32.5333,31.7667,31,30.2333,29.4667,28.7,30.9,33.1,32.2,31.3,30.4,31.1,31.8,32.5,32.7,32.25,31.8,31.1333,30.4667,29.8,30.9,30.8,30.7,,,,
Panama,48.7,49.72,50.74,51.76,52.78,53.8,54.82,55.84,56.86,57.88,58.9,58.55,58.2,58.1,58,57.9,57.8,58,58.2,57.5,56.5,57.7,57.3,56.6,56.4,55.1,54,55.1,53,52.6,52,51.9,51.8,51.9,51.7,50.7,51,,
Peru,,,,,,,,,,,,,,,,,,,53.7,56.1,56.3,50.8,51.8,54,53.7,51.2,51.8,51.7,51.3,48.5,48,46.2,45.5,45.1,44.7,44.1,44.3,,
Philippines,,,,,,,41,40.9333,40.8667,40.8,41.8,42.8,43.8,43.5,43.2,42.9,43.9333,44.9667,46,44.9333,43.8667,42.8,42.3667,41.9333,41.5,41.9667,42.4333,42.9,42.5333,42.1667,41.8,41.9333,42.0667,42.2,41.5,40.8,40.1,,
"Papua New Guinea",,,,,,,,,,,,,,,,,,55.4,54.3538,53.3077,52.2615,51.2154,50.1692,49.1231,48.0769,47.0308,45.9846,44.9385,43.8923,42.8462,41.8,,,,,,,,
Poland,,,,,,,,,,,,,,,26.7,28.7,30.7,32.7,32.5,32.3,32.6,33,32.8,34,34.9,35.4,34.5,33.7,33.5,33.7,33.6,33.2,32.8,32.4,32.5,32.1,,,
Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,38.9,38.5,38.1,36.8,36.6,34.9,35.8,36.3,36,36.2,35.6,,,
Paraguay,,,,,,,,,,,,40.8,44.28,47.76,51.24,54.72,58.2,56.55,54.9,54.75,54.6,54.7,54.8,57.3,55.5,52.6,51.4,53.6,52.1,51,49.7,51.8,52.6,48.2,48.3,51.7,48,,
"West Bank and Gaza",,,,,,,,,,,,,,,,,,,,,,,,,,34,34.7,34,35.6,35.05,34.5,36.1,34.4,,,,,,
Romania,,,,,,,,,,,,,,,,,,,,31.1,29.4,29.3,29.4,30.2,29.9,30,29.8,30.5,30.2,29.6,28.2,28.2,27.2,27.3,27.5,,,,
Russia,,,,,,,,,,,,,,,48.4,47.6333,46.8667,46.1,38.4,38.1,37.4,37.1,39.6,37.3,40,40.3,41.3,41,42.3,41.6,39.8,39.5,39.8,40.7,40.9,39.9,37.7,,
Rwanda,,,,,,28.9,30.125,31.35,32.575,33.8,35.025,36.25,37.475,38.7,39.925,41.15,42.375,43.6,44.825,46.05,47.275,48.5,49.2,49.9,50.6,51.3,52,51.86,51.72,51.58,51.44,51.3,51,50.7,50.4,,,,
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.4,,,,,,,,
Senegal,,,,,,,,,,,,,54.1,49.8667,45.6333,41.4,41.3714,41.3429,41.3143,41.2857,41.2571,41.2286,41.2,40.7,40.2,39.7,39.2,39.3833,39.5667,39.75,39.9333,40.1167,40.3,,,,,,
"Solomon Islands",,,,,,,,,,,,,,,,,,,,,,,,,,,46.1,44.9625,43.825,42.6875,41.55,40.4125,39.275,38.1375,37,,,,
"Sierra Leone",,,,,,,,,,,,,,,,,,,,,,,,,40.2,39.425,38.65,37.875,37.1,36.325,35.55,34.775,34,,,,,,
"El Salvador",,,,,,,,,,,,,54,52.975,51.95,50.925,49.9,51.4,52.95,54.5,52.2,51.3,51.1,51.5,50.7,47.4,47.9,45.4,45.2,46.7,45.9,44.5,42.4,41.8,43.5,41.8,40.8,,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,32,32.8,33,33.4,29.7,29.4,28.2,28.7,29.6,29.4333,29.2667,29.1,,,,
"South Sudan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.3,,,,,,,,
"Saint Thomas and Principe",,,,,,,,,,,,,,,,,,,,,,32.1,31.97,31.84,31.71,31.58,31.45,31.32,31.19,31.06,30.93,30.8,,,,,,,
Suriname,,,,,,,,,,,,,,,,,,,,,57.6,,,,,,,,,,,,,,,,,,
Slovakia,,,,,,,,,,19.5,19.5,19.5,19.5,19.5,21.075,22.65,24.225,25.8,25.9625,26.125,26.2875,26.45,26.6125,26.775,26.9375,27.1,29.3,25.8,24.7,26,27.2,27.3,26.5,26.1,28.1,26.1,,,
Slovenia,,,,,,,,,23.6,24.5333,25.4667,26.4,27.3333,28.2667,29.2,28.8,28.4,28,27.6,27.2,26.8,26.4,26,25.6,25.2,24.8,24.6,24.4,24.4,23.7,24.8,24.9,24.9,25.6,26.2,25.7,,,
Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,26.1,26.8,26.4,26.4,26.8,26.3,26.5,26.9,27.1,27.7,27.2,,,
Swaziland,,,,,,,,,,,,,,,,60.5,59.2667,58.0333,56.8,55.5667,54.3333,53.1,52.9222,52.7444,52.5667,52.3889,52.2111,52.0333,51.8556,51.6778,51.5,,,,,,,,
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.8,,,,
Syria,,,,,,,,,,,,,,,,,,,,,,,,,,35.8,,,,,,,,,,,,,
Chad,,,,,,,,,,,,,,,,,,,,,,,,,39.8,40.2375,40.675,41.1125,41.55,41.9875,42.425,42.8625,43.3,,,,,,
Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.2,42.96,43.72,44.48,45.24,46,45.25,44.5,43.75,43,,
Thailand,,,45.2,45,44.8,44.6,44.4,44.2,44,43.8,44.55,45.3,46.6,47.9,45.7,43.5,43.2,42.9,42.2,41.5,43.1,42.8,42.35,41.9,42.2,42.5,42.15,41.8,39.8,40.3,39.8,39.4,37.5,39.3,37.8,,,,
Tajikistan,,,,,,,,,,,,,,,,,,,,,29.5,30.3,31.1,31.9,32.7,33.6,33.1333,32.6667,32.2,31.5,30.8,30.7,30.6,30.5,30.4,30.8,34,,
Turkmenistan,,,,,,,,,,,,,,,,,,,,40.8,,,,,,,,,,,,,,,,,,,
"Timor Leste",,,,,,,,,,,,,,,,,,,,,,,35.9,34.9667,34.0333,33.1,32.1667,31.2333,30.3,,,,,,,,,,
Tonga,,,,,,,,,,,,,,,,,,,,,,,37.7,37.675,37.65,37.625,37.6,37.575,37.55,37.525,37.5,,,,,,,,
"Trinidad and Tobago",,,,,,,,,,42.6,42.025,41.45,40.875,40.3,,,,,,,,,,,,,,,,,,,,,,,,,
