Country,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.7,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,27,27.7833,28.5667,29.35,30.1333,30.9167,31.7,31.3333,30.9667,30.6,30.4,30.2,30,29.75,29.5,29.25,29,,,,,
Argentina,,40.8,41.1333,41.4667,41.8,42.1333,42.4667,42.8,45.3,45.675,46.05,46.425,46.8,45.5,44.9,45.9,48.9,49.5,49.1,50.7,49.8,51.1,53.3,53.8,53.5,50.2,49.3,48.3,47.4,46.3,45.3,44.5,43.6,42.5,42.3,42.7,,,
Armenia,,,,,,,,,,,,,,,,,,,,,36.2,35.8,35.4,34.8,33,37.5,36,32.5,29.8,30.7,29.6,31.1,31.3,30.5,31.5,31.5,32.4,,
Australia,,,31.3,31.6,31.9,32.2,32.5,32.675,32.85,33.025,33.2,33.1,33,32.9,32.8,32.7,32.6,32.75,32.9,33.05,33.2,33.35,33.5,33.5,33.5,33.88,34.26,34.64,35.02,35.4,35.05,34.7,,,,,,,
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,29.8,28.7,29.6,30.6,30.4,31.5,30.3,30.8,31.1,30.9,30.5,,,
Azerbaijan,,,,,,,,,,,,,,,,,34.7,35,35.3,35.6,35.9,36.2,36.5,17.4,18.8,16.2,16.6,21.6667,26.7333,31.8,,,,,,,,,
Burundi,,,,,,,,,,,,,,33.3,34.8,36.3,37.8,39.3,40.8,42.3,41.1875,40.075,38.9625,37.85,36.7375,35.625,34.5125,33.4,34.2286,35.0571,35.8857,36.7143,37.5429,38.3714,39.2,,,,
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,30.5,29.3,28,29.2,28.4,28.5,28.4,28.1,27.5,27.7,28.1,,,
Benin,,,,,,,,,,,,,,,,,,,,,,,,,38.6,39.2,39.8,40.4,41,41.6,42.2,42.8,43.4,44.5,45.6,46.7,47.8,,
"Burkina Faso",,,,,,,,,,,,,,,,48.1,48.55,49,49.45,49.9,48.58,47.26,45.94,44.62,43.3,42.7167,42.1333,41.55,40.9667,40.3833,39.8,38.9,38,37.1,36.2,35.3,,,
Bangladesh,,,,,25.9,26.4,26.9,27.5667,28.2333,28.9,28.4667,28.0333,27.6,28.925,30.25,31.575,32.9,33,33.1,33.2,33.3,33.4,33.36,33.32,33.28,33.24,33.2,32.98,32.76,32.54,32.32,32.1,,,,,,,
Bulgaria,,,,,,,,,,,,,,30.7,31.0571,31.4143,31.7714,32.1286,32.4857,32.8429,33.2,33.5571,33.9143,34.2714,34.6286,34.9857,35.3429,35.7,36.1,33.6,33.8,35.7,34.3,36,36.6,37.4,,,
"Bosnia and Herzegovina",,,,,,,,,,,,,,,,,,,,,,,30,31.3333,32.6667,34,33.7,33.4,33.1,33.275,33.45,33.625,33.8,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,32.3,32,31.2,30.6,30.3,28.8,26.5,27.5,28.3,29.6,27.8,27.7,28.6,27.1,26.5,26.6,27.2,26.7,,
Belize,,,,,,,,,,,,,,,60.3,60.9,58.75,56.6,60.4,54.9,53.3,,,,,,,,,,,,,,,,,,
Bolivia,,,,,,,,,,,,42,44.3143,46.6286,48.9429,51.2571,53.5714,55.8857,58.2,58.15,58.1,63,58.9,60.2,57.6,55,58.5,56.9,55.4,51.4,49.7,48,46.3,46.7,48.1,48.4,45.8,,
Brazil,,,58,58.4,59,58.4,55.6,58.5,59.7,61.4,63.3,60.5,56.85,53.2,60.1,59.85,59.6,59.9,59.8,59.6,59,59.15,59.3,58.6,58,56.9,56.6,55.9,55.2,54.4,53.9,53.5,53.1,52.7,52.9,51.5,51.3,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,46.8,44.625,42.45,40.275,38.1,38.24,38.38,38.52,38.66,38.8,,,,,
Botswana,,,,,,,54.2,55.025,55.85,56.675,57.5,58.325,59.15,59.975,60.8,61.2333,61.6667,62.1,62.5333,62.9667,63.4,63.8333,64.2667,64.7,64.1,63.5,62.9,62.3,61.7,61.1,60.5,,,,,,,,
"Central African Republic",,,,,,,,,,,,,,61.3,59.6909,58.0818,56.4727,54.8636,53.2545,51.6455,50.0364,48.4273,46.8182,45.2091,43.6,46.12,48.64,51.16,53.68,56.2,,,,,,,,,
Canada,,,32.4,32.25,32.1,31.95,31.8,31.65,31.5,31.375,31.25,31.125,31,31.1,31.2,31.3,31.4,31.5,31.6,33.2,33.25,33.3,33.4,33.5,33.6,33.7,33.7333,33.7667,33.8,33.7333,33.6667,33.6,33.7333,33.8667,34,,,,
Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.3,33.8,32.9,32.5,31.7,31.6,32.5,,,,
Chile,,,,,,,,,56.2,56.5667,56.9333,57.3,56.05,54.8,55.6,56.4,55.65,54.9,55.2,55.5,54.15,52.8,52.3667,51.9333,51.5,50.4,49.3,48.2,48.4667,48.7333,49,48.3,47.6,47.45,47.3,47.5,47.7,,
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.8,42.65,42.5,42.35,42.2,,,,,
"Ivory Coast",,,,,,,45.5,38,40.5,36.9,37.525,38.15,38.775,39.4,39.8,40.2,40.6,40.0667,39.5333,39,39.575,40.15,40.725,41.3,41.6167,41.9333,42.25,42.5667,42.8833,43.2,42.9857,42.7714,42.5571,42.3429,42.1286,41.9143,41.7,,
Cameroon,,,,,,,,,,,,,,,,,,44.5,44.02,43.54,43.06,42.58,42.1,42.2167,42.3333,42.45,42.5667,42.6833,42.8,43.3286,43.8571,44.3857,44.9143,45.4429,45.9714,46.5,,,
"Congo (Kinshasa)",,,,,,,,,,,,,,,,,,,,,,,,,,42.2,42.1875,42.175,42.1625,42.15,42.1375,42.125,42.1125,42.1,,,,,
"Congo (Brazzaville)",,,,,,,,,,,,,,,,,,,,,,,,,,,47.3,47.5667,47.8333,48.1,48.3667,48.6333,48.9,,,,,,
Colombia,,,,,,,,,,,,,,51.5,52.85,54.2,55.55,56.9,57.5,58.1,58.7,58.7,57.8,58.3,54.4,56.1,55,55.3333,55.6667,56,55.9,55.5,54.2,53.5,53.5,53.5,51.1,,
