Country,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Greece,5.860617338,5.698077492,4.857492733,4.632244385,4.758987724,4.669939165,4.661608017,4.908021208,4.997234322,4.994377779
Guatemala,2.131045667,2.147163062,1.882501826,1.693207988,1.708187837,1.860831188,1.965715141,2.079715357,2.10881483,2.378612065
Guinea,,,,,,3.14821,3.415446197,3.60922636,3.60922636,
Guyana,2.122162477,2.337702014,2.584822234,3.139598934,3.125373712,3.458888582,4.003337084,3.701719229,3.628889483,
Haiti,,,,,2.355522,2.496334506,2.918026503,2.977984138,2.962220583,
Honduras,2.928609998,3.27627608,2.79824275,2.672000197,2.461884007,1.976802017,1.886782413,2.364517816,2.689744553,2.393117482
"Hong Kong",6.373365859,6.439427338,6.41165595,6.363918433,6.107747303,6.029338362,5.680721128,5.698393853,6.081442437,6.081442437
Hungary,5.452570582,5.328422795,5.162110481,5.025486,4.914946685,5.049581841,4.856588949,4.769081396,5.006955535,5.671519337
Iceland,6.6421306,6.623463769,6.47078875,6.377292253,6.363205771,6.295835843,6.131358415,6.101122965,6.250488214,6.146107218
India,5.163729459,5.172346496,5.243617986,4.956067437,4.815420964,4.995579157,4.650007937,3.84523353,4.023409588,4.360601435
Indonesia,5.735649668,5.320505592,4.922800234,4.720316531,4.34418225,4.310224597,4.379430291,4.27313091,3.913044452,3.936658843
Iran,,,,4.194747,4.417351796,4.738130452,4.226596202,3.594655562,4.087565693,4.377572836
Ireland,5.193804245,5.26965759,5.451490784,5.790680986,5.671420662,5.638302812,5.482255195,5.507468185,5.5012069,5.195209998
Israel,5.475275795,5.380675311,5.71276358,5.358966201,5.095480491,5.517063816,5.121116008,4.838250841,4.898781315,4.957387157
Italy,4.564722361,4.649028937,4.400538675,4.455449275,4.458602646,4.489616879,4.499354228,4.262464009,4.055334908,3.986057924
Jamaica,1.998091195,2.043200817,2.235259257,2.133900742,1.917603756,2.237363697,2.313230032,2.05521261,1.862328196,2.321079484
Japan,5.447949611,4.99771931,4.918512364,5.209029554,5.47012637,5.413225639,5.219539864,5.199264575,5.378885448,5.315831336
