Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.7,7.78,6.86,5.94,5.02,4.1,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7,7.5211,7.3421,7.1632,6.9842,6.8053,6.6263,6.4474,6.2684,6.0895,5.9105,5.7316,5.5526,5.3737,5.1947,5.0158,4.8368,4.6579,4.4789,4.3,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.6,10.76,9.92,9.08,8.24,7.4,7.375,7.35,7.325,7.3,6.6375,5.975,5.3125,4.65,3.9875,3.325,2.6625,2,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,3.02,3.54,4.06,4.58,5.1,4.72,4.34,3.96,3.58,3.2,3.5,3.8,4.1,4.4,4.7,5,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6,8.1167,7.6333,7.15,6.6667,6.1833,5.7,5.1857,4.6714,4.1571,3.6429,3.1286,2.6143,2.1,,,,,,
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1,6.95,6.8,6.65,6.5,6.35,6.2,6.05,5.9,5.75,5.6,5.4333,5.2667,5.1,4.9333,4.7667,4.6,,,
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,7.4846,7.1692,6.8538,6.5385,6.2231,5.9077,5.5923,5.2769,4.9615,4.6462,4.3308,4.0154,3.7,3.85,4,4.15,4.3,
"Burkina Faso",,,,,,,,,,,,,,,,,,,,,,,,15.6,15.3167,15.0333,14.75,14.4667,14.1833,13.9,15.575,17.25,18.925,20.6,21.2667,21.9333,22.6,20.55,18.5,16.45,14.4,8.9,8.7,8.15,7.6,6.95,6.3,7.5,7.3,
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.4,16.8,14.2,11.6,12.075,12.55,13.025,13.5,14.5,15.5,16.5,16.2,15.9,15.6,15.3,14.7333,14.1667,13.6,,,,,
"Bosnia and Herzegovina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3,5.9667,5.6333,5.3,4.9667,4.6333,4.3,3.9833,3.6667,3.35,3.0333,2.7167,2.4,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,,,,,,,,,,,,,,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,1.8,2.2,2.6,3,3.4,2.9,2.4,1.9,1.4,,,,
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,1.5,1.5,1.5,1.5,1.5,1.36,1.22,1.08,0.94,0.8,0.85,0.9,0.95,1,1.1,1.2,1.3,1.4,,,
Brazil,,,,,,,,,,,,,,,,,,,,2.1,2.1714,2.2429,2.3143,2.3857,2.4571,2.5286,2.6,2.5091,2.4182,2.3273,2.2364,2.1455,2.0545,1.9636,1.8727,1.7818,1.6909,1.6,,,,,,,,,,,,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,2.0444,2.2889,2.5333,2.7778,3.0222,3.2667,3.5111,3.7556,4,4.75,5.5,,,,,,,,,
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,5.7286,5.9571,6.1857,6.4143,6.6429,6.8714,7.1,,,,,,,,,,,,
"Central African Republic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.3,9.6167,9.9333,10.25,10.5667,10.8833,11.2,9.875,8.55,7.225,5.9,6,6.1,,,,,,,
