"Data Item",1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
"2000 U.S. dollars",441.77,467.22,456.83,421.05,425.35,426.68,391.95,354.19,360.18,369.99,387.67,378.83,364.22,346.82,352.58,316.4,314.77,314.11,309.77,312.19,308.85,314.64,283.34,261.45,258.48,244.48,241.67,254.95,246.75,254.45,229.8,248.82,262.55,265.96,268.24,273.68,263.91
number,1947,1894,1899,1942,1955,1928,1968,1973,2032,2023,2054,2029,2045,2064,2023,2028,2008,2030,2063,2087,2108,2144,2193,2245,2281,2291,2291,2290,2276,2287,2314,2341,2347,2352,2366,2375,2384
