Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Afghanistan,165792,179956,210308,210308,169839,136900,141700,142400,143900,143200,144000,142600,171200,233700,219000,235000,235000,219023,199500,159800,188100,180850,179300,177985,183485,176385,143500,145000,151400,121020,147400,144311,148039,141260,137552,135819,134727,130591,126656,115425,113281,110815,100236,94875,108517,93090,93300,90460,85480,86431,88380,87900,91517,90457
Albania,45516,46313,49115,51747,54738,56110,63622,67524,72770,75530,78852,81000,86700,88300,89300,91500,92000,90500,88800,96400,98500,99700,100300,81000,97500,93000,89300,95100,92300,88000,59793,57990,48108,46597,46661,45796,46442,46651,46859,35890,29436,30740,36447,37660,31080,37580,28250,47440,42240,36414,31766,38699,39981,41597
Algeria,5560,5070,4695,4070,4030,5040,4810,5290,102100,104580,134060,153260,157990,174110,179950,186370,168140,172530,194530,194710,200990,199090,208490,189460,195940,201430,204780,200250,207990,206884,196607,186744,180653,179348,179686,184181,181397,183914,186141,188388,196763,209599,228416,265559,286105,281337,294223,300706,304579,310276,327797,344287,363402,398526
"American Samoa",4000,4047,4000,3000,3000,3000,3000,3000,3000,3180,3000,3000,2900,2800,2750,2700,2600,2500,2400,2400,2400,2400,2400,2300,2300,2350,2380,2400,2400,2420,2334,2200,2463,2537,2598,2649,2722,3800,2200,2570,2553,2571,2100,2200,2580,2563,2538,2525,2550,2498,2600,2650,2700,2526
Angola,118138,132765,134091,132453,133220,131934,136416,140384,155562,162300,185000,148000,192000,189000,153000,151000,152000,154000,155000,100000,103000,104000,105000,101000,94000,99000,97000,86500,89000,92889,97404,103534,99592,101867,99969,103042,102531,105180,104200,110269,146655,151862,217580,244254,252345,242394,308044,342886,358388,366248,399457,338566,429105,430041
"Antigua and Barbuda",500,375,445,250,400,790,781,405,350,400,430,560,610,380,343,419,356,353,330,191,132,167,80,300,1000,900,900,850,750,750,650,670,670,670,550,550,550,550,550,600,600,650,700,700,700,700,700,700,700,700,700,560,565,570
Argentina,2738716,3257049,2943172,2892670,3097475,2875589,2775440,2317835,2736985,2886120,2920785,2560472,2801949,2794529,2781076,2922036,3503514,5126950,5094352,5792000,4411450,5103320,5570500,6373525,6906360,7635600,6601800,7842740,7462430,9018480,8464650,8740100,7882760,8711323,9937030,10601183,10740150,11717350,13370365,12808003,13067341,13891533,15127314,16685769,16697267,17904083,19114752,19617492,19350357,20447186,21581281,20565976,22025626,21574967
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127,,,,,,,,,,,,,,,,,,,,,,
Australia,66032,70620,92033,114102,74729,106576,120371,114305,146618,210160,297459,492661,391318,344326,390765,258234,340687,455258,516106,437741,405484,385604,436032,532315,762633,658245,543293,613849,559165,467736,698550,589827,632890,855689,845471,889413,1318050,1874080,2773310,2183659,2004254,1873254,1552950,1744779,1447063,1548807,1504138,1876457,2030191,2024540,2788231,3101428,3851634,3225480
Austria,7665,7759,9500,10987,10063,11075,11643,11274,7027,6854,6594,6718,5425,5472,5585,5501,6007,7429,7842,10264,9996,8523,8212,9370,11081,15540,40694,62795,67615,78779,94851,143927,154842,165204,144017,113123,107963,112600,129329,107759,110416,110833,112334,106526,113281,131365,118631,121663,134024,146087,148409,143201,144299,144813
