Country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Denmark,0.972371519,0.9633,0.954201102,0.953911722,0.93889159,0.974977076,0.961736143,0.951437175,0.964707971,0.956344306,0.9597013,0.954451501,0.952100098
Djibouti,,,,0.690439582,0.900565028,0.7668,0.632973254,,,,,,
"Dominican Republic",,0.91889888,0.847544849,0.850137472,0.87816149,0.859969318,0.872086227,0.879158199,0.878449142,0.890588045,0.893197775,0.894753456,0.894368112
Ecuador,,0.910188437,0.838859499,0.829394639,0.779397964,0.839279711,0.818051338,0.785201013,0.801250935,0.830963194,0.855889201,0.842352092,0.848941743
Egypt,0.847842455,0.7669,0.685863256,0.738363802,0.744179964,0.768675268,0.753394485,0.736645103,0.675188124,0.618550718,0.729744256,0.809218585,0.63822639
"El Salvador",,0.878409147,0.716827035,0.747411311,0.734112799,0.756653905,0.731277883,0.806014717,0.826858878,0.797612131,0.790755391,0.793659985,0.82895261
Estonia,,0.91006434,0.895631552,0.90372628,0.873774767,0.8912,0.908712626,0.889454544,0.900721788,0.917101741,0.917929649,0.937715113,0.93568635
Ethiopia,,,,,,,,0.658794284,0.602481663,0.640452147,0.625596821,0.718718708,0.73353976
Finland,,0.964562833,0.958,0.9513399,0.9434,0.935481369,0.937856853,0.927739382,0.940869093,0.952016532,0.947800577,0.953940451,0.963826418
France,0.940338254,0.943929076,0.9396,0.935350597,0.918158531,0.942954779,0.92128557,0.93709743,0.907690823,0.877504528,0.895719409,0.884922922,0.931494594
Gabon,,,,,,,0.652701557,0.736096144,0.733487546,0.828597128,0.755861998,0.780048966,0.806941152
Georgia,,0.64663595,0.54836905,0.607512712,0.54351306,0.540388942,0.502937376,0.532586455,0.559165776,0.558420002,0.517371595,0.533412278,0.590495169
Germany,0.963490367,0.9447,0.925937593,0.923211336,0.934782326,0.939308643,0.947236657,0.926406622,0.931420565,0.937558949,0.925923228,0.906029284,0.892166078
Ghana,,0.728269994,0.729647696,0.622255147,0.633197725,0.73855865,0.724297225,0.68511188,0.676289201,0.651468754,0.687448561,0.647303164,0.669111073
Greece,0.836539447,0.8223,0.808002651,0.8007,0.793317616,0.868422449,0.85155499,0.81214112,0.686650038,0.832333207,0.834824681,0.802605867,0.752899528
Guatemala,,0.830441594,0.866397083,0.865605474,0.833815634,0.859052479,0.768112421,0.802148998,0.829650402,0.833974659,0.822837472,0.811235487,0.826492071
Guinea,,,,,,,0.598465562,0.542295277,0.566866577,0.63771373,0.578859627,0.675447047,0.634025574
Guyana,,,0.848765194,,,,,,,,,,
Haiti,,0.693800747,0.6864,0.679098427,0.6166,0.554030776,0.567039013,0.74866271,0.648350894,0.554148793,0.56431967,0.58374244,0.646984994
Honduras,,0.932676792,0.818868577,0.828175902,0.823966086,0.802938998,0.76570183,0.779194891,0.791960239,0.790214539,0.772375524,0.773909986,0.84335494
"Hong Kong",,0.812177718,0.8262,0.840222418,0.834715724,0.857314408,0.846060157,0.826425672,0.83,0.833558202,0.8328,0.83207792,0.83106631
Hungary,0.929628253,0.9301,0.93065387,0.9158,0.900874496,0.895693719,0.893662214,0.906113982,0.877318323,0.844735265,0.858733833,0.899511576,0.876747549
Iceland,,,,0.977429569,0.9778,0.9782,0.9786,0.978965282,0.967144907,0.9737,0.980283201,0.984940052,0.966752827
India,,0.707318068,0.568992674,0.683593154,0.652852058,0.604809761,0.552593112,0.510574579,0.552826345,0.621466637,0.61013329,0.613529384,0.606767476
Indonesia,,0.770950854,0.703788102,0.675075412,0.779368043,0.816021502,0.82497704,0.833621144,0.793760836,0.904827833,0.809478104,0.791830599,0.795589209
Iran,0.765978038,0.7418,0.71759212,0.632628739,0.6158,0.599,0.582237065,0.599542618,0.66370672,0.644063771,0.572406888,0.566281199,0.714232922
Iraq,,,,0.744366288,0.861746132,0.854117811,0.750748634,0.730118215,0.728285432,0.725150704,0.684434831,0.718956709,0.695109367
Ireland,,0.967041135,0.9748,0.982521713,0.958702445,0.972885907,0.977377594,0.961785913,0.955188334,0.967744648,0.95294255,0.958144009,0.943481982
Israel,,0.927078903,0.868216813,0.859264135,0.936573029,0.881829858,0.892696559,0.903415501,0.908515871,0.889069736,0.864130199,0.889660776,0.916440845
Italy,0.928000689,0.9201,0.912292421,0.87966311,0.880312502,0.872384131,0.913309336,0.86948663,0.916296065,0.89789933,0.908986509,0.927212834,0.919791222
"Ivory Coast",,,,,0.667008698,0.6774,0.6878,0.6982,0.708571136,0.710991681,0.703991652,0.617400765,0.661375344
Jamaica,,0.909083962,0.8982,0.8873,0.8764,0.8655,0.854584217,0.8598,0.864943385,0.874231517,0.8872,0.9001,0.91302985
Japan,0.927711964,0.9329,0.938148081,0.887304068,0.888356864,0.901924908,0.916703701,0.905295432,0.923688352,0.900040329,0.922657192,0.899773836,0.881961286
