Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217,625,789,454,324,445,524,229,168,144,235,217
Albania,,,,,,,,,,,,,,,,,,,,,,,,4,5,7,27,10,280,230,209,151,216,191,179,153,147,106,115,120
Algeria,165,150,126,157,141,131,101,82,53,38,31,22,22.3571,22.7143,23.0714,23.4286,23.7857,24.1429,24.5,24.8571,25.2143,25.5714,25.9286,26.2857,26.6429,27,35,49,27,46,28,31,44,39,296,72,77,214,87,82
Angola,,,,,,79,89,77,71,104,150,125,122,133,149,209,174,180,202,263,266,216,224,230,296,215,413,603,669,716,714,564,2051,2396,2747,1253,1176,961,682,549
"Antigua and Barbuda",,,,,,,11,11,4,9,6,7.6667,9.3333,11,8,8,2,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,52,53,55,55,57,
Argentina,36,27,18,19,22,18,20,21,45.2,69.4,93.6,117.8,142,163,177,195,207,232,247,250,268,256,120,180,234,314,357,463,631,767,1038,1137,979,888,732,685,769,1060,959,647
Armenia,,,,,,,,,,,,,,,,,17,5,3,12,4,18,23,26,184,207,182,239,224,180,227,300,315,355,391,364,358,367,341,363
Aruba,,,,,,,,,,,,20,7,7,8,9,8,11,17,32,44,39,46,48,49,62,72,73,76,73,65,64,68,67,70,75,98,108,112,113
Australia,304,365,365,381,403,312,292,341,428,555,674,653,565,533,587,701,872,951,966,1055,869,855,991,1381,1609,1531,2051,2981,3366,3224,4655,6598,7084,6966,6767,6038,6179,6793,7268,7440
Austria,334,286,266,215,195,190,224,229,251,302,320,416,206,289,292,1485,1452,1303,1319,1370,1494.8333,1619.6667,1744.5,1869.3333,1994.1667,2119,2302,2592,2985,2909,2990,3623,3451,3896,4963,4750,4885,5369,5925,5874
