Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Albania,2360,2516,2577,2748,2911,3157,3286,3599,3875,4167,4523,4711,5016,5342,5688,6061,6453,6873,7317,7794,8298,8838,9412,10021,10287,10557,10836,11124,11417,11716,12041,12345,12668,13004,13348,13699,14060,14430,14812,15204,15603,11235,10426,11426,12501,13613,14852,13229,14398,16253,17383,18824,19678,20766,21911,23122,24487,25952,27898,28834,29903,30664,31099,31410,31968,32681,33781,35031
Algeria,46929,47257,49369,50449,53405,55001,60398,67249,69689,82454,88086,77386,60961,77057,81093,86490,82313,90010,100522,110142,121170,110846,134123,138487,146934,157400,167771,182976,206440,225024,229201,234973,250037,262990,277538,291992,289035,287017,281010,290490,285891,282460,286980,280946,278417,289130,300117,303418,318885,329090,341595,351843,371546,398297,415424,439934,447345,462433,473347,481073,498469,512542,529922,544759,565460,586382,605733,617848
Angola,26909,27903,28953,30028,29221,31563,30973,33930,35732,35893,37347,41224,40038,42194,47139,50911,53651,56316,55589,57503,61566,61778,62697,67003,63635,39230,35222,36030,37509,38422,40280,39472,37590,36353,36540,36726,33421,37186,42517,43237,44747,45191,42552,32347,32780,37697,42803,45917,48071,49119,50620,52749,59957,63104,69969,82746,99904,122475,139398,142761,147626,153411,161320,172312,180590,186021,184783,189073
Argentina,157463,163616,155270,163616,170358,182504,187532,197163,209256,195720,211022,226110,222472,217121,239486,261370,263135,270198,281700,305778,322150,337774,348314,369556,393526,390048,389085,412572,394435,422630,428623,404011,391277,405082,413322,385981,414231,424932,416906,391011,391277,432355,476884,506694,536266,521009,549803,594397,617283,596385,591679,565593,503974,548511,598039,650976,703360,766717,797824,750605,826607,876236,867242,888102,865787,888707,868752,886127
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13223,13811,14424,14738,15451,16160,16250,15513,14939,15992,14916,13170,7665,6588,6944,7501,7889,8156,8668,8943,9466,10362,11897,13569,14990,17105,19363,22025,23555,20222,20667,21638,23182,23947,24810,25618,25666,26641
Australia,112203,116997,118055,121738,129306,136369,141062,143887,150798,160082,166792,167942,178436,189366,202322,212655,218573,233331,247048,262072,278740,291140,299309,315535,323358,332113,345500,349117,359245,378163,385720,400622,400131,400181,427793,449448,458778,481459,503088,525214,533198,526302,542145,564699,590913,611543,635810,660536,693247,721419,746809,765504,795983,819836,852173,879459,903403,944315,967458,984747,1008165,1034028,1072209,1095118,1125365,1152290,1180444,1201692
Austria,50755,54226,54274,56636,62424,69323,74092,78630,81502,83818,90718,95534,97848,101831,107943,111048,117298,120864,126235,134174,143732,151080,160460,168301,174938,174305,182282,190807,190114,200486,205124,204921,208829,214686,215399,220233,225387,229175,236436,246430,257656,266524,272104,273537,280108,287581,294478,300971,311686,322875,333751,338258,343859,346460,355834,363451,375630,389233,395256,380240,387573,398456,401428,401926,404518,408414,414462,426895
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58664,62292,66145,68725,72942,75841,77854,82002,86291,79304,70598,70104,54260,41731,33518,29151,29892,32545,34500,38431,40830,43475,47014,51942,57233,72350,97307,121631,134771,147301,154605,152112,155404,164423,168791,169881,164620,162480
Bahrain,2417,2569,2731,2902,3086,3279,3487,3707,3939,4188,4454,4737,5036,5363,5706,6073,6457,6878,7315,7787,8316,8976,9688,10457,11358,10150,11803,13217,14239,14188,15252,15675,16685,17850,18604,18543,18971,19350,20034,20532,20539,21008,22503,24216,24992,25472,26303,26917,28223,29908,32006,32804,33903,36040,38557,41162,43824,47462,50425,51703,53946,55017,57070,60162,62778,64575,66495,68141
Bangladesh,53989,54748,56353,57155,58271,55193,60989,59696,58536,61658,65181,68881,68524,75791,76593,80337,81363,79581,86982,88186,92956,88898,78332,78913,89479,88363,92287,93223,100089,104888,105749,109340,110677,116101,122397,126093,131556,137058,141022,144571,154155,159469,165599,172113,179826,188404,197849,208346,218855,230715,243635,255412,267786,283254,300555,319496,341384,363637,383692,404085,428452,456275,484836,514110,546572,583968,625719,670544
Barbados,777,821,867,916,968,1022,1080,1141,1205,1273,1345,1420,1475,1516,1614,1654,1768,1943,2201,2409,2650,2754,2789,2826,2695,2644,2760,2859,2999,3236,3379,3314,3152,3168,3282,3318,3487,3578,3703,3836,3710,3563,3362,3387,3454,3526,3668,3840,3982,3995,4175,4074,4108,4196,4254,4426,4677,4757,4778,4585,4597,4631,4644,4639,4644,4685,4761,4803
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72042,75280,78663,82685,85534,86449,88814,89807,89489,95358,92106,90816,82098,75857,66983,59558,61210,68208,73967,76447,80852,84673,88944,95207,106110,116126,127737,138782,153006,153257,165118,174273,177289,179105,182191,175214,170574,172621
Belgium,89502,94592,93857,96863,100849,105635,108701,110727,110604,114101,120235,126084,132582,138431,148180,153380,158255,164428,171252,182649,193959,201238,211814,224781,234222,231114,244178,245706,252690,258605,270190,266818,270582,270550,277249,280037,284217,290928,304659,315591,325162,331122,336190,332957,343702,351898,357506,370770,378094,391566,405795,409089,416371,419596,434848,443955,455051,470511,474027,463195,475679,484225,484888,484586,492563,499834,505797,513889
Bolivia,10010,10715,11039,9995,10204,10743,10106,9772,10004,9972,10400,10617,11209,11929,12504,13119,14067,14948,16222,16948,17834,18515,19460,20796,21867,23312,24733,25774,26637,26632,26387,26630,25468,24332,24575,24403,23624,24243,25167,25896,27237,28671,29144,30389,31807,33294,34747,36468,38303,38465,39430,40094,41091,42204,43966,45909,48112,50308,53402,55194,57472,60462,63559,67880,71586,75064,78263,81550
"Bosnia and Herzegovina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22550,19931,14372,9941,10210,10822,16688,20501,23333,25842,26989,27626,29023,30142,32028,33385,35193,37253,39276,38099,38429,38797,38476,39381,39833,41058,41874,42921
Brazil,199291,208807,221239,231892,247237,265359,269182,291584,318040,344721,373405,401408,425903,430320,444844,453813,482225,501623,546334,594005,652422,718625,796076,895927,966591,1016995,1112702,1164745,1223161,1310039,1425595,1362945,1370822,1324061,1395136,1505892,1626709,1681211,1677251,1732208,1659082,1676195,1668369,1746198,1839350,1920592,1963019,2029661,2036523,2046054,2135836,2165519,2231641,2257102,2387109,2463548,2561151,2716610,2855002,2851409,3066069,3187930,3249174,3346807,3363674,3236888,3120532,3151737
Bulgaria,24549,29600,28245,31411,30822,33031,33061,36566,39747,42913,46977,50040,54149,56623,61085,64752,69862,73617,74972,78624,83101,85811,89875,93424,96355,104278,107400,106369,108666,112849,109609,112525,116162,113968,117738,114189,117208,117429,116692,114601,102084,93509,86682,85382,86919,89440,81363,80477,83264,78260,82127,85223,90283,94938,101048,108246,115687,124184,131662,126940,128621,131084,131125,132255,134013,138861,143641,147801
