Country,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,,,,,,,,,,,22.00430724,21.21447525,21.3746186,20.62988134,21.24689772,17.95316999,18.79822474
Albania,20.6220703,21.71804564,20.83803116,25.62479074,24.86816649,26.90484593,29.80563298,33.44890065,35.06408332,35.91896445,37.37745013,37.45238268,38.91827762,40.60759266,41.40661089,43.29055,44.3017801
Algeria,34.02034253,36.59875771,35.71306896,36.74783941,37.80550148,38.60995917,39.96312279,41.77551813,42.61949669,42.21979161,41.32535929,40.67543765,39.17860582,40.48642199,39.54965077,39.16397124,39.16840688
Angola,46.90763313,50.81201742,50.85282198,48.46242007,50.10821096,44.88474273,43.73441947,46.42006891,48.22593417,42.80575413,42.41518098,43.84193963,41.13748315,42.51141443,44.65374936,41.10655511,39.71776292
"Antigua and Barbuda",41.41009107,39.34234215,44.14328659,42.55137715,42.0856869,43.27598439,44.68848498,43.98227888,41.96134163,41.21629423,39.37938191,40.52516512,42.8142457,43.74496095,40.67239309,41.68308762,42.06017452
Argentina,38.35893531,41.89943439,40.73283791,40.05494549,40.52956131,46.20333221,48.02525764,47.48904209,46.61540027,45.09486986,44.11624559,44.29789123,43.89810093,45.2602625,44.67691543,45.71592786,45.69148936
Armenia,35.86015182,35.91647962,37.44955308,38.27093206,35.03051649,37.75498061,37.91729864,41.7742482,43.7174918,46.1718647,47.76362984,47.21769348,48.50968925,49.48424118,48.59549781,48.46188927,48.12695376
Australia,62.9149002,62.4558148,62.86573425,60.86533162,58.52178783,60.58342341,62.41176033,65.7584957,66.01769231,66.48397373,66.32546212,65.51751252,65.5242027,65.41342624,65.20027313,67.20260988,67.08822123
Austria,69.38021285,71.0104553,69.81789512,72.37300099,72.2212498,73.14398892,74.28821119,70.91518566,67.75849177,68.969413,70.7126901,70.11235444,70.20021219,70.55417329,70.51435307,69.50357769,70.9659406
Azerbaijan,33.06765265,35.63037783,42.17266886,44.30156091,42.76257213,37.93140517,36.86180939,40.14612512,39.02847601,38.67448288,40.49852826,44.90703667,42.33022912,45.95989738,48.74655286,50.39457627,50.43377976
