Country,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.41729,18.11671,17.75521,17.98601,18.10514,17.40959,16.14411,15.5665,14.98198,14.33843,13.78128,13.32645,14.16732,13.69354,12.71455,12.46484,12.21051,12.61899,12.3158,12.14469,11.73443,11.27616,10.94414,10.84729,10.73788
Ireland,,,,,,,38.71278,37.6821,36.6514,35.6207,34.59001,34.41755,33.543,32.6684,31.7938,30.9192,30.04455,30.13436,29.32829,28.47806,28.44763,28.28572,27.15183,26.84932,25.46276,24.8028,23.55837,24.00706,24.46837,24.56936,23.83694,22.95157,23.58774,24.31547,24.62449,24.86529,23.32578,23.87879,23.44722,22.72053,22.16633,20.86113,20.79323,19.8389,19.19539,18.72442,18.13768,17.94035,17.65461,17.66425,17.04021,16.23119,16.91961,17.44033,17.56571,16.89755,16.39446,16.42816,17.29527,17.34286,17.17298,16.85891
Italy,,,,,,,,,,,,,,,,,,,,,,,28.62918,28.9785,28.51374,28.62206,28.80998,28.69882,29.43489,30.19395,29.69573,29.8535,29.76584,29.40724,29.12207,28.66839,28.55208,28.57076,28.92366,29.03211,29.32398,29.33791,29.13533,28.80495,28.36223,28.21935,27.87757,27.39418,27.24225,27.97183,26.69074,26.40744,26.12634,25.4523,24.97167,25.27772,25.03925,24.90821,24.82163,24.68129,24.38097,23.93636
Japan,56.52812,54.1357,52.04391,50.23267,48.09689,46.59603,44.88662,43.10799,41.84984,40.62299,39.19662,37.93246,37.56097,36.98521,36.44841,34.98233,33.27475,32.30589,31.08956,30.37999,30.00191,29.42516,29.25871,29.5858,29.0929,28.07081,27.50403,27.13728,26.37363,25.73708,25.40038,24.9103,24.76738,24.17235,23.28655,22.32357,21.16502,20.18334,19.10077,18.64249,18.29023,17.68424,17.50801,17.31655,17.17735,16.61496,15.87648,15.40284,15.13616,14.94707,14.66331,13.77367,13.34993,12.96614,12.6069,12.19435,11.27365,11.78628,11.53541,11.39978,11.05709,10.55901
"South Korea",,,,,,,,,68.4649,69.29073,67.80079,66.58258,64.72635,62.45448,61.77706,61.05854,60.56706,61.44137,62.04533,61.10673,59.3619,58.59652,55.40899,53.46704,52.37465,52.7662,52.91307,52.44454,50.5659,47.10999,45.86395,45.60948,43.80376,43.0395,40.83476,39.45213,37.26786,37.34415,37.9038,37.13137,36.8142,36.69976,36.81335,38.32589,37.59261,36.84631,36.68187,36.03103,34.94551,33.97124,33.56255,32.82927,31.84717,31.26343,30.00172,28.78205,28.24211,28.23534,27.41481,26.78614,25.85826,25.49625
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.174098,8.006198,,,,,,,,,,,
Mexico,,,,,,,,,,,,,,,,40.29988,41.9637,43.6276,45.2915,46.9553,48.6192,50.2831,51.9469,53.6108,55.2747,56.93852,54.4352,51.9319,49.4286,46.9254,44.4221,41.9188,39.4155,36.9122,34.4089,31.9056,44.0215,43.90099,43.78344,43.73131,41.20765,40.06839,40.92431,38.62393,38.00344,35.98727,36.44807,36.82186,36.60709,36.53249,35.61799,34.60542,34.52047,34.19343,34.10854,34.6797,33.68693,33.69416,32.99039,32.06425,32.118,31.53716
Netherlands,,,,,,,,,,,,,,,,,,,,,,,,12.2346,12.30035,12.2334,12.59858,12.41517,12.1042,11.92771,11.45935,11.32881,12.406,12.05245,11.90654,12.41533,11.42626,11.38529,11.75771,12.39096,12.70054,12.25656,12.37406,11.64685,11.49304,11.16614,11.60069,11.67119,11.63651,12.04227,12.39343,12.74732,13.1497,13.15663,13.51659,15.01313,15.15129,15.36291,16.05186,16.61532,16.84132,16.81396
"New Zealand",,19.29726,18.5236,17.7499,16.9762,16.2026,15.42889,15.1815,14.9342,14.6868,14.4395,14.19212,13.9325,13.6728,13.4131,13.1534,12.89377,13.2119,13.5299,13.848,14.1661,14.48421,15.916,17.3479,18.77971,18.27532,14.14149,14.8529,15.5643,16.2757,16.9872,17.69857,17.73986,18.62882,19.22572,19.60912,20.27833,21.00396,20.97087,20.85661,20.81851,20.86207,20,20.36824,21.00793,20.62257,19.729,19.26509,19.25243,19.22887,18.53987,17.68293,17.2048,17.27941,16.44155,16.22624,16.72761,16.62849,15.40189,15.27115,14.76453,17.88321
Norway,,27.11016,26.73338,26.53651,26.10267,25.66308,25.01772,24.47109,24.11848,23.59944,22.92683,22.45322,21.8107,21.25769,20.55631,19.63928,18.5392,17.43902,16.95018,15.74803,15.01767,14.8398,14.21488,14.13868,13.58754,14.29333,13.7605,13.66492,13.19372,13.30583,12.24798,12.66439,11.62679,11.88071,11.76763,11.34538,10.79574,10.30457,10.15228,9.735397,9.330728,8.745247,8.217914,8.292024,7.836991,7.384619,7.155785,7.064304,7.297492,7.399074,7.420185,8.459503,7.996631,7.780364,8.080697,7.717607,7.01334,6.9447,6.984164,7.209891,7.023855,6.954618
