Country,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Greece,4.969230769,4.944096597,4.655567237,4.2048162,3.990058838,3.868235804,3.780739697,3.725769456,3.474651947,3.189737978
Guatemala,4.164705882,4.223105842,4.429018435,4.4061202,4.288098156,4.226721619,3.890308014,3.695165126,4.596116927,5.323531076
Guinea,,,,,,2.420909,2.221707941,1.906977146,1.906977146,
Guyana,3.909090909,3.870832794,3.495148841,3.555279401,3.856284494,3.666129271,3.630123033,3.671534456,3.741520788,
Haiti,,,,,1.992551,1.860415782,1.993697404,2.255347961,2.848452526,
Honduras,3.425,3.395961959,4.1129331,4.789730615,5.040640776,4.801718275,3.595067687,2.999163007,4.327592344,5.013667918
"Hong Kong",6.19047619,6.095084013,5.38005625,5.437679052,5.649971181,5.729587525,5.998476195,5.997922181,6.11191367,6.11191367
Hungary,5,4.907922483,4.568487314,4.527291492,4.804665751,4.794973613,4.653323364,4.449820833,3.712649475,2.726401939
Iceland,5.766666667,5.68637217,4.66375675,3.771769949,3.85919667,4.169032595,4.324913421,4.320330588,4.459921864,4.580235172
India,5.523489933,5.611338516,5.595486415,5.281206146,5.16227464,5.1684978,5.131401331,4.295400435,4.19881346,4.53410049
Indonesia,5.581081081,5.229565154,4.788397157,4.590782858,4.39725365,4.39796361,4.366886514,4.458707877,4.37942403,4.478902635
Iran,,,,3.893252,3.915220299,4.018711301,3.907294394,3.578948984,3.198725297,3.02525417
Ireland,5.95,5.758294226,4.503767684,3.798158724,3.893952662,4.012418068,4.374761157,4.663679495,4.484107946,4.393040569
Israel,5.524590164,5.081967506,4.527930178,4.982138606,5.510224925,4.943775345,4.554767322,4.461544178,4.851851882,5.473967687
Italy,4.471698113,4.474557131,4.189364007,4.125650944,4.265071014,4.102244324,3.701575995,3.833503951,3.874958198,3.43321237
Jamaica,5.037735849,4.817323982,4.955029548,5.130482692,4.952292639,4.864838113,5.059715954,4.999160881,4.884523694,5.235736326
Japan,5.241071429,5.22341287,4.874382783,4.766994023,4.861178517,4.716740276,5.023422451,5.468769201,5.714568009,5.760661947
Jordan,4.986754967,5.111636121,5.15067863,5.02830417,4.790312632,4.464910267,4.359092,4.665325227,4.598175557,4.637878895
Kazakhstan,3.35078534,3.402255229,3.188240953,3.282159268,3.574778,3.73108688,3.808681514,3.775837335,3.921742405,3.637560374
Kenya,4.325301205,4.11722897,3.727895136,3.727020636,4.191767378,4.195637307,4.376087642,4.606089696,4.46808375,4.477362916
"South Korea",5.920454545,5.368039356,4.54897379,4.052962665,4.029372878,3.9538364,3.766148087,3.748152289,4.085091734,4.223938632
Kuwait,4.416666667,4.230456294,4.0226153,4.039564352,3.999350242,3.815014607,3.978753954,3.984145566,3.959358683,4.161167989
Kyrgyzstan,2.761904762,2.946962989,2.744281845,2.58788115,2.562116424,2.6510406,2.90392542,2.968170222,2.915137887,3.208148681
Laos,,,,,,,3.871144,3.910522775,3.764257273,3.705726242
Latvia,4.76744186,4.816091028,4.177628527,3.720657543,4.106535813,4.205361134,4.228016646,4.349043084,4.376135246,4.097376087
Lebanon,,,,4.547998,4.496314695,3.9251948,3.556240813,3.458397173,4.274680268,4.637253797
Lesotho,2.571428571,3.361972472,3.415353686,2.925477566,2.952518415,3.019423648,2.802979169,2.598538087,2.745530058,3.229162694
Liberia,,,,,,3.116382,2.611556516,3.0526,3.49367094,3.659671616
Libya,2.448979592,2.744064361,2.718723557,2.446355792,2.4418,2.437318,2.137021467,2.003178937,,
Lithuania,5.273972603,5.195353069,4.627024464,4.427815182,4.545984141,4.48026043,4.226842398,4.053458668,4.096593776,4.212917159
