Country,2012,2013,2014,2015,2016,2017,2018
Afghanistan,,,0.318475294,0.335215512,0.337717171,0.3311,0.32443616
Albania,0.4,0.4252,0.450498652,0.412642443,0.347673851,0.3602,0.37275494
"Antigua and Barbuda",,,,,0.606402005,0.5857,0.565061073
Argentina,0.45,0.4722,0.494337292,0.452821824,0.503004586,0.51,0.517063059
Australia,0.89,0.8655,0.841068818,0.799027456,0.799891449,0.797,0.79403497
Austria,0.76,0.7924,0.824861815,0.819336952,0.828636014,0.8197,0.810767172
Bahamas,,,,,0.644197117,0.6293,0.614343787
Bangladesh,0.34,0.3433,0.346512362,0.332651663,0.420137664,0.4276,0.434997151
Barbados,,,,,0.667452918,0.6533,0.639097495
Belarus,0.52,0.5151,0.510208774,0.45629853,0.481607265,0.4704,0.459126062
Belgium,0.78,0.7996,0.819250368,0.799299941,0.744487643,0.7374,0.730255227
Belize,,,,0.4413502,0.444784841,0.4156,0.386330185
Bolivia,0.34,0.3865,0.432963103,0.428309108,0.382179316,0.3831,0.383949825
"Bosnia and Herzegovina",0.43,0.4166,0.403116555,0.399656857,0.392332404,0.3746,0.356906788
Botswana,0.72,0.7259,0.731857445,0.665080641,0.581599553,0.5785,0.575408134
Brazil,0.52,0.5042,0.488326849,0.434919439,0.403336453,0.4083,0.413232218
Bulgaria,0.45,0.4218,0.393515443,0.374992424,0.42071566,0.4131,0.405410104
"Burkina Faso",0.51,0.4706,0.431126627,0.396930498,0.391071039,0.4077,0.424277879
"Burma (Myanmar)",,,0.531151042,0.522137023,0.5317938,0.5337,0.53553402
Cambodia,0.39,0.3858,0.381639444,0.2891374,0.292713036,0.2882,0.283755328
Cameroon,0.23,0.2624,0.294738223,0.29861567,0.304120309,0.3016,0.299100225
Canada,0.8,0.7871,0.774118739,0.763397553,0.78630127,0.7842,0.782111299
Chile,0.78,0.7698,0.759687325,0.736810633,0.684553257,0.6502,0.615842509
China,0.49,0.4774,0.464774096,0.465916079,0.481962056,0.4916,0.501302173
Colombia,0.52,0.5109,0.501817108,0.467758412,0.456191469,0.4608,0.465356766
"Costa Rica",,,,0.656547523,0.678803509,0.6815,0.684186877
Croatia,0.52,0.5184,0.516742604,0.45643335,0.527500549,0.5407,0.553839739
"Czech Republic",0.61,0.5973,0.58454984,0.596528649,0.618466967,0.616,0.613487413
Denmark,0.94,0.9394,0.938868454,0.915142778,0.913103565,0.9151,0.917178187
Dominica,,,,,0.590236903,0.590236903,0.590236903
"Dominican Republic",0.42,0.4182,0.416438528,0.382964501,0.382378738,0.3812,0.380109694
Ecuador,0.55,0.5513,0.552522023,0.519338059,0.457452208,0.4425,0.427456011
Egypt,0.55,0.515,0.480038569,0.478737462,0.428403436,0.4309,0.433334565
"El Salvador",0.47,0.4838,0.497557636,0.494178575,0.490302718,0.4785,0.466691268
Estonia,0.75,0.7535,0.756908278,0.709876206,0.729395434,0.7232,0.716961934
Ethiopia,0.46,0.4446,0.429285607,0.437047327,0.392937994,0.3878,0.382663691
Finland,0.95,0.9317,0.913321434,0.900884391,0.906489286,0.9022,0.897946392
France,0.79,0.7846,0.779134151,0.740342951,0.692048764,0.6918,0.691559084
Georgia,0.76,0.7301,0.700174208,0.717951187,0.70815396,0.6817,0.655331145
Germany,0.83,0.8157,0.801392154,0.793491167,0.808512419,0.8049,0.801356738
Ghana,0.45,0.4642,0.478417107,0.423777967,0.400337058,0.4028,0.405359879
Greece,0.48,0.5067,0.53339697,0.530294445,0.518114623,0.5076,0.497073165
Grenada,,,,,0.651289739,0.6379,0.624589838
Guatemala,0.39,0.4076,0.425228455,0.402625177,0.385690397,0.3822,0.37879166
Guyana,,,,,0.447551983,0.4445,0.441461955
Honduras,,,,0.387176298,0.41447532,0.3947,0.37496461
"Hong Kong",0.85,0.8268,0.803562605,0.796746756,0.810457719,0.8202,0.829981465
Hungary,0.66,0.6355,0.611028403,0.43122462,0.41169436,0.43,0.448236029
India,0.32,0.3567,0.393306646,0.41424077,0.456149213,0.453,0.449899298
Indonesia,0.41,0.449,0.487920142,0.497217504,0.490438199,0.4858,0.481260492
Iran,0.46,0.4712,0.482328123,0.454490035,0.486320424,0.4902,0.494096613
Italy,0.61,0.597,0.583952776,0.545871932,0.537695186,0.547,0.55628088
"Ivory Coast",0.44,0.4231,0.406293977,0.40655794,0.38876167,0.3732,0.357678869
Jamaica,0.52,0.5146,0.509187989,0.512023505,0.507197468,0.5085,0.509857716
Japan,0.87,0.8409,0.811880112,0.783372833,0.763085628,0.7707,0.778224207
Jordan,0.59,0.5919,0.593848599,0.571994547,0.614951919,0.6055,0.59605793
Kazakhstan,0.41,0.4261,0.442117714,0.459571345,0.452868077,0.4672,0.48161318
Kenya,0.32,0.3416,0.363151863,0.331596661,0.29267516,0.3021,0.311512892
Kyrgyzstan,0.38,0.3695,0.358941168,0.360603011,0.329542512,0.3361,0.342699552
Lebanon,0.38,0.3868,0.393697854,0.374638453,0.366941023,0.3663,0.365566528
Liberia,0.31,0.3243,0.338549072,0.331110032,0.3436165,0.3386,0.333654734
"Macedonia (F.Y.R.O.M.)",0.61,0.5839,0.557799039,0.560436953,0.50837773,0.4553,0.402257249
Madagascar,0.46,0.4269,0.393774389,0.360081041,0.34182672,0.333,0.324239405
Malawi,0.41,0.3966,0.383128675,0.323879947,0.336499842,0.3612,0.385883735
Malaysia,0.63,0.6076,0.585254842,0.542978925,0.523507237,0.5121,0.500704485
Mexico,0.49,0.4821,0.474298287,0.412925156,0.397372813,0.3629,0.328345085
Moldova,0.45,0.4196,0.389242594,0.306263974,0.300655709,0.3181,0.335640555
Mongolia,0.45,0.4221,0.394172461,0.446136109,0.420698105,0.4321,0.443575777
Morocco,0.37,0.428,0.485922793,0.545387711,0.570076877,0.5288,0.487517437
Nepal,0.5,0.5098,0.519552674,0.471306664,0.434871331,0.462,0.489100684
Netherlands,0.91,0.8853,0.860542535,0.854007837,0.845525886,0.8315,0.817397938
"New Zealand",0.9,0.8928,0.885506866,0.873058057,0.870385882,0.8666,0.862902476
Nicaragua,0.56,0.5256,0.491149362,0.460372455,0.470463314,0.4582,0.445848577
Nigeria,0.26,0.2679,0.275754526,0.261998528,0.312114293,0.3115,0.310797362
Norway,0.94,0.9426,0.945124131,0.942768109,0.928298904,0.9239,0.919466108
Pakistan,0.36,0.3568,0.353620846,0.412257569,0.370171109,0.3721,0.37403085
