Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,551.2521511,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,984.7055789,812.2514237,972.5209018,1194.938719,1307.990384,1396.588876,1534.174579,1758.746541,1848.346048,1994.248903,2191.20541,2548.586267,2923.727581,3061.779042,3198.079292,3361.791299,3484.439606,3622.770814,3810.744347,3924.109442,4095.838186,4212.203197
Algeria,768.5583356,569.3859191,444.392209,767.5759382,818.5883268,839.9877251,659.2703254,643.8186509,675.2337568,707.2634014,762.101121,784.1797108,896.1638367,884.642905,1075.67378,1163.750407,1222.326746,1317.234721,1279.469991,1361.990943,1458.476663,1538.752067,1520.325138,1567.848089,1599.486951,1649.602567,1587.441973,1454.614215,1290.673225,1396.933711,1313.660204,1187.444838,1215.961617,1159.428171,1129.459454,1131.277692,1085.060447,1044.756916,1050.877795,1066.783713,1077.248766,1113.441128,1145.435318,1181.480138,1237.661618,1272.592281,1296.281629,1343.029791,1414.881089,1478.154174,1531.860129,1598.740628,1639.809018,1674.514014,1704.343106,1734.596006,1754.012556,1755.081813
"American Samoa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7437.620637,7567.536897,7869.232666,7799.428502,7699.753643,7653.309955,7585.453712,7468.600634,7225.407553,6942.570357,6820.155085,7039.589612,7080.17997,7048.432917,7116.482155,7092.147395
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1033.088427,1079.27095,1082.617988,1097.131462,1126.557795,1152.117564,1202.618194,1280.216616,1283.673572,1365.592581,1447.56336,1512.842538,1646.188433,1637.778916,1676.877869,1669.269385
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4830.680721,5057.521718,4775.769814,4979.630631,5363.891532,5487.864999,5318.556441,5225.104449,4870.69084,4125.536778,4413.624963,4780.576458,5079.321478,5576.927835,6034.99641,6406.15175,5998.425854,6600.864962,7144.242782,7148.086503,7331.026653,6939.487724,7120.933584,6978.459604,7152.195623
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,864.0647901,966.992752,1022.166638,1116.433222,1179.186083,1195.551634,1301.856771,1404.222926,1528.887262,1648.640329,1805.663863,1982.574345,2163.484109,2470.819749,2625.553208,2525.330773,2631.563951,2696.341811,2934.737533,2949.537956,2965.811977,2726.135387,2690.750481,2925.749351
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14215.26126,,,,,,,
Australia,10360.73363,10381.59315,10385.31427,10743.68716,11276.82019,11611.12372,11682.36693,12125.87066,12505.13248,12898.01152,13419.01819,13476.34221,13708.10691,14130.48262,14642.16567,15168.39686,15130.55811,15758.12538,15884.15077,15946.50068,16034.61557,16293.38645,16918.2418,17110.68489,17095.40999,17013.35741,17601.87316,17663.43035,17902.01416,18417.09904,18928.11459,18869.19496,19077.07745,19244.58524,19451.03619,20067.45848,20479.7747,20853.77423,21658.93587,22640.17814,23324.40876,23743.87509,24182.41982,24848.8528,25800.13026,26619.07617,27080.78783,28376.54004,29180.86897,28748.57096,29225.69674,29971.03064,30315.96456,30314.5865,30580.52719,30856.87727,31246.09237,31410.64282
Austria,,,,,,,,,,,10568.84729,11228.66201,11842.35559,12409.56189,12759.13475,13208.45812,13833.12257,14716.92477,14477.63958,15190.72727,15573.50397,15731.95701,16023.00251,16921.05512,16562.08495,16854.08921,17212.75131,17617.77004,18016.46169,18579.03125,19218.81572,19597.76916,20057.66887,19914.019,20242.80755,20384.12904,20954.89449,21019.09139,21606.03201,22085.35404,22718.93194,22922.03063,22965.09164,23251.79435,23644.29522,24011.77519,24393.20159,24582.6225,24737.69194,24882.8561,25069.94909,25321.66131,25338.0328,25169.22863,25046.42051,24896.30784,24998.39663,25139.76915
