Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,24.7,24.66,24.62,24.58,24.54,24.5,24.56,24.62,24.68,24.74,24.8,25.26,25.72,26.18,26.64,27.1,27.56,28.02,28.48,28.94,29.4,30.02,30.64,31.26,31.88,32.5
Albania,62.4,62.94,63.48,64.02,64.56,65.1,65.78,66.46,67.14,67.82,68.5,69.12,69.74,70.36,70.98,71.6,72.34,73.08,73.82,74.56,75.3,75.88,76.46,77.04,77.62,78.2
Algeria,48.2,49.08,49.96,50.84,51.72,52.6,53.32,54.04,54.76,55.48,56.2,56.88,57.56,58.24,58.92,59.6,60.12,60.64,61.16,61.68,62.2,62.5,62.8,63.1,63.4,63.7
"American Samoa",54.6,54.8,55,55.2,55.4,55.6,56.52,57.44,58.36,59.28,60.2,60.5,60.8,61.1,61.4,61.7,61.98,62.26,62.54,62.82,63.1,63.14,63.18,63.22,63.26,63.3
Andorra,84.7,85.36,86.02,86.68,87.34,88,88.62,89.24,89.86,90.48,91.1,91.4,91.7,92,92.3,92.6,92.88,93.16,93.44,93.72,94,94.12,94.24,94.36,94.48,94.6
Angola,25.8,26.26,26.72,27.18,27.64,28.1,28.72,29.34,29.96,30.58,31.2,32.08,32.96,33.84,34.72,35.6,36.02,36.44,36.86,37.28,37.7,38.3,38.9,39.5,40.1,40.7
"Antigua and Barbuda",56.6,56.84,57.08,57.32,57.56,57.8,58.3,58.8,59.3,59.8,60.3,60.74,61.18,61.62,62.06,62.5,62.98,63.46,63.94,64.42,64.9,65.26,65.62,65.98,66.34,66.7
Argentina,57.4,57.98,58.56,59.14,59.72,60.3,60.94,61.58,62.22,62.86,63.5,63.86,64.22,64.58,64.94,65.3,65.56,65.82,66.08,66.34,66.6,66.96,67.32,67.68,68.04,68.4
Armenia,56.8,56.56,56.32,56.08,55.84,55.6,56.28,56.96,57.64,58.32,59,59.2,59.4,59.6,59.8,60,60.74,61.48,62.22,62.96,63.7,64.46,65.22,65.98,66.74,67.5
Australia,78,78.56,79.12,79.68,80.24,80.8,81.38,81.96,82.54,83.12,83.7,84.2,84.7,85.2,85.7,86.2,86.6,87,87.4,87.8,88.2,88.52,88.84,89.16,89.48,89.8
Austria,74.4,75.16,75.92,76.68,77.44,78.2,78.88,79.56,80.24,80.92,81.6,82.12,82.64,83.16,83.68,84.2,84.58,84.96,85.34,85.72,86.1,86.52,86.94,87.36,87.78,88.2
