Country,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Algeria,102.7019619,131.2135995,118.8698774,123.1009645,126.2291878,140.4770912,153.8435367,164.4643017,174.3494249,187.9990474,203.3995544,226.9135906,250.2431482,249.7477388,290.6508923,284.5227875,297.0597141,305.3356587,332.2453573,356.559018,355.1254938,349.6608532,343.1438343,334.158748,340.6729304,355.4503474,343.5166377,337.1647453,328.5265117,307.2966799,293.2423036,275.4010015,268.5003318,272.1514271,264.8301107,273.2728227,279.223451,305.5710685,313.8157111,323.9309445,332.865436,342.3173391,377.5741324,403.6995153,420.7859187,412.3416081,431.6797393,449.8460688,460.5384852,469.5084392,489.8960482,466.2108073,448.2162413,449.3372531,466.9029983
Argentina,995.03746,1011.676772,1020.663486,1027.086466,1050.272372,926.2855471,973.2244157,958.6190369,945.304557,936.9143917,867.1304069,887.732084,920.3943814,906.3583326,944.6309398,869.6063009,791.3258966,747.2941928,750.904354,696.133856,619.8313466,702.0432351,737.7724723,726.5794411,649.0889348,603.9183476,610.991831,636.4280576,622.4002323,591.3204002,583.119962,598.926823,591.7138522,598.8888861,550.9880134,551.330652,524.4711533,479.2771927,488.3445032,506.7290658,533.847108,553.9750561,609.189034,620.6768648,600.9222162,672.3975796,663.7065551,683.8639587,726.5833396,705.6039846,718.0520878,694.04314,669.7770237,632.4606855,616.3426009
Australia,1336.670324,1552.779762,1657.948759,1759.21093,1761.971529,1908.226589,1971.283951,1972.94461,2074.40706,2169.47848,2115.398717,2136.882467,2213.368841,2193.015571,2204.405515,2086.750886,1991.333326,1972.609361,1910.190707,1974.293939,1846.817601,1861.615563,1869.087624,1923.607313,1958.966617,1957.091536,1876.703774,1859.667874,1935.166923,1986.05391,2025.99904,2034.78568,2049.092009,2022.890264,2065.452648,2031.701351,2023.154622,1992.17996,1966.060348,1997.556473,1950.736369,2082.499748,2012.147409,1976.863465,1931.122222,1877.492546,1969.075767,2013.375171,2016.094538,2010.018865,1905.745933,1894.691189,1958.489661,1986.498288,1947.801929
Austria,761.2433632,831.8554389,880.4720942,1012.960273,1106.782149,1210.312925,1345.105167,1445.300958,1559.86532,1391.633415,1402.649965,1524.718434,1458.900478,1573.200632,1641.400898,1601.629488,1452.558691,1377.105532,1329.589246,1290.866032,1291.551246,1360.847536,1396.715506,1378.926566,1350.53842,1404.43891,1503.471809,1453.615811,1453.715976,1423.750018,1415.152937,1458.180798,1482.180829,1537.588146,1507.137997,1466.146447,1588.947354,1615.009984,1738.567881,1683.234447,1669.032927,1660.579696,1555.735558,1536.609136,1454.415372,1513.82244,1403.771272,1393.958968,1429.727251,1362.402223,1344.727754,1380.642973,1389.896762,1396.148337,1417.249288
Azerbaijan,,,,,,,,,,,,,,,,,,,,,1237.820551,1275.980098,1181.442931,1190.399142,1142.210499,1179.50731,1119.882345,1074.888126,1055.265606,950.2989337,846.2860314,755.7385442,712.4069306,744.3612249,711.0419104,779.3728037,487.5909466,442.7898053,510.9172076,544.8021988,629.6106743,556.884681,518.5553762,407.0225935,371.1292982,361.4295765,435.9041389,449.8804277,484.035584,467.7343208,471.4732947,464.5512044,462.9166409,480.6879754,490.3969436
Bangladesh,,,,,,,10.31562847,12.53270022,14.00110037,14.28525252,16.35593483,17.30577402,16.63408976,17.21669227,18.56078703,20.40444805,20.48490748,19.65874047,17.13440139,16.84074253,18.28915328,19.20856567,18.39634868,17.97602213,19.08724895,18.02815469,16.3069533,17.80824196,19.58303079,19.93122371,25.46671621,25.41438041,28.53681513,30.91712484,26.92714506,26.03834929,30.4177052,29.91288891,30.48441491,28.13545859,27.85425205,27.81542649,25.97027972,26.09955178,24.12650297,26.56465186,34.03173675,36.00953349,34.87444175,38.76986291,40.58003191,44.08356421,48.78649036,55.15842168,52.3033278
Belarus,,,,,,,,,,,,,,,,,,,,,2564.817349,3010.868035,2959.813377,2851.529203,2658.716009,2451.850365,2368.539814,2019.137043,1432.936302,1168.052329,1066.225451,1050.886354,919.4363734,871.9169716,803.6725498,796.7271886,783.2725996,821.1631273,845.2114242,848.9462211,791.3547707,929.7160709,851.3251497,841.5446973,979.6294115,787.0007099,898.9607996,1107.141359,748.44787,853.105934,725.2751913,710.6102626,708.6856033,770.3260728,791.6490156
Belgium,1687.853427,1713.290431,1882.769797,2180.105756,2505.611923,2721.191124,2779.064717,2999.635298,3143.893218,2757.252137,2599.78374,2704.09589,2654.152473,2825.915551,2804.643462,2590.637612,2371.213714,2242.407065,2028.41478,1957.629283,1982.9423,2242.52531,2256.021531,2322.017718,2274.409016,2416.051259,2586.46574,2619.302473,2565.933943,2778.509368,2735.756801,2968.032148,3031.324939,3070.613749,2958.861565,3031.603479,3063.925724,3072.956292,3228.499918,3239.368091,3198.785933,3175.37947,3182.984445,3310.681514,2949.989758,3029.768466,2805.920353,2693.02006,2743.323718,2685.095062,2749.722957,2781.987156,2820.89927,2860.946097,2771.851874
Brazil,178.030119,188.6424722,189.6160103,221.8016139,236.8388528,261.7300542,281.4133773,315.5737345,379.8375812,400.12915,403.2226135,426.337535,426.371651,453.3658357,465.2845171,438.0830426,407.2579657,402.5507943,372.711021,368.9430672,366.3229415,395.9628529,399.3850421,398.62142,393.8950841,381.3004719,378.8773828,403.7744686,412.3390301,432.8722567,444.3096489,465.6267538,491.8453993,504.9672954,503.5728165,490.6392452,496.3004848,479.3327577,459.3980379,468.6570528,475.1287928,479.011164,493.6558055,511.5342462,502.1452662,541.9210441,571.0427806,580.8473904,610.7639917,624.5187922,579.4201849,544.1049099,546.4501652,519.7036583,519.8149885
Bulgaria,450.2232144,510.1123804,637.1431441,749.9989286,915.006581,1056.2394,1155.38726,1194.378684,1253.392704,1297.134647,1369.245991,1417.032847,1468.660343,1508.264018,1550.39863,1573.638381,1398.861798,1350.844748,1299.43499,1245.078972,1154.494982,1217.156094,1170.798145,1245.432853,1218.876092,1119.985363,767.9057134,684.7725082,745.9893452,715.5881712,740.9188955,698.5925848,549.4318403,586.5344795,542.2455009,529.3766097,571.9152352,589.5489562,614.5783599,603.9958299,668.5052118,694.0890819,686.2138153,659.9100932,611.4033029,559.5075385,530.319917,559.9930074,523.246518,558.6928251,632.7765072,641.8708151,676.7878638,680.0247222,724.9693162
