Country,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"South Korea",5.358527672,5.630693378,6.361371205,6.293925584,5.926862228,5.802193533,5.668388695,5.451683772,5.451683772,5.451683772
Kuwait,6.484284166,6.528036558,,,,,,,,
Kyrgyzstan,5.62724758,5.212053148,5.119041221,5.31286265,5.890304903,6.0541249,5.426384452,5.085069926,5.085069926,5.085069926
Laos,,,,,,,3.728231,3.993219301,3.993219301,3.993219301
Latvia,6.632336023,6.814375235,,,,,,,,
Lesotho,6.196522317,6.375615449,,,,,,,,
Liberia,,,,,,3.883446,3.423151211,3.423151211,3.423151211,3.423151211
Libya,6.164556962,6.043209164,,,,,,,,
Lithuania,6.458724116,6.267722983,,,,,,,,
Luxembourg,6.786819002,6.894709676,,,,,,,,
"Macedonia (F.Y.R.O.M.)",5.686234719,5.686855261,,,,,,,,
Madagascar,3.845442154,3.719351772,3.80535037,3.537032924,3.414555038,3.576038528,3.416929392,3.413296625,3.413296625,3.413296625
Malawi,,3.053026,3.264428629,2.842763249,2.211275747,2.54303364,2.876117528,3.066851908,3.066851908,3.066851908
Malaysia,6.052301802,5.909849328,5.675480742,5.26989229,5.251856707,5.161103587,5.399271338,5.472465753,5.472465753,5.472465753
Mali,3.261093565,2.955801772,2.925420425,2.72500007,2.182370975,2.068558165,2.675702896,3.196914678,3.196914678,3.196914678
Malta,6.522078402,6.72115066,,,,,,,,
Mauritania,4.045360234,3.995657363,4.130682211,3.498814005,3.586014614,4.415955768,4.395435824,3.976538954,3.976538954,3.976538954
Mauritius,6.433930705,6.551549335,,,,,,,,
Mexico,6.521998877,6.676155351,6.534643183,6.374624571,6.332362032,6.343822564,6.473372871,6.534475739,6.534475739,6.534475739
Mongolia,5.190086031,5.252412061,,,,,,,,
Montenegro,6.811594203,6.867344677,,,,,,,,
Morocco,5.987353347,5.467525871,,,,,,,,
Mozambique,2.702244193,2.5528393,2.876239917,3.238188774,2.883571765,2.850957883,3.217025944,3.565540006,3.565540006,3.565540006
"Burma (Myanmar)",,,,,,,4.362187,4.527540919,4.527540919,
Namibia,4.57866692,4.753415902,4.162587546,4.160485069,3.992522626,3.824547336,4.256404114,4.583782783,4.583782783,4.583782783
Nepal,5.521906692,5.174436902,4.806142103,4.699623353,4.75226223,5.171281,5.25471075,5.19764262,5.19764262,5.19764262
Netherlands,6.667453135,6.787162734,,,,,,,,
"New Zealand",6.79049505,6.903877551,,,,,,,,
Nicaragua,5.255971164,5.017966538,4.679142748,4.7027298,4.76314892,5.277670426,5.80382187,5.694783063,5.694783063,5.694783063
Nigeria,3.866921724,4.518249275,4.074228457,2.621500505,2.74602267,3.373997158,3.584186148,3.607882786,3.607882786,3.607882786
Norway,6.916949297,6.987837838,,,,,,,,
Oman,4.941176471,5.679808796,5.7357,5.7915,5.8474,5.9032,5.959,6.014894507,6.014894507,6.014894507
Pakistan,5.329243767,4.946760907,4.408993163,4.418021439,4.255269078,4.120583621,3.972401904,4.188559993,4.188559993,4.188559993
Panama,6.031754303,6.306193734,6.398222502,5.966124089,5.986183087,6.232070065,6.257435411,6.045357727,6.045357727,6.045357727
Paraguay,5.514508508,5.329682811,5.455387454,5.416167812,5.414206132,5.585887739,5.925150414,6.14492818,6.14492818,6.14492818
Peru,5.915777339,5.708173612,5.863250538,5.962450091,5.642012659,5.54028215,5.790591854,5.786048621,5.786048621,5.786048621
Philippines,5.749003003,5.605180152,5.137331874,5.122434055,5.092331971,5.08156814,5.046901563,4.902479419,4.902479419,4.902479419
Poland,5.839817221,6.811123487,,,,,,,,
Portugal,6.784994172,6.834181093,,,,,,,,
"Puerto Rico",6.593220339,6.730990251,6.64842645,,,,,,,
Qatar,6.409587835,6.621833207,,,,,,,,
Romania,6.418773088,6.205522682,,,,,,,,
Russia,6.524473679,6.701987328,,,,,,,,
Rwanda,,,,3.505989,3.916475838,4.221157,4.58498018,4.794368,4.794368,4.794368
"Saudi Arabia",5.340425532,5.510977339,5.825615255,6.301403109,6.496437,6.329623954,5.782174548,5.720681616,5.720681616,5.720681616
Senegal,4.103896104,4.573624989,4.234967231,3.53113901,3.924172721,4.056817866,4.043036032,3.936640468,3.936640468,3.936640468
Serbia,6.651162791,6.629433909,,,,,,,,
"Sierra Leone",,,,,,2.010999,2.5450622,2.881119723,2.881119723,2.881119723
Singapore,6.173284269,6.40835081,,,,,,,,
Slovakia,6.775091575,6.820451642,,,,,,,,
Slovenia,6.738636364,6.754742282,,,,,,,,
"South Africa",4.852539457,5.366790857,5.169295637,4.874673513,4.99727225,5.136113441,5.200810095,5.148897135,5.148897135,5.148897135
Spain,6.655192034,6.59915752,,,,,,,,
"Sri Lanka",5.752289205,6.020150059,5.878432676,5.748153283,6.046178386,6.207962,6.238418905,6.03929488,6.03929488,6.03929488
Suriname,,,,,5.639206,5.701360146,5.654400718,5.399537253,,
Swaziland,,,,4.407805,4.531451921,4.148612941,3.314282116,4.096320713,4.096320713,
Sweden,6.802517825,6.952900459,,,,,,,,
Switzerland,6.791300603,6.881724985,,,,,,,,
Syria,6.5,6.674558648,,,,,,,,
Tajikistan,4.549564224,4.730866975,4.74219145,4.55806051,4.27869687,4.386377053,4.6185,4.850574493,4.850574493,4.850574493
Tanzania,3.291832374,3.271637886,3.0953267,3.040539505,2.835789707,2.496707803,2.709187875,3.013466497,3.013466497,3.013466497
Thailand,6.337463768,6.318219318,5.924763025,5.728787324,5.703455551,5.859314169,5.750029576,5.437180766,5.437180766,5.437180766
"Timor Leste",1.836082324,2.167952528,2.648782266,2.463398834,2.193538046,2.08994698,2.633003026,2.904556935,,
"Trinidad and Tobago",5.802653825,6.051334877,,,,,,,,
Tunisia,6.622727273,6.562792009,,,,,,,,
Turkey,6.567904398,6.451002999,6.593278969,6.672329049,6.554919048,6.502295855,6.49864851,6.186916207,6.186916207,6.186916207
Uganda,3.07120259,2.879200958,2.719305509,2.605583512,2.486837822,2.787992097,3.123930656,3.288160947,3.288160947,3.288160947
Ukraine,5.73127073,5.95266768,,,,,,,,
"United Arab Emirates",6.489923767,6.502608213,,,,,,,,
"United Kingdom",6.626081396,6.7202907,,,,,,,,
"United States",6.324766646,6.603474561,,,,,,,,
Uruguay,6.81907563,6.892734764,,,,,,,,
Venezuela,5.497439797,5.073132161,5.302267025,5.470480146,5.077472034,5.251289564,5.4545625,5.443403117,5.443403117,5.443403117
Vietnam,5.897143996,5.752586463,5.49088311,5.494138806,5.185991,4.8478025,4.646575098,4.651725762,4.651725762,4.651725762
Yemen,,,,,4.182445,4.681057743,4.606356988,4.328287821,4.328287821,4.328287821
Zambia,3.244456391,3.384580366,3.459414739,2.885317204,2.687929266,2.680777681,3.110245021,3.888765858,3.888765858,3.888765858
Zimbabwe,4.216309524,4.331971197,4.402819245,4.382265388,4.322110267,4.3208351,4.556487808,4.886166558,4.886166558,4.886166558
