Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,4.2,4.5,4.4,4.6,4.9,4.6,4.5,4.7,5.1,4.7,4.6,4.8,4.8,4.8,5.1,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,
Australia,,,,,,2.5,2.3,3.1,2.4,3.4,2.8,3,3.2,3.1,3.4,2.9,3.1,2.8,2.875,2.95,3.025,3.1,3,2.9,3.5,3,2.7,2.9,3,3,3.5,3.5,3.5,3.8,3.8,3.5,3.5,3.5,3.5,3.5,3.8,3.5,3.4,3.3,3.8,3.4,3.5,3.5,3.4,3.6,3.3,3.4,3.4,3.2,3.1,3.1,3.1,3,2.8,3,3,2.9,,
Austria,,,,,,,,,,,,,,,,,,,,,,4.5,4.6,4,4.1,5.3,5.1,4.7,4.7,4.3,5.4,4.7,5.3,5,5.3,4.9,5,4.9,5.6,5.6,5.3,5.5,4.8,4.8,4.9,3.9,3.9,4.1,3.8,3.8,3.8,3.6,3.7,3.8,3.4,3.1,3.1,3,3.2,3.2,2.7,2.6,2.4,2.4
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,
Barbados,4.1,4.024,3.948,3.872,3.796,3.72,3.644,3.568,3.492,3.416,3.34,3.264,3.188,3.112,3.036,2.96,2.884,2.808,2.732,2.656,2.58,2.504,2.428,2.352,2.276,2.2,2.124,2.048,1.972,1.896,1.82,1.744,1.668,1.592,1.516,1.44,1.364,1.288,1.212,1.136,1.06,0.984,0.908,0.832,0.756,0.68,0.604,0.528,0.452,0.376,0.3,0.9,1.5,2.9,0.6,0.6,3.4,0.6,2.9,1.6,1.5,4.1,,
Belgium,,,,,,2.3,2.1,2.6,2.8,2.6,2.8,3.1,2.4,2.2,3.2,3.3,3.2,3.6,2.95,2.3,2.4,3.2,2.8,2.5,2.8,2.6,2.9,3.9,4,2.6,2.72,2.84,2.96,3.08,3.2,2.75,2.3,2.4,2.5,2.6,2.7,2.8,2.9,3.8,3.7,3.8,3.85,3.9,3.8,3.7,3.6,3.9,3.5,3.7,3.2,3,3.1,3.4,3.2,3,3.2,2.8,2.8,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,1.9,0.8,1.4667,2.1333,2.8,2.35,1.9,2.4,2.9,3.4,2.9,0.9,,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,1.3,1.2,1.2,1.4,1.4,1.4,1.4,1.5,1.4,1.6,1.6,1.7,1.6,1.7,1.7,1.7,
Bulgaria,,,,,,,,,,,,,,,,,1.2,1.2,1.2579,1.3158,1.3737,1.4316,1.4895,1.5474,1.6053,1.6632,1.7211,1.7789,1.8368,1.8947,1.9526,2.0105,2.0684,2.1263,2.1842,2.2421,2.3,2.3579,2.4158,2.4737,2.5316,2.5895,2.6474,2.7053,2.7632,2.8211,2.8789,2.9368,2.9947,3.0526,3.1105,3.1684,3.2263,3.2842,3.3421,3.4,3.5,3.6,3.6,3.5,3,3.1,3.7,
Canada,,,,,,3.4,3.4,3.3,3,3.1,3.4,3.4,3.6,3.4,3.5,3.8,3.6,4,3.4,3.5,3.3,3.5,3.5,3.9,3.5,3.4,3.5,3.5,3.2,3.6,3.5,3.4,3.7,3.6,4,3.6,3.7,3.9,3.9,3.8,3.9,3.7,3.9,3.9,3.7,3.9,3.7,3.8,3.9,3.6,3.4,3.6,3.6,3.6,3.7,3.5,3.3,3.3,3.7,3.2,3.2,3.1,,
Chile,,,,,,1.7,1.4,1.2,1.5,1.9,2.2,1.5,2.1,1.6,1.7,1.5,1.7,2.1,2.1667,2.2333,2.3,2.3667,2.4333,2.5,2.5667,2.6333,2.7,2.7667,2.8333,2.9,2.9667,3.0333,3.1,3.1667,3.2333,3.3,3.3667,3.4333,3.5,3.5667,3.6333,3.7,3.7667,3.8333,3.9,3.9667,4.0333,4.1,4.7,3.9,3.8,4,3.9,4.1,4.1,4.3,3.8,3.6,3.9,4.4,4.2,3.7,4.3,
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,1.2,1,1.3,1.1,1.2,1.2,1.3,1.4,1.1,1.1,1.2,1.3,1.3,1.2,,
"Costa Rica",,,,,,,,,,,,,,,,,0.7,0.7,0.7433,0.7867,0.83,0.8733,0.9167,0.96,1.0033,1.0467,1.09,1.1333,1.1767,1.22,1.2633,1.3067,1.35,1.3933,1.4367,1.48,1.5233,1.5667,1.61,1.6533,1.6967,1.74,1.7833,1.8267,1.87,1.9133,1.9567,2,1.4,1.5,1.3,2.3,1.8,1.5,1.6,1.9,1.4,1.7,1.5,1.8,1.9,2.2,2,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,3.3,3.4,3.8,4.4,4.4,5,4.3,4.6,4.8,5.1,5.6,5.8,5.6,6,5.8,5.3,6.2,6.4
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,1.4,1.4,1.6,2.1,1.9,1.7,1.7,1.5,1.6,1.8,2.1,1.7,
"Czech Republic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3,5.7,5.6,6.6,5.7,5.8,6.4,4.9,11,10.5,10.8,9.5,9.8,9.4,10,9.8,9.9,10.4,9.5,9.2,8.4,8,7.8,7,7.3,6.9,6.6,6.6
Czechoslovakia,,,,,,2.9,3.2,3.5,3.3,3.5,3.5,3.8,4.1,4.1,4.5,4.5,4.6,4.3,4.355,4.41,4.465,4.52,4.575,4.63,4.685,4.74,4.795,4.85,4.905,4.96,5.015,5.07,5.125,5.18,5.235,5.29,5.345,5.4,5.3,6.2,5.8,6,,,,,,,,,,,,,,,,,,,,,,
Denmark,,,,,,3.9,4.4,4.8,4.5,4.7,4.7,3.9,5,5.1,4.4,5.5,4.4,4.2,5.2,4.4,5.1,4.8,4.4,4.9,4.4,4.7,4.7,4.6,3.7,4.3,4.9,4.6,4.6286,4.6571,4.6857,4.7143,4.7429,4.7714,4.8,4.5,4.7,4.3,3.9,4.6,4.6,4.7,4,4.4,4,3.8,4.6,4.5,3.6,4,3.9,4.4,3.9,3.4,3.2,3.5,3.4,2.9,3.3,
"Dominican Republic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.5,0.2,0.5,0.3,0.3,0.3,0.3,0.5,0.4,0.4,0.3,0.3,0.3,0.3,0.2,,
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.8,0.9,0.7,0.8,1,1.3,0.8,0.7,1.2,1.2,1.4,1,1.1,1.2,1.3,
Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.4,0.4,0.3,0.3,0.4,0.4,0.4,0.3,0.4,0.3,0.4,,
"El Salvador",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.2,0.3,0.6,0.9,1.1,0.3,0.6,0.6,0.6,0.7,0.5,0.7,0.5,1,1,
"England and Wales",,,,,,2.6,2.6,2.5,2.7,2.4,2.4,2.6,2.9,2.8,2.9,2.9,2.9,3,2.7,2.8,2.6,2.7,2.7,2.9,2.7,2.9,3.1,3.2,2.9,2.9,2.8,3,3.2,3.3,3.5,3.4,3.5,3.5,3.4,3.7,3.7,3.6,3.9,3.7,3.8,3.8,3.8,3.7,3.7,3.8,3.7,3.7,3.9,3.7,3.9,3.9,4,3.7,3.6,3.6,3.8,3.8,3.8,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,8.4,8.6,7.5,7.4,8.3,8.2,8.4,8.2,7.7,7.1,6.9,7.3,5.2,7.4,8.2,
Finland,,,,,,2.3,3.2,2.1,2.8,3.5,2.9,3.5,3.2,2.5,3.5,2.6,3.4,3.8,4.4,3.8,3.5,3.2,4.2,4,5,3.9,5.6,4.7,4.4,4.7,4.7,4.3,5.1,5.4,5.4,5.4,4.8,4.84,4.88,4.92,4.96,5,5.04,5.08,5.12,5.16,5.2,5.1,4.8,4.8,4.4,4.6,3.9,4.3,4.8,3.6,3.9,3.9,3,3.4,3.6,3.8,3.6,3.7
France,,,,,,2.1,2,2.3,2.5,2.4,2.4,2.4,2.5,2.7,2.9,2.7,2.8,3,2.9,2.8,2.9,3,3.3,3.2,3.4,3.3,3.4,3.4,3.7,3.5,3.7,3.8,3.8,3.7,4.2,4.2,4.3,4.5,4.3,4.2,4.4,4.1,4.3,4.3,4.4,4.2,4.3,4.3,4.2,4.1,3.9,3.9,3.8,3.8,3.6,3.5,3.5,3.5,3.4,3.4,3.6,3.7,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,1.5,2,2.1,1.9667,1.8333,1.7,1.5,1.2,1.2,1.5,1.8,1.1,1.9,2,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2,5.2,4.9,4.9,4.9,4.9,4.9,4.9,5,5.3,5.4,5.2,4.9,4.8,4.7,4.6,4.4,4.3,4.3,3.9,4,3.9,3.8,3.4,3.4,3.5,3.4,3.3,3.4,3.1,3.3
Greece,,,,,,,,,,,,,,,,,1.6,1.3,1.3,1.2,1.6,1.2,1.8,1.4,1.6,1.7,1.9,1.7,1.6,1.6,2,2.1,2.1,2.2,2.3,2.1,2.3,2.2,2.2,2.1,2,2.3,2.5,2.6,2.3,2.5,2.6,2.7,2.9,2.7,2.5,2.4,2.6,2.8,2.8,2.7,2.7,2.9,2.8,3,3.3,2.9,3.1,
Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,1.1,1,1.3,0.7,1.1,0.9,1,
"Hong Kong",,,,,,,,,,,,,,,,,0.7,0.8,0.7,0.7242,0.7485,0.7727,0.797,0.8212,0.8455,0.8697,0.8939,0.9182,0.9424,0.9667,0.9909,1.0152,1.0394,1.0636,1.0879,1.1121,1.1364,1.1606,1.1848,1.2091,1.2333,1.2576,1.2818,1.3061,1.3303,1.3545,1.3788,1.403,1.4273,1.4515,1.4758,1.5,1.5,1.8,2,1.7,1.5,1.7,1.8,1.9,1.6,1.4,1.9,1.3
Hungary,,,,,,,,,,,,,,,,,,,,,3.2,3.4,3.5,3.8,3.7,3.9,4.2,4,4.7,3.9,4.1,3.6,4.4,4.4,4.4,4.8,5.2,5.5,5.2,6,5.5,6,5.7,5.5,5.2,5.6,6,6.4,6.3,6.3,6.1,6.1,5.8,5.6,5.6,5.3,5.9,5.1,5,5.7,5.8,5.6,5.7,5.3
Iceland,,,,,,,,,,,,,,,,,,,,,,10.3,2.8,5.7,3.9,8.3,7.4,6.5,6.7,7.5,7.2,6.9,4.3,5.8,0.8,1.75,2.7,5.5,5.6,6.2,6.1,4.3,6.4,7.9,6.3,6.1,4.9,6.5,4.9,4.5,6,8.7,6.5,5.5,4.8,8.3,6.2,5.5,5.1,3.7,,,,
Ireland,,,,,,1.6,1.7,1.8,1.5,2.1,1.1,1.8,1.7,1.5,2.2,1.9,2.1,2.5,1.7,1.8,2.15,2.5,3.1,2.5,3.1,3.4,2.7,2.7,2.6,3,2.4,3.2,2.3,2.3,2.8,3.3,3.3,3.4,3.1,3.1,2.8,3.3,4.4,3.3,3.3,2.8,3.6,4.2,3.7,3.8,4,4.6,4.3,4,4.8,4.3,3.6,3.3,4.2,4.7,3.8,,,
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,3.3,3.1,3.1,2.8,3.1,3.0143,2.9286,2.8429,2.7571,2.6714,2.5857,2.5,3.3,2.6,2.6,3.4,2.6,3.3,3.5,3.8,3.2,2.9,3.6,2.4,2.8,3,2.9,2.9,2.1,2.8,3,2.3,2.9,2.5,2.3,2.5,2.7,
Italy,,,,,,1.3,1.7,1.7,1.6,1.8,1.8,1.9,1.7,1.9,1.7,1.9,1.8,2,1.9,2,2.1,2.2,2.4,2.4,2.4,2.5,2.6,2.8,2.9,3.2,3.2,3.2,3.6,3.6,3.6,3.7,3.8,3.9,3.9,4,4,4.1,4,3.8,4.2,3.8,3.7,3.6,3.7,3.5,3.5,3.4,3.3,3.2,3.2333,3.2667,3.3,3.2,3.2,3.1,3.2,3,3,
Japan,,,,,,0.4,0.5,0.6,0.6,0.6,0.7,0.7,0.8,0.8,0.8,0.8,0.9,0.9,0.9,0.9,0.9,1,1,1.1,1,1.1,1.1,1.1,1.2,1.2,1.4,1.3,1.5,1.5,1.7,1.7,1.7,1.7,1.7,1.7,1.8,1.8,1.9,1.9,1.9,1.9,2,2,1.9,1.9,1.8,1.8,1.9,1.8,1.9,1.9,1.8,1.8,1.8,1.7,1.7,1.7,1.8,1.7
Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.4667,1.9333,2.4,1,0.925,0.85,0.775,0.7,0.625,0.55,0.475,0.4,0.3,1.4,1.8,0.2,1.7,1.9,1.2,2.3,0.7,1,0.9,0.2,0.5,0.4,1.8,0.8,0.7,0.7
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,2.6,2.1,2.6,2.1,1.9,1.6,1.8,2.3,2.2,2.1,2.2,1.7,1.4
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7,7.9,7.1,7.8,7.6,8.2,7.7,6,7.2,6.9,8.1,7.8,8,6.8,6.9,7.2,8.1,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.2,7.1,8.4,7.3,6.8,7.6,7.1,8.3,8.7,8.4,8.6,10.8,7.4,9.1,7,
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,2.9,2.6,3.4,2.4,2.8,5.4,1.1,2.3,2.2,1.8,1,2.7,2.7,2.5,2.7
"Macedonia (F.Y.R.O.M.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,2.5,1.6,2.3,1.8,,,
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,0.9,2.3,1.3,4.1,4.5,2,1.5,3.2,4.1,3.5,2.3,3.9,4.7,1.4,3.6,3.6,5.4,5.7,3.5,2.2,3,3.3,5.7,2.6,3,3.7,2.1,5.6,4.1,4.4,3.8,2.3,3.1,1.7,
Mauritius,,,,,,,,,,,,,,,,,,,,3.2,2,0.8,1.3,0.3,0.7,0.3,0.3,1.3,0.3,0.2,0.4,0.9,1.2,1.1,0.7,0.3,0.3,0.4,0.3,1.2,0.4,0.8,1.3,1.7,0.6,0.8,0.8,1.1,0.5,1.6,1,0.9,1.3,1.4,1.7,1.3,1.4,0.9,2.6,0.8,1.3,1.1,2.1,1.4
Mexico,,,,,,,,,,,,,,,,,0.7,0.7,0.675,0.65,0.625,0.6,0.7,0.7,0.8,0.8583,0.9167,0.975,1.0333,1.0917,1.15,1.2083,1.2667,1.325,1.3833,1.4417,1.5,1.5583,1.6167,1.675,1.7333,1.7917,1.85,1.9083,1.9667,2.025,2.0833,2.1417,2.2,2,2.1,2.2,2.2,2.5,2.3,2.3,2.3,2.5,2.4,2.2,2.5,2.6,2.3,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,1.9,2.1,2.4,1.8,2.4,2.7,2.3,2.6,1.8,3.1,2.3,3,3.2,3,2.6,3.7,3.6
Netherlands,,,,,,2.8,2.6,2.4,2.7,3.3,3.2,3.3,3.7,3.6,3.5,4.2,4,3.7,4,3.5,3.5333,3.5667,3.6,3.8,3.8,3.9,3.8,3.9,4.1,4.6,4.3,4.5,4.5,4.4,4.5,4.1,4.7,4.9,4.7,4.4,4.6,4.5,4.3,4.7,4.6,4.5,4.6,4.5,4.5,4.4,4.3,4.3,3.7,4,4.2,3.7,4,4,3.9,3.9,3.7,3.6,3.8,3.4
"New Zealand",,,,,,2.9,3.5,3.7,3.8,3.7,3.1,3,4.3,3.9,3.8,3.1,3.2,3.5,4.4,3.1,3.6,3.7,3.5,2.8,3.6,3.8,3.2,3.2,4.2,3,3.4,4.5,3.7,3.9,4.2,4.7,3.9,3.5,3.4,3.9,2.8,3.1,3.6,4.6,3.7,4.2,3.3,3,4.5,3.5,2.9,3.7,3.2,3.6,3.7,3.2,3.3,3.4,3,3.5,3.2,3,,
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.3,0.4,0.5,1.1,0.5,0.9,1.1,0.9,1.3,1.2,1.2,0.8,1.1,0.9,1.1,
"Northern Ireland",,,,,,1.4,2.3,1.7,1.9,3.6,2.4,1.9,1.8,3,2.2,2.9,1.7,2.1,2.1417,2.1833,2.225,2.2667,2.3083,2.35,2.3917,2.4333,2.475,2.5167,2.5583,2.6,3.2,3.4,2.7,2.3,2.5,3,3.7,4,4,3.5,4.6,3.9,4.4,3.5,3.3,4.7,3.9,3.9,3.6,3.1,3.7,3.8,4,5,4.6,3.8,4.1,4.1,3.3,2.5,4,3.9,3.6,4.6
Norway,,,,,,3.3,3.9,3.5,3.5,3.6,3.5,3.7,3.8,3.1,3.6,3.5,4,4.1,4.4,3.4,3.6,3.4,4.1,3.6,4.1,4,3.5,3.5,4.2,4.6,3.8,4.2,5.2,4.4,4.1,4.8,3.9,4.5,3.9,4.3,4.5,4.7,4,4.3,3.7,4.3,4,4.2,4.5,4.6,3.7,3.7,3.1,3.5,3.7,4,3.6,3.7,3.5,3.4,3.6,4,3.8,3.5
Panama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,1.4,1.4,1.6,1.3,1.9,1.5,1.6,1.6,1.7,1.6,1.6,1.4,1.5,2.5,
Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,1,0.6,1.3,0.6,1.3,1.3,1.1,1.6,1.2,0.9,0.8,0.9,1.1,1.2,1.1,1.3,
Peru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,1.5,1.1,1.1,1,1.2,1.7,1.6,1.4,1.2,1.7,1.7,1.4,1.9,
Philippines,,,,,,,,,,,,,,,,,,,0.4,0.4258,0.4516,0.4774,0.5032,0.529,0.5548,0.5806,0.6065,0.6323,0.6581,0.6839,0.7097,0.7355,0.7613,0.7871,0.8129,0.8387,0.8645,0.8903,0.9161,0.9419,0.9677,0.9935,1.0194,1.0452,1.071,1.0968,1.1226,1.1484,1.1742,1.2,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.2,1.2,,,,,
Poland,,,,,,,,,,,,1.2,1.5,1.6,1.6,1.8,1.8,1.9,2.2,2.3161,2.4323,2.5484,2.6645,2.7806,2.8968,3.0129,3.129,3.2452,3.3613,3.4774,3.5935,3.7097,3.8258,3.9419,4.0581,4.1742,4.2903,4.4065,4.5226,4.6387,4.7548,4.871,4.9871,5.1032,5.2194,5.3355,5.4516,5.5677,5.6839,5.8,6.1,5.9,6.2,6,5.9,5.8,5.9,5.7,5.8,5.5,5.5,5.2,5.5,5.3
Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,1.7,1.7,1.9,1.5,1.5,1.7,1.9,2,2,2.1,2.2,2.1,2,2,1.9,2.3,2.3,2.3,2,2.025,2.05,2.075,2.1,2.2,2.3,2.6,2.4,2.5,2.2
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,2.3,2.1,2.2,2.4,2.3,2.7,2.5,2.6,2.7,2.8,2.8,2.8,2.9,
Scotland,,,,,,3.6,4,3.8,3.6,4.2,3.6,4.3,3.6,4,3.6,3.9,3.6,3.9,3.5,3.1,3.3167,3.5333,3.75,3.9667,4.1833,4.4,3.7,4.1,3.1,3.7,3.6,4,3.8,3.5,5.1,3.8,4.3,3.3,4.7,3.5,3.9,4,4.4,4,4.2,4.8,5,4,4.7,4.9,4.3,4.8,4,3.8,4.4,3.8,4.4,4.4,4.6,4.3,3.3,4,3.7,3.4
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,2.4,2.5,2.6,2.7,2.8,2.6,2.7,2.9,2.6,3.2,2.7,3,3.4,3,2.8
Singapore,,,,,,,,,,,,,,,,,0.8,0.8,1.2,1.3,1,1,1,0.9,1.9,1.7,1,1.5,1.5,1.3,1.2,1.1,2.2,1.8,1.6,2.7,2.6,2.1,2.05,2,1.95,1.9,2.6,2,2.8,2.4,2.4,2.1,2.3,2.9,2.2,2.3,1.9,1.4,2.1,1.9,2.1,2.7,2.4,2.9,2.4,2.6,2.7,2.8
Slovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7,6.9,5.8,5.8,6.4,6,6.2,6.3,6.2,7.5,5.6,5.9,5.9,5.9,6.1,6.5,5.6,,,
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,3.2,2.9,4.2,4.3,3.1,4.1,3.5,3.6,3.6,3.1,3.4,5.1,4.8,4.4,5.1,4.3,4.4,5.4,4.2,5.4,4.2,4.8,5.2,5.8,4.9,,,
"South Africa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,1.4,1,1.2,1.3,1.3,1.4,1.5,1.3,1.4,1.4,1.1,1.1,1.3,1.3,1.2,1.4,1.2
"South Korea",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.6,0.7,0.7875,0.875,0.9625,1.05,1.1375,1.225,1.3125,1.4,1.4,1.4,1.4,1.8,1.6,1.7,1.7,1.9,1.7,1.8,1.8,1.7,1.6,1.7,1.8,1.8,1.9,
Spain,,,,,,1.1,0.9,1.2,1.1,1.1,1.4,1.6,1.6,1.5,1.4,1.7,1.6,1.5,1.525,1.55,1.575,1.6,1.625,1.65,1.675,1.7,1.7,1.7,1.8,2,1.7,1.9,2,2,1.9,2.1,2.1,2.3,2.4,2.5,2.4,2.5,2.5,2.8,2.9,2.6,2.8,2.9,2.9,2.8,2.8,2.9,2.7,2.9,2.8,2.8,2.7,2.7,2.8,2.7,2.9,2.7,2.8,2.9
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.8333,0.9667,1.1,1.6,1.2333,0.8667,0.5,2.1,1.4,0.7,1.6,0.4,0.6,1.4,1.5,
Sweden,,,,,,3.5,3.8,4,4.3,4.9,4.7,4.7,5.5,4.9,4.2,5.1,5.2,4.6,5.5,5.7,5.65,5.6,5.55,5.5,5.45,5.4,5.35,5.3,5.25,5.2,5.15,5.1,5.05,5,4.95,4.9,4.85,4.8,5,5.4,4.6,4.7,4.8,4.3,4.6,3.9,4.3,4.4,4.8,3.8,4.1,4,3.9,4.1,3.9,3.8,3.3,3.4,3.3,3.4,2.6,3,2.7,2.7
Switzerland,,,,,,2.8,3.2,4,3.8,4.4,3.7,3.3,4.1,4.1,3.9,4.1,3.8,4.3,4.2,3.6,3.6,3.7,3.2,4.4,3.8,4.1,3.8,4.1,4,4.1,3.6,4.1,3.8,4.1,4.1,5,4.5,4.4,4.6,4.6,4.1,4,4.1,3.7,3.8,,,,,,,,,,,,,,,,,,,
Thailand,,,,,,,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.15,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.2,0.3,0.35,0.4,0.5,0.4,0.4,0.4,,,,,,,
"Trinidad and Tobago",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,2.3,1.8,1.2,1.25,1.3,1.9,1.2,1.2,1.3,1.2,,,,
"United Kingdom",,,,,,2.7,2.7333,2.7667,2.8,2.6,2.5,2.7,2.9,2.92,2.94,2.96,2.98,3,3,3,3,3,3,3,3,3,3,3,3,3,2.9,3.1,3.3,3.3,3.6,3.4,3.6,3.5,3.6,3.7,3.8,3.7,4,3.8,3.8,3.9,3.9,3.7,3.8,3.9,3.7,3.8,3.9,3.7,3.9,3.9,4.1,3.8,3.7,3.6,3.8,3.8,3.8,3.6
