Country,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Finland,6.727378471,6.718305408,6.744265243,6.703932867,6.581473746,6.69083873,6.570451563,6.582828901,6.773006222,6.748407685
France,5.854345788,5.856557093,5.780607525,5.8258397,5.670470372,5.828216638,5.503010158,4.870428117,4.987940726,5.13322503
Gabon,,,,,,6.031629,4.925451893,4.584026437,4.932234905,4.903667041
Gambia,5.922590738,5.921612862,6.011584304,5.800391662,5.527536667,5.797545461,5.896320016,5.68541149,5.778313307,5.516779001
Georgia,5.334770115,5.414498783,5.448614124,5.420067736,5.243846155,5.181142,5.214146779,5.796966976,6.166741357,5.770297392
Germany,6.451437666,6.16997514,6.213755832,6.277854086,5.885827706,5.97055463,5.779667551,5.538198702,5.321644927,5.026594695
Ghana,,5.724975,5.60831739,5.324630171,5.164848792,5.102079874,4.620194305,3.861805212,4.347056207,4.575000143
Greece,6.237693752,5.977863546,5.594229452,5.643026508,5.465085302,5.273874485,5.383299899,5.496496157,5.264097592,5.251247199
Guatemala,2.933606032,2.70530361,2.364442904,2.221264153,1.996380237,2.14506743,2.373232816,2.457362352,2.511244045,2.643284961
Guinea,,,,,,4.090459,4.134298272,4.110592294,4.110592294,
Guyana,3.45892912,4.172081298,4.37186206,4.743526998,4.721568012,4.476549874,4.636154909,4.348544563,4.189882585,
Haiti,,,,,3.081639,3.477933078,4.149708055,3.852566138,3.217264724,
Honduras,3.953325027,4.052942339,3.4888374,3.237772548,2.964689261,2.710623663,2.536125156,2.715695645,2.89335437,2.504364207
"Hong Kong",6.159031178,6.270039334,6.1752787,6.235628944,6.194773426,6.068979,5.763245563,5.836667062,6.013506097,6.013506097
Hungary,5.496540373,5.638928175,5.405086149,5.307722831,5.391271689,5.363151621,5.083922822,4.867270895,4.606222422,4.612140083
Iceland,6.729003082,6.762694175,6.81483845,6.824194483,6.767661025,6.514348252,6.394062133,6.519740589,6.627645359,6.547647743
India,5.071945701,5.178774185,5.46571303,5.30328537,4.966299594,5.04124727,4.775744431,4.020209855,3.883142182,4.27147473
Indonesia,5.748167173,5.426118392,4.998766498,4.710186168,4.23692335,4.140085957,4.131571989,4.229755266,4.096057821,4.082587494
Iran,,,,4.617822,4.782864931,4.896092543,4.408055592,3.806361499,4.205277463,4.32043517
Ireland,6.003506494,6.275643509,6.383651294,6.548293795,6.467183619,6.279088786,5.887988285,5.860133566,6.085879251,5.808974847
Israel,5.767932079,5.64565511,5.840178446,5.591788075,5.433864218,5.617777271,5.201622716,4.722356263,4.809018433,5.07476159
Italy,3.56744538,3.626267159,3.399016491,3.698891157,3.536426776,3.543488901,3.596070863,3.320572992,3.298068069,3.47058589
Jamaica,2.537387494,3.104191383,3.3646623,3.214748402,3.091805824,3.184074038,3.14672401,2.89220848,2.559872341,2.643021088
Japan,5.143208137,4.935892848,4.967033354,5.310225037,5.570107541,5.443677672,5.242071462,5.230625885,5.405864894,5.360422876
Jordan,6.494413687,6.582212769,6.725396161,6.63892616,6.246097244,6.20828899,6.332945,5.597367105,5.070984564,5.311872826
Kazakhstan,4.557618155,4.554730108,4.815448149,4.754262039,4.394766,4.933743444,5.153319262,4.724343778,4.909149524,5.169991884
Kenya,3.838448129,4.019156832,3.844554204,3.96045866,3.838512249,4.15195147,4.144726762,3.685333643,3.311127867,3.296804108
"South Korea",5.410411548,5.841329757,5.777943165,5.10571877,5.194835656,5.465052067,4.977178981,4.342603633,4.605289459,4.949736834
Kuwait,6.256163844,6.20552212,6.345398111,6.323267661,6.167828562,6.221399908,5.913204503,5.488864404,5.732918174,5.620447965
Kyrgyzstan,3.835665993,4.178022167,4.233516083,4.35810785,4.388894086,4.54406525,4.10498218,4.029072598,3.904967483,3.74365164
Laos,,,,,,,4.70144,4.74367927,4.881530346,4.951479236
Latvia,5.705421722,6.170223562,6.301196479,6.018092224,5.495546122,5.733455175,5.742818795,5.652341941,6.053402387,5.750974312
Lebanon,,,,5.58706,5.377596756,5.293921912,4.812477179,4.466070238,4.451721599,4.155342641
Lesotho,4.36496429,4.170180339,4.3951331,4.880663281,4.956957023,4.895251521,4.546933376,4.535793137,5.871347171,6.365243518
Liberia,,,,,,4.881342,4.715294124,4.5826,4.449999809,4.258406288
Libya,6.556962025,6.590348722,6.374565632,5.784690863,5.8689,5.953083,5.465894733,4.00697498,,
Lithuania,5.269794894,5.916297116,5.92417797,6.015302898,5.734026844,5.676653622,5.512107079,5.142982026,5.198160725,5.444711745
Luxembourg,6.099782245,6.502699655,6.84655058,6.797654512,6.710086827,6.809622963,6.512309635,6.313013348,6.235802025,6.137855845
"Macedonia (F.Y.R.O.M.)",3.433600349,4.170029661,4.634687041,4.839806659,4.659180305,4.518594945,4.56668784,4.801340629,4.65823794,4.272368234
Madagascar,3.959300079,4.245466657,4.191892802,4.325874335,4.097445717,4.033784717,4.173557031,4.077204938,4.038383882,3.811890791
Malawi,,5.503219,5.886934721,5.855655048,5.36069314,5.390018768,5.364115447,5.142520209,4.760039013,4.53663552
Malaysia,5.6759673,5.157374187,4.959237148,5.209809685,5.542939702,5.409074939,5.21610983,5.249838166,5.196576446,5.06795435
Mali,4.857476636,4.669897993,4.748942738,5.19751088,4.986303357,4.426438636,3.645106897,3.171048654,3.616996803,3.907195471
Malta,6.429235281,6.656683907,6.696372568,6.6940124,6.649557033,6.350521873,5.95888255,5.832722886,6.00120811,5.697735628
Mauritania,5.286321813,5.133593568,5.517886857,5.378512325,5.162624385,5.653440457,5.383500912,4.856200506,4.368402796,3.10451472
Mauritius,6.203451178,6.433118912,6.291402788,6.110576105,6.188108243,6.324875476,6.105325879,5.998686286,5.970297767,5.836362565
Mexico,3.447422417,3.477377061,3.195232699,2.864917489,2.694209793,2.904453243,2.8843935,2.740568998,2.616439563,2.551021448
Moldova,,,,5.349111,5.134876183,5.048318345,4.792031246,4.576681546,4.561752584,4.3108959
Mongolia,5.226545717,5.234780037,5.222095488,5.125793713,5.075508555,5.326111188,4.823023529,4.741839168,5.428621817,5.433881175
Montenegro,5.222222222,5.472888826,5.485783182,5.699635714,5.636355982,5.223920504,4.921222938,4.626502265,4.528552001,4.222610697
Morocco,5.22469911,4.931333645,5.244804409,5.590073901,5.543325,5.78491389,5.74167641,5.663082752,5.756513371,5.663893145
Mozambique,3.931023345,4.335136676,4.393438599,4.009187758,3.881143249,4.132386207,4.10899316,3.459141167,3.423985322,3.605672544
"Burma (Myanmar)",,,,,,,2.913929,3.112587419,3.513169061,
Namibia,4.833253836,5.508212987,5.584911436,5.280212291,5.276690041,5.254763206,4.93855288,4.721573301,4.879635372,5.064154152
Nepal,3.559729767,3.430544505,3.67402618,3.654147382,3.58336709,3.772718692,3.50302605,3.483072102,4.18347743,4.305228932
Netherlands,5.745861237,5.909909736,5.933624604,5.972689516,6.07278705,6.250795241,6.240191548,6.00456937,5.855441317,5.840013798
"New Zealand",6.437456267,6.680853836,6.6343221,6.457021617,6.42286848,6.639684249,6.558274046,6.496413137,6.324547759,6.216518991
Nicaragua,5.121153879,5.076968612,4.434745463,4.4100599,4.381713285,4.215316871,4.323743124,4.96071018,5.678571542,5.678571542
Nigeria,3.394812099,3.66063651,3.756328007,4.150957782,3.960761489,3.500930337,3.417275039,3.718481384,4.066613233,3.999337298
Norway,6.621056576,6.8175836,6.738804529,6.643659687,6.381505466,6.233429646,6.23599507,6.095011484,6.236868916,6.61059325
Oman,5.224852071,6.013742974,6.630323581,6.607025687,6.643157845,6.735954322,6.805161,6.666149005,6.551860397,6.57135535
Pakistan,4.063415449,4.119211961,4.049498891,3.858202737,3.540531947,3.370132929,3.108153296,3.011738879,3.074773716,3.083358916
Panama,5.023428075,5.205812142,5.035576628,4.529623067,4.543976904,4.751412406,4.602407668,4.471782756,4.866859936,5.210458873
Paraguay,3.884798127,3.993391107,4.182918479,4.083834327,3.921992128,3.983294567,4.120691754,4.411638577,4.383904459,4.217886602
Peru,3.941195652,4.447927497,4.605241186,4.349530277,4.093552025,3.882824364,3.411894874,3.124803585,2.978087069,3.026274756
Philippines,4.314777778,4.617543165,4.362206991,4.398896507,4.474948423,4.701200147,4.770600462,4.749374291,4.500248871,4.329193212
Poland,4.065985162,4.545475892,5.096957007,5.652665632,5.734075367,5.739319765,5.724049636,5.640936266,5.366520471,5.213934645
Portugal,6.472563874,6.476975269,6.189281065,6.197107335,6.209378877,6.206680716,6.210605372,6.26945659,6.274530367,6.200609397
"Puerto Rico",5.793103448,5.618988869,5.752848727,5.3520335,4.985230957,5.445759498,5.35127711,5.169701948,,
Qatar,6.262766908,6.461987657,6.791639427,6.334300542,5.771626,6.442008562,6.861364317,6.677723257,6.398271114,6.396888818
Romania,4.57782232,5.00727198,5.706356573,5.892411821,4.90643194,4.646644511,4.700525233,4.140056443,4.63412173,5.056309423
Russia,3.969426404,4.254915664,4.444640847,4.291216384,4.005885388,4.207913052,4.206760532,4.239199806,4.239199806,4.426803076
Rwanda,,,,6.882858,6.269692252,5.814574,6.193047574,6.410867,6.474663354,6.443600148
"Saudi Arabia",5.731182796,5.645369092,5.976666017,6.593745425,6.7625,6.646367569,6.378689968,6.360051868,6.337711918,6.067728166
Senegal,5.0625,5.526669071,6.070797167,6.036105931,5.846387418,5.312486726,4.52543112,4.305692874,4.795933061,4.868594161
Serbia,4.325581395,4.506405971,4.238569316,4.291984418,4.283300957,4.116671325,3.981390607,4.115603463,4.271248929,4.120706868
Seychelles,,,,,,5.758616,5.749507644,4.883204858,4.883204858,
"Sierra Leone",,,,,,5.052878,4.8139228,4.040278317,4.070948239,4.218515504
Singapore,6.533077307,6.63637347,6.706645843,6.715111445,6.695387647,6.668521782,6.672205075,6.605100409,6.52428051,6.424984329
Slovakia,5.022893773,5.364130192,5.381091556,5.19233041,4.727585114,4.600432705,4.475545712,4.579380251,4.840735304,4.894065115
Slovenia,5.742611941,5.896688641,5.970960435,5.951457219,5.798604,5.753609072,5.726013499,5.525024031,5.528949711,5.651010762
"South Africa",3.851889755,3.56800705,3.773452263,4.253438998,4.1598489,4.260589288,4.169585849,4.275696483,4.342255222,4.241657537
Spain,5.327498748,5.598463869,5.473968614,5.552544598,5.660257355,5.754025868,5.68104366,5.483351458,5.593932629,5.661423446
"Sri Lanka",4.490182744,4.793622693,4.85517643,5.026207842,5.500490972,5.828295,5.318781337,4.759322457,5.050580927,5.018181682
Suriname,,,,,5.585539,5.548467262,5.194744206,5.082668802,,
Swaziland,,,,5.683618,5.360139337,5.149017987,5.033717869,4.75670775,5.107762122,
Sweden,6.309440559,6.309411911,6.424280505,6.693046853,6.581696303,6.048820174,5.953538133,5.597931159,5.676544839,6.200504433
Switzerland,6.426774724,6.368382802,6.374700258,6.506581739,6.384852126,6.362328497,5.882366787,5.917456991,6.179922343,6.055672833
Syria,6.553191489,6.661845972,6.762598052,6.699282101,6.660144302,,,,,
Tajikistan,4.567421099,5.157944792,5.378464,5.472756028,5.180250895,4.997066824,4.8944,4.791666508,4.663079864,5.008410598
Tanzania,5.207951038,5.638092403,5.53514345,5.333767132,4.811462062,4.825686645,4.994388297,4.689717423,4.808766341,4.934228461
Thailand,5.126111111,5.399134973,5.25383285,5.1498326,5.171489989,5.162660865,4.801780938,4.451342114,4.240756551,4.165259676
"Timor Leste",3.594871795,4.097419036,4.256519828,4.179053156,4.568099705,5.328308647,4.863490054,4.276739719,,
"Trinidad and Tobago",3.444934958,3.67361002,4.350603188,4.699456005,4.091585319,4.061732346,4.121474193,4.03678298,3.903092869,3.792111495
Tunisia,5.55860055,5.78362429,6.298664711,6.582933701,5.589236488,5.0658,4.54237781,4.196296908,4.353102085,4.377600979
Turkey,4.871957753,4.720371587,4.23991088,4.410101675,4.525115734,4.598738307,4.624146654,4.429902677,4.864717422,4.830023318
Uganda,4.113571289,4.354109067,4.396974285,4.661817488,4.594909196,4.215772785,4.140099456,4.100798178,3.96345477,4.076417199
Ukraine,4.205836437,4.48855477,4.61937563,4.209346533,4.0888584,4.761498765,4.401887762,3.582704943,3.38626374,3.334620267
"United Arab Emirates",6.214745637,6.282553492,6.643808048,6.694714211,6.65487034,6.837766549,6.904856,6.76883308,6.76883308,6.556076011
"United Kingdom",5.657283572,5.341791295,5.60092883,6.007317633,5.885585385,5.952214823,5.922555682,5.761477322,5.706441423,5.637743528
"United States",4.954090574,5.172716508,5.272465354,5.087549258,4.909065473,4.923709249,4.779841126,4.726198663,4.934107007,4.948105866
Uruguay,6.126866883,6.458884712,6.421291183,6.422160759,6.276367135,5.953217736,6.01300439,5.989512453,5.634058105,5.568153165
Venezuela,3.247672642,3.573734239,3.5011883,2.963389178,2.466562742,2.679593293,2.802047545,2.739818137,2.489897863,2.383004724
Vietnam,4.62175792,4.846375703,4.867843145,4.718642368,4.73426254,4.96319955,4.853325039,4.645075693,4.75580564,4.872595276
Yemen,,,,,4.94025,4.88487381,4.13941564,3.285762669,3.2478,3.209751642
Zambia,5.569971283,5.678780828,5.443967285,5.381877269,5.700953283,5.842343532,5.719837543,5.450270623,5.577771887,5.035674115
Zimbabwe,5.201428571,5.535508105,5.840111291,6.118758074,5.865419133,5.848028167,5.868846286,5.688366458,5.62853987,5.471333361
