Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Argentina,8421,7368,7895,8095,8000,7000,9349,7316,9222,10191,10417,10417,10400,10909,9488,11038,10497,10512,10521,8564,8083,8780,8778,7353,9677,10957,9559,8000,6000,6250,6000,6604,6538,6538,6667,6667,6667,6667,6500,6500,6500,6818,6818,6818,6818,6847,6889,6889,6957,7299,6330,3986,6964,6399,6416,6394
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9879,17046,14492,6882,21329,18440,15927,11050,19014,21140,22463,26142,20512,24354
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34941,33054,32411,36487,28866,24697,14588,14003,19068,17626,42727,40222,39144,41718,41687,38764,41021,40955,40278,41767,42263,41288,40890,39310,38049,34318
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24000,18500,11429,6000,10000,7778,10000,10000,11255,17482,18001,16930,22001,20981,20689,15401,21250,21745,25597,31405,29442,27053
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,7299,7299,7299,7299,7299,7299,7299,7299,7299,7299,7299,7299,7299,7299,9091,9091,8698,9091,9091,9091,9091,9091,9091,9091,9167,9600,9668,9554,9539
Bolivia,3333,3333,3333,3333,3333,3000,3000,3000,3000,3000,3000,3000,2909,2909,3000,3000,3000,5244,5622,6538,6236,6500,2393,4844,4977,4886,5000,4763,4890,4716,6066,4856,5649,5769,5779,5694,5688,5687,5429,5734,5556,5969,6364,6749,6842,6996,7150,7233,7316,4212,4670,5951,6311,5840,5951,6172
Botswana,,,,,,,,,,,,,,,,7500,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8182,8000,8621,8571,8485,8494,8536,8583,8621,8629,8571,8621,8182,8000,8491,8580,8694,8182,9588,10481,11535,13214,12667,11818,11554,12023,12230
Bulgaria,8000,10000,12500,13333,13309,11429,10907,11384,8794,27662,13273,14174,10314,18185,19559,21466,24152,28445,12093,23297,22234,21939,21165,21543,20625,21475,16731,21650,23959,25225,25696,18493,13625,15124,15407,8579,11615,11374,16842,18906,18890,19127,9409,28804,31361,31250,28125,18488,20000,16520,18468,15658,27316,17087,22490,20841
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8764,8824,8922,8831,8831,8831,8963,8951,8952,8677,7624,7013,5771,4032,5870,5494,5184
Chad,5071,5143,5214,5286,5172,5200,5267,5267,5333,5000,5125,4882,4706,4722,5263,5500,5714,6667,7500,8182,8571,8462,5636,3866,7535,7454,5188,7756,6953,7053,9111,7908,6774,9446,9667,9923,8450,7476,8886,8540,13335,8439,9673,8904,9341,9367,12788,12198,7080,9623,6776,11835,10117,9271,10563,9992
