Country,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51,0.67,0.7,0.5533,0.4067,0.26,0.12,0.26,0.58,0.26,0.26,0.19,0.42,0.11,0.23,0.46,0.39,0.13,,,,,,,,,
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.79,0.78,0.71,0.71,0.77,0.85,0.73,0.83,0.68,0.83,0.82,0.7,0.78,0.79,0.8,0.8,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,
Australia,0.8,0.87,0.93,0.56,0.77,0.69,1.02,0.73,0.8,0.81,0.78,0.72,0.8,0.8,1.01,0.75,0.96,0.76,0.71,0.78,0.84,0.83,0.67,0.61,0.6,0.63,0.49,0.43,0.52,0.5,0.32,0.41,0.26,0.35,0.3,0.31,0.27,0.24,0.16,0.25,0.34,0.28,0.21,0.19,0.27,0.17,0.13,0.21,0.15,0.12,0.135,0.15,0.19,0.1,0.13,0.17,0.1,,
Austria,0.62,0.72,0.59,0.81,0.74,0.89,0.9,1.11,1.05,1.16,0.92,0.87,0.98,1.45,1.06,0.93,1.31,1.16,1.1,1.58,1.09,1.24,1.18,1.32,1.19,1.33,0.78,0.91,0.52,0.65,0.6,0.84,0.5,0.56,0.72,0.31,0.44,0.51,0.51,0.35,0.44,0.33,0.32,0.38,0.33,0.38,0.24,0.25,0.43,0.24,0.29,0.47,0.46,0.31,0.23,0.32,0.3,0.2,0.3
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.59,,,,,,,,,
Belgium,0.61,0.35,0.42,0.41,0.51,0.68,0.43,0.63,0.56,0.51,0.44,0.67,0.48,0.57,0.69,0.42,0.32,0.41,0.37,0.26,0.45,0.44,0.43,0.54,0.44,0.37,0.45,0.32,0.23,0.3,0.34,0.18,0.29,0.36,0.32,0.19,0.34,0.24,0.14,0.3,0.23,0.21,0.24,0.12,0.15,0.17,0.19,0.21,0.23,0.14,0.19,0.14,0.12,0.26,0.07,0.15,0.1,0.2,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.62,0.76,0.9,,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,0.21,0.24,0.18,0.2,0.21,0.22,0.25,0.23,0.25,0.27,0.26,0.27,0.25,0.27,0.3,0.3,
Bulgaria,,,,,,,,,,,,0.63,0.79,0.98,0.79,0.72,0.84,1.23,0.6,0.67,0.88,0.9,0.86,0.88,0.89,0.86,0.84,0.92,0.88,1.08,1.21,0.96,1.3,1.29,1.2,1.18,0.84,0.66,1.04,1.23,1.16,0.93,1.19,0.75,1.06,0.6,0.7,0.44,0.78,1.04,0.9,1.1,0.91,0.84,0.84,0.59,0.7,0.9,
Canada,0.73,0.57,0.66,0.72,0.7,0.77,0.63,0.62,0.78,0.72,0.57,0.8,0.75,0.76,0.72,0.75,0.66,0.68,0.63,0.73,0.66,0.58,0.71,0.49,0.36,0.3,0.35,0.34,0.36,0.34,0.3,0.29,0.3,0.33,0.32,0.23,0.23,0.21,0.15,0.3,0.22,0.22,0.19,0.21,0.21,0.2,0.15,0.15,0.19,0.25,0.23,0.19,0.16,0.18,0.13,0.165,0.2,,
Chile,0.65,0.75,0.55,1.14,0.93,1.02,0.87,0.85,1.08,0.83,1.25,1.06,1.18,1.1797,1.1793,1.179,1.1787,1.1783,1.178,1.1777,1.1773,1.177,1.1767,1.1763,1.176,1.1757,1.1753,1.175,1.1747,1.1743,1.174,1.1737,1.1733,1.173,1.1727,1.1723,1.172,1.1717,1.1713,1.171,1.1707,1.1703,1.17,1.19,1.26,1.26,1.11,1.21,1.3,1.14,1.02,0.89,0.95,0.83,1.28,1.19,1.1,1,
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,0.35,0.41,0.38,0.43,0.41,0.36,0.39,0.36,0.37,0.38,0.34,0.38,0.39,0.4,,
"Costa Rica",,,,,,,,,,,,0.96,0.46,0.448,0.436,0.424,0.412,0.4,0.388,0.376,0.364,0.352,0.34,0.328,0.316,0.304,0.292,0.28,0.268,0.256,0.244,0.232,0.22,0.208,0.196,0.184,0.172,0.16,0.148,0.136,0.124,0.112,0.1,0.46,0.23,0.65,0.3,0.31,0.09,0.6,0.36,0.49,0.43,0.65,0.47,0.43,0.5,0.3,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31,0.39,0.45,0.36,0.57,0.57,0.61,0.32,0.59,0.14,0.47,0.44,0.52,0.62,0.62,0.63,0.58,0.41,0.35,0.56,0.52,0.68,0.56,0.46,0.92,0.67,0.5,0.6,0.6
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,0.31,0.2,0.1,0.25,0.31,0.27,0.2,0.19,0.19,0.26,0.3,0.2,
"Czech Republic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.06,1.34,1.2,1.23,1.03,1.18,1.32,0.89,1.05,0.77,1.07,0.93,0.93,0.72,0.63,0.56,0.8,0.76,0.5,0.54,0.55,0.56,0.54,0.55,0.49,0.6,0.6,0.4
Czechoslovakia,0.57,0.38,0.56,0.43,0.38,0.57,0.6,0.34,0.8,0.6,0.54,0.58,0.58,0.73,1.02,1.04,0.85,0.92,0.98,0.97,1.1,1.04,1.25,1.3,1.09,1.18,1.47,1.09,0.91,0.98,1.2,0.97,1.13,1.16,1.06,1.07,1.02,,,,,,,,,,,,,,,,,,,,,,
