Country,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"El Salvador",4.619037061,4.642460745,4.806915729,4.787841823,4.30748775,3.912132776,3.522758549,3.709710073,3.772637593,3.890236241,3.828282356
Estonia,5.58222142,5.703848763,5.742003818,5.626939298,5.538213625,5.354657356,5.015596597,4.828415904,4.645400211,4.950936209,5.236089706
Ethiopia,3.998132089,3.828192267,3.866483179,4.049365995,3.57008611,2.929742413,3.630606681,3.99724902,3.493540025,3.599903147,3.820080757
Finland,6.081127626,6.022303328,5.878275654,5.933782916,6.079722269,5.760903243,5.434607853,5.101436996,5.13202689,5.406372989,5.730367661
France,5.392246824,5.415573157,5.280859854,5.16651035,4.983717819,4.741095801,4.7112191,4.346058056,4.264442655,4.246067809,4.232690334
Gabon,,,,,,3.294364,3.793564643,4.287128932,3.634443364,3.298511556,
Gambia,4.6063048,4.666098432,4.938197652,4.804044814,4.674274556,4.618839942,4.583312003,4.517130194,4.455075285,4.299603272,4.352024555
Georgia,4.671497585,5.406574795,5.447975517,5.036084032,4.900165268,4.953227,5.085209792,5.342950302,5.191317859,4.991730104,4.924645424
Germany,5.682086714,5.360124392,5.101179818,5.0102238,4.726084253,4.668529166,4.431888135,4.281053876,4.348468834,4.562193363,5.104685783
Ghana,,5.735581,5.079490212,4.948786771,4.914430839,4.182626546,4.052168364,3.854482461,4.183768897,4.477717423,4.348194599
Greece,5.435602329,5.35740293,5.115100319,5.234658969,5.091091822,4.767453865,4.894454005,4.985071246,4.631846854,4.54874376,4.870643139
Guatemala,4.493044114,4.618991135,4.640307687,4.615449341,4.3703306,4.344800524,4.515566176,4.430429181,4.326250458,4.632256175,4.588078976
Guinea,,,,,,3.640224,3.992435634,4.031723268,4.031723268,3.8788,3.725806475
Guyana,4.566775629,4.745852969,4.736184262,4.440359763,4.296946306,4.175803646,4.301620363,4.346221645,4.206723686,,
Haiti,,,,,3.489353,3.539617802,3.773140838,4.004225764,3.431975824,3.7715,4.111111164
Honduras,4.415104078,4.814265663,4.7043735,4.43112181,4.235363219,4.019222343,3.878887969,3.952558685,4.170523963,4.257356188,4.074636459
"Hong Kong",6.337660817,6.658737574,6.51300965,6.332661522,5.951767671,5.8596563,5.845697491,5.510609048,5.507744442,5.507744442,5.820224762
Hungary,5.551557653,5.405080485,5.393634079,5.625894871,5.570321844,4.77875732,4.554419102,4.656863957,4.540839798,3.805212208,4.137923241
Iceland,4.677492296,4.423299081,4.1592212,4.197928506,3.839109727,3.929898966,4.03891766,3.834380575,4.14339123,4.270757271,4.145030499
India,4.802190045,4.633238128,4.410425474,4.219243578,4.200728142,4.232558168,4.375339888,4.113388487,4.194262893,4.590568249,4.521330357
Indonesia,5.23493352,5.259609125,5.011142834,4.698574744,4.3152849,4.289884432,4.303551451,4.095399991,3.946391138,4.157797772,4.273059845
Iran,,,,3.382656,3.431489286,3.661188613,3.933912128,3.921246966,4.096512912,4.182248472,4.00386858
Ireland,5.730481283,5.804873748,5.690801836,5.601538129,5.725535608,5.352515697,4.93944101,4.948418702,5.165354076,5.431259976,5.088097572
Israel,5.378804348,5.45445055,5.426927449,5.491104305,5.416754343,4.649924233,4.186283719,4.197626538,4.443010792,4.561066736,4.608730316
Italy,5.004264444,4.881046247,4.787783788,4.915359923,4.843812862,4.590863278,4.337143154,4.304383204,4.485901305,4.710043272,4.82063818
Jamaica,5.030151381,5.513659835,5.130338902,4.678200236,4.597128467,4.559780959,4.838250428,5.040320215,5.0879227,5.142756033,5.019283295
Japan,4.599684462,4.365156299,4.225339411,4.365662367,4.093494408,3.825259251,3.953820815,3.961797839,3.943015235,4.177215842,4.455964088
Jordan,4.580106491,4.529633853,4.610907358,4.407677132,4.36552077,4.461921476,4.44591,4.287299045,4.1078842,4.065239052,3.926443338
Kazakhstan,3.732099556,3.664073923,3.721559999,3.901272833,3.96515,4.435830964,4.510638005,4.407910005,4.508477443,4.405518113,4.436029434
Kenya,3.698891807,3.730317557,3.854797539,4.347859804,4.3114676,3.905683222,3.766374257,4.014605925,4.116367107,4.174962294,4.178260326
"South Korea",5.218907837,5.084460939,4.51701447,3.986067675,3.889024,4.045705933,4.073672517,4.069734875,4.104388142,4.127413797,4.217222214
Kuwait,5.224950945,4.698731314,4.549460978,4.977783837,5.141441592,4.59847471,3.9244102,3.738521658,4.030234575,4.157395864,4.18639946
Kyrgyzstan,3.503121478,3.641783871,3.74188588,3.573133,3.683340262,3.90334695,4.220253265,4.58667363,4.250247957,3.935502921,3.975475788
Laos,,,,,,,4.253484,4.296550246,4.350597945,4.342034606,4.288109303
Latvia,5.038782246,5.530394155,5.517144291,5.153675213,4.79871703,4.732509174,4.727919908,4.686036055,4.686581572,4.8246773,5.014810562
Lebanon,,,,4.670824,4.482841813,4.005696763,4.2357554,4.511355467,4.286515123,4.227511373,4.10374403
Lesotho,3.816947315,3.639515856,3.934755086,3.938637657,3.888301665,3.564231936,4.229700357,3.9224906,3.304951082,3.567321591,3.311496258
Liberia,,,,,,4.576006,4.36403597,4.0934,3.822784901,3.676126752,3.732149601
Libya,4.4625,4.405515996,4.303364202,4.287100014,4.0552,3.823225,3.795713,3.729177661,,,
Lithuania,4.695601354,4.849818381,4.812050355,4.663081059,4.506200908,4.674576404,4.44658935,4.116749527,4.134466907,4.277654127,4.362575531
Luxembourg,5.772256098,5.863887044,5.978042346,6.08153876,6.01990679,5.6222767,5.246545897,5.34824484,5.048224717,4.876368843,5.043442249
"Macedonia (F.Y.R.O.M.)",4.266529198,4.438758955,4.616264251,4.452376659,4.287297724,4.312521207,4.320137897,4.353170552,4.345408738,4.47082438,
Madagascar,4.196179383,4.1850767,4.249073772,4.432764858,4.188550743,3.481999287,3.738381357,4.014878783,3.501488049,3.109300219,3.469754219
Malawi,,4.322539,4.056487108,3.832541353,4.076170127,4.112164616,4.054622623,4.644188785,4.886827465,4.763034961,4.451556206
Malaysia,4.797697439,4.624330511,4.339008272,4.311682771,4.787968558,4.870779889,4.791965251,5.099196489,5.131754579,4.941757965,4.793506622
Mali,3.869035257,3.728106713,3.770337005,4.030134375,4.013150708,3.789832945,3.623619551,3.199337528,3.292764287,3.640789664,3.621470451
Malta,5.514542125,5.602336143,5.401035879,5.4726182,5.468149644,5.213233636,4.79543331,4.425136674,4.568883001,4.961861265,5.181996346
Mauritania,3.534461507,4.358911168,4.861904812,4.240812602,3.956905701,4.630796512,3.616719029,3.218633969,3.248196673,2.611712493,2.167831898
Mauritius,5.148018648,5.373078687,5.09687338,4.965374611,4.855160424,4.873374486,4.806553158,4.646527114,4.417015592,4.681084185,4.758761883
Mexico,4.679250042,4.751195895,4.845142766,4.750418187,4.631639116,4.561073485,4.434931233,4.367490829,4.315617341,4.417365955,4.486572266
Moldova,,,,4.364274,4.289079815,4.411666564,4.361221338,4.26598302,4.306127805,4.211250743,4.240332603
Mongolia,3.648682458,3.666113849,4.149017946,4.491182829,4.192888745,4.296805212,4.205203199,4.306904269,4.432596087,4.139631944,4.001286983
Montenegro,4.408450704,4.750953459,5.064685664,4.991760383,4.80986779,4.386905084,4.250671797,4.30502388,4.363833591,4.561771306,4.500301361
Morocco,4.043377425,4.169408627,4.091345483,4.149053686,4.295985,4.522415619,4.858754649,4.697575258,3.793797754,3.599172121,3.93084383
Mozambique,3.807017544,4.070634562,4.04662825,3.877414768,3.893224935,3.748449228,4.178335792,4.450954006,4.154682881,3.901375008,3.692433596
"Burma (Myanmar)",,,,,,,3.969301,3.986511045,4.046957606,,
Namibia,4.310003622,4.866951962,4.71832694,4.477963414,4.482678744,4.244523922,4.295714671,4.400452012,4.532914065,4.628862503,4.536393642
Nepal,3.692012389,3.57404151,3.8059028,4.049103619,3.94128728,3.714235846,3.9666108,4.290197876,4.206931018,4.335355862,4.367684841
Netherlands,5.441321986,5.600456093,5.403791161,5.364426227,5.387549368,5.394529067,5.102068673,4.818411719,4.658065844,4.864341102,5.203232288
"New Zealand",6.244180418,6.235549088,6.245350633,6.280788217,6.370459254,6.307619069,5.699399696,5.455181761,5.252370455,5.32282919,5.625127316
Nicaragua,3.664334831,3.924188076,3.630474247,3.9692401,3.965945849,3.604069812,3.623678897,3.840659574,3.980139192,3.980139192,3.913043499
Nigeria,3.845521914,4.376128676,4.015254771,3.613092002,3.789445878,3.888005042,4.07860402,4.550860196,4.823955171,4.808342351,4.776495934
Norway,4.287418676,4.2347975,4.060190198,4.195928516,3.996753571,4.159986965,4.540724789,4.532779568,4.651712652,4.643687789,4.433773041
Oman,4.234567901,4.813798358,5.385934361,5.16357275,4.903659374,4.952276595,5.042865,4.676602155,4.383392764,4.647071588,4.647071362
Pakistan,4.08168505,3.978956921,4.031031379,4.091673768,3.936316951,3.83703365,4.16895595,4.397124415,4.013628113,3.854541178,3.939700365
Panama,4.200576357,4.373313979,4.35105506,4.760715467,4.784468151,4.40826076,4.499672573,4.525291,4.473895602,4.82751485,4.850005627
Paraguay,4.189689635,4.308518655,4.340750901,4.4103525,4.523088063,4.504345239,4.300752043,4.371495711,4.570370816,4.431908145,4.301294327
