Country,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Georgia,,,,,,,,,,104.27384,109.47384,112.30536,105.2636,108.8948,114.89802,118.60008,122.8001,
Ghana,,,,,,,,,,91.80773,93.4949,95.1821,96.8693,98.55655,100.18496,99.81447,103.59036,101.58858
Greece,,,,,,,,,,,,,,,98.64293,95.94021,,
Grenada,,,,,,,,93.10345,100.36832,116.10487,131.30352,141.91675,127.2693,112.6219,97.97441,92.10526,115.83055,
Guatemala,,,,,,73.28646,74.1553,75.0241,75.89298,79.21003,84.23819,83.17966,84.87467,83.92331,85.087,85.42855,82.86838,
Guinea,,,,,,,,,53.09041,51.6397,50.1889,48.73815,47.20356,24.38624,31.88182,46.79597,,
"Guinea Bissau",,,,,,,,,,,,53.25262,,,,,,
Guyana,,,,,,,,,,,94.39489,91.2225,88.05006,87.9132,,,,
Honduras,,,,,,,,,,81.2086,85.6546,90.10064,95.73362,95.87554,90.93601,86.15343,90.10428,
Hungary,,,,,,,,,,,,,,,96.93385,97.34143,98.04881,
Indonesia,,,,,,,,,,,,93.76249,96.2093,98.6562,101.10302,103.71375,104.5333,
Iran,,,,,,,,98.3237,94.43914,98.7946,103.14996,103.3166,103.4833,103.64996,95.53489,98.8006,98.8042,
Iraq,,,,,,86.84962,,,,,,,,,,,,
Israel,,,,,,,,,,,,,,,101.21679,102.14257,,
Jamaica,,,,,,,,,,,,,,,77.80848,90.06005,89.1875,
Jordan,,,,,,,,,,,,,,,88.32633,87.28542,,
Kazakhstan,,,,,,103.07135,104.04956,104.4579,104.8663,105.2747,105.68304,105.10441,105.56021,112.87927,107.51138,106.97701,114.34436,103.88198
Kenya,,,,,,,,,,,,,,,,,108.14016,
Kiribati,,,,,,,,,,,,,,,,,100,
Kuwait,,,,96.6009,101.73285,101.103,100.47311,,,,,,,,,,,
Kyrgyzstan,,,,,,91.62858,92.15787,96.0995,100.04112,96.52787,94.91611,95.27801,95.1188,94.52926,95.66973,102.87573,102.20121,
Laos,,,,,,65.61632,69.1504,72.68446,76.9086,77.57865,81.54329,83.4343,89.85777,92.52732,96.94413,98.78205,97.98118,
Latvia,,,,,,,,,,,,,,,,106.68598,104.9855,
Lebanon,,,,,,,,,,81.57526,80.75771,82.36647,78.36113,73.54267,70.90538,70.27378,58.61509,
Lesotho,,,,,74.49965,75.63542,,,,,,,,,,,,
Liberia,,,,,,,,,,,,,,,,,55.62663,
Liechtenstein,,,,,,,,,,,,,,96.69811,97.3234,97.94872,,
Lithuania,,,,,,,,,,,,,,,95.12835,99.07203,98.36658,
Luxembourg,,,,,,,,,,,,,,,88.15588,86.8186,,
Madagascar,,,,,,,,,49.02966,48.37791,46.88823,62.76701,58.24028,53.6618,49.08324,55.94853,53.3161,
Malawi,,,,,,,,,,,,,,,,,42.70253,
Malaysia,,,,,,,,,,,,,,,101.07862,100.28091,99.33497,
Maldives,,,,,36.99015,37.28733,44.0927,50.898,57.7034,64.5087,71.3141,78.1194,84.9248,91.7301,98.5355,100.48701,,
Mali,,,,,33.11344,37.87474,22.15788,27.3201,32.4824,40.65054,39.59991,38.18234,,,,,,
Malta,,,,,,,,,,,,,,,,98.80656,99.59819,
"Marshall Islands",,,,,,,,,,,,,,64.09861,,,,
Mauritania,,,,27.43548,29.78162,25.85883,25.7448,25.6308,25.5168,25.4028,25.2889,25.1749,25.0609,24.9469,24.83287,36.15372,,
Mauritius,,,,,,74.91351,77.49933,80.34898,74.9085,75.67916,74.32049,75.80234,74.52668,74.11157,74.22921,81.94643,74.59386,
Mexico,,,,,,,,,,,,,,,96.47872,104.09417,,
Mongolia,,,,,,92.90181,99.7642,106.62664,107.23348,109.0494,110.8653,112.68119,116.90179,128.1123,143.32618,111.30826,98.14047,
Montenegro,,,,,,,,,,,,,,,,,95.7354,
Montserrat,,,,,126.92308,60.71429,151.72414,,,,,,,,,,,
Morocco,,,,,,67.28206,75.98528,81.18064,83.89503,84.69991,78.56136,80.45902,84.83082,86.56524,95.18675,94.23683,93.14089,
Mozambique,,,,,,,,38.42295,43.87749,39.0132,45.6824,50.83395,47.74755,46.4249,45.10226,43.49837,36.75869,
"Burma (Myanmar)",,,,,,82.59873,83.3799,84.16107,83.64086,83.25318,82.14813,83.10007,82.5733,82.0466,81.5199,80.99311,,
Namibia,,,,,,,,,,,,,,77.296,78.99034,,,
