Country,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Albania,,,,,,,,,,,,,,,,9.15,9.0167,8.8833,8.75,8.6167,8.4833,8.35,8.3667,8.3833,8.4,8.5567,8.7133,8.87,8.865,8.86,8.855,8.85,,
Angola,,,,,,,,,,,,,,,,,,,,3.18,3.4613,3.7425,4.0238,4.305,4.5863,4.8675,5.1488,5.43,,,,,,
Argentina,,,,,,5.11,4.61,4.6625,4.715,4.7675,4.82,4.6,4.45,4.38,3.76,3.51,3.55,3.41,3.49,3.19,2.58,2.75,2.72,3.21,3.43,3.58,3.86,3.93,3.93,4.36,4.58,4.73,4.75,4.79
Armenia,,,,,,,,,,,,,,,,5.54,6.2133,6.8867,7.56,7.645,7.73,8.05,8.66,7.59,8.05,8.53,8.73,8.88,9.11,8.94,8.77,8.72,8.48,8.45
Australia,7.67,7.62,7.57,7.52,7.47,7.4175,7.365,7.3125,7.26,7.1833,7.1067,7.03,6.9533,6.8767,6.8,6.8233,6.8467,6.87,6.8933,6.9167,6.94,6.985,7.03,7.042,7.054,7.066,7.078,7.09,7.09,7.09,,,,
Austria,,,,,,,,,,,,,,,,,,,,,,,,8.49,8.76,8.58,7.98,7.98,7.67,8.04,7.83,7.78,,
Azerbaijan,,,,,,,,,,,,,,,7.07,7.13,7.19,7.25,7.31,7.37,7.43,12.86,12.2,13.32,13.37,11.72,10.07,8.42,,,,,,
Bangladesh,,,9.72,9.88,10.04,9.8433,9.6467,9.45,9.5067,9.5633,9.62,9.41,9.2,8.99,8.78,8.754,8.728,8.702,8.676,8.65,8.672,8.694,8.716,8.738,8.76,8.778,8.796,8.814,8.832,8.85,,,,
Belarus,,,,,,,,10.48,10.608,10.736,10.864,10.992,11.12,9.81,8.5,8.2733,8.0467,7.82,7.55,7.87,8.16,8.28,8.56,9.36,8.87,8.76,8.59,9,9.06,8.81,9.15,9.48,9.53,9.33
Belgium,,,,,,,,,,,,,,,,,,,,,,,,8.37,8.28,8.56,8.34,8.24,8.36,8.45,8.3,8.62,,
Belize,,,,,,,,,,,,,2.96,3.09,2.35,3.35,2.65,3.32,3.21,,,,,,,,,,,,,,,
Benin,,,,,,,,,,,,,,,,,,,,,,,6.98,6.865,6.75,6.635,6.52,6.405,6.29,6.175,6.06,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,5.35,5.6775,6.005,6.3325,6.66,6.674,6.688,6.702,6.716,6.73,,
Bolivia,,,,,,,,,,5.61,5.085,4.56,4.054,3.548,3.042,2.536,2.03,1.655,1.28,0.8,1.61,1.48,2.285,3.09,1.89,2.11,2.7,2.97,2.91,3.3,3.69,3.27,3.42,3.59
"Bosnia and Herzegovina",,,,,,,,,,,,,,,,,,,,,8.79,8.3233,7.8567,7.39,7.42,7.45,7.48,7.43,7.38,7.33,7.28,,,
Botswana,,,,,3.59,3.52,3.45,3.38,3.31,3.24,3.17,3.1,3.03,2.9456,2.8611,2.7767,2.6922,2.6078,2.5233,2.4389,2.3544,2.27,2.3514,2.4329,2.5143,2.5957,2.6771,2.7586,2.84,,,,,
Brazil,2.68,2.62,2.61,2.73,2.87,2.65,2.38,2.14,1.99,2.33,2.575,2.82,2.35,2.395,2.44,2.25,2.3,2.42,2.5,2.45,2.4,2.59,2.59,2.82,2.9,3,2.97,3.14,3.17,3.21,3.25,3.38,3.28,3.62
Bulgaria,,,,,,,,,10.45,9.7433,9.0367,8.33,9.275,10.22,7.33,8.725,10.12,9.355,8.59,7.825,7.06,7.905,8.75,7.7133,6.6767,5.64,8.5,6.94,6.79,6.26,6.41,6.16,,
"Burkina Faso",,,,,,,,,,,,,,5.53,5.435,5.34,5.245,5.15,5.274,5.398,5.522,5.646,5.77,5.925,6.08,6.235,6.39,6.545,6.7,7.022,7.344,7.666,7.988,8.31
Burundi,,,,,,,,,,,,7.94,7.4733,7.0067,6.54,6.0733,5.6067,5.14,5.6125,6.085,6.5575,7.03,7.5025,7.975,8.4475,8.92,,,,,,,,
"Cape Verde",,,,,,,,,,,,,,,,,,,,,4.15,4.2867,4.4233,4.56,4.6967,4.8333,4.97,,,,,,,
Cambodia,,,,,,,,,,,,,,7.96,7.957,7.954,7.951,7.948,7.945,7.942,7.939,7.936,7.933,7.93,7.5767,7.2233,6.87,7.79,7.99,8.44,8.92,9.05,,
Cameroon,,,,,,,,,,,,,,,,6.1,6.114,6.128,6.142,6.156,6.17,6.1133,6.0567,6,5.9433,5.8867,5.83,5.6443,5.4586,5.2729,5.0871,4.9014,4.7157,4.53
Canada,7.14,7.2,7.26,7.32,7.38,7.44,7.5,7.5325,7.565,7.5975,7.63,7.5967,7.5633,7.53,7.4467,7.3633,7.28,6.85,6.88,6.91,6.905,6.9,6.895,6.89,6.98,7.07,7.16,7.14,7.12,7.1,,,,
"Central African Republic",,,,,,,,,,,,1.99,2.2818,2.5736,2.8655,3.1573,3.4491,3.7409,4.0327,4.3245,4.6164,4.9082,5.2,4.826,4.452,4.078,3.704,3.33,,,,,,
Chad,,,,,,,,,,,,,,,,,,,,,,,6.29,6.1113,5.9325,5.7538,5.575,5.3963,5.2175,5.0388,4.86,,,
Chile,,,,,,,3.34,3.3467,3.3533,3.36,3.605,3.85,3.655,3.46,3.555,3.65,3.58,3.51,3.565,3.62,3.6867,3.7533,3.82,3.96,4.1,4.24,4.26,4.28,4.3,4.41,4.52,4.575,4.63,
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.14,5.1625,5.185,5.2075,5.23,,
Colombia,,,,,,,,3.34,3.52,3.565,3.61,3.68,3.3675,3.055,2.7425,2.43,2.3,2.17,2.04,1.9,2.35,2.75,3.29,3.31,3.37,3.2233,3.0767,2.93,3.06,3.19,3.35,3.29,3.35,3.36
Comoros,,,,,,,,,,,,,,,,,,,,,,,,4.01,,,,,,,,,,
"Congo (Kinshasa)",,,,,,,,,,,,,,,,,,,,,,,,5.69,5.6713,5.6525,5.6338,5.615,5.5963,5.5775,5.5588,5.54,,
"Congo (Brazzaville)",,,,,,,,,,,,,,,,,,,,,,,,,4.9,4.7833,4.6667,4.55,4.4333,4.3167,4.2,,,
"Costa Rica",3.35,3.722,4.094,4.466,4.838,5.21,4.5467,3.8833,3.22,3.76,3.6,3.96,3.86,3.98,3.99,3.8,4.21,4.33,3.93,3.86,3.31,3.42,3.43,3.77,4.04,3.94,4.21,4.2,3.79,4.45,4.25,4.21,4.12,4.2
"Ivory Coast",,,,,4.95,6.89,6.28,6.81,6.6025,6.395,6.1875,5.98,6.18,6.38,6.58,6.5033,6.4267,6.35,6.2775,6.205,6.1325,6.06,5.9017,5.7433,5.585,5.4267,5.2683,5.11,,,,,,
