Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Angola,,,,,,,,,,,,,,,,0.172309,0.241233
Argentina,,,,,,0.2,0.45,3.96,14.79,23.198172,40.801158,54.686692,56.538013,47.014908,62.113534,49.908043,63.518903
Australia,,,,,,0.4,1.67,2.37,3.4,4.958169,6.198898,7.047122,7.92329,7.218694,7.048171,6.526319,6.016319
Austria,0.38,0.42,0.45,0.46,0.48,0.53,2.58,5.38,6.39,7.541282,8.145454,7.526167,7.52967,6.381586,8.931637,10.830484,9.398288
Belarus,,,,,,,,,0.16,0.46,0.76,0.62,0.66,0.52,0.56,,
Belgium,,,,,,,,,0.4,3.838843,10.340185,11.452132,10.873267,10.956154,14.563129,10.724522,10.542012
Bolivia,,,,,,,,,,,,,0.753921,1.06957,1.5,2.03125,2.1875
Brazil,184,198,217,249,252,276,307.14,394.81,485.25,440.43,485.19,408.41,423.74,485.97,504.1,546.67,525.95
Bulgaria,,,,,,,,,0.2,0.37,0.37,0.32,0.619557,1.165549,1.615059,2.045335,2.307548
Canada,3.7,3.9,4,4,4,4.4,5.21,15.61,16.71,24.759422,26.066972,29.934883,31.415954,31.20227,34.769361,35.128584,37.857377
China,,,5,14,17.1,23.4,32.7,35.07,43.2,52.674993,52.509014,56.938229,64.775514,69.149736,70.372686,62.431196,62.839541
Colombia,,,,,,0.5,4.6,4.7,6.76,6.148058,10.039581,12.855247,14.451793,14.951128,15.344342,17.482679,16.415274
"Congo (Brazzaville)",,,,,,,0.1,,,,,,,,,,
"Costa Rica",,,0.8,1,1.3,2.1,2.1,2.9,2.4,2.1146,1.8293,1.5439,1.258557,1.323877,1.330687,1.478541,1.57095
Croatia,,,,,,,,0.08,0.07,0.13,0.27,0.15,0.77,0.66,0.7,0.34,0.02
Cuba,1.1,1,1,1,1,0.8,0.5,0.4,0.3,5.213416,5.251105,5.147668,5.302273,4.988264,4.942754,2.24002,1.809247
Cyprus,,,,,,,,,0.13,0.15,0.11,0.13,0.13,0.04,0.03,0.02,0.01
"Czech Republic",1.33,1.41,2.07,2.24,1.68,2.53,2.48,2.22,2.81,5.020953,5.988881,5.342802,5.635079,5.752975,6.522059,5.779989,5.736318
Denmark,,0.5,0.8,0.9,1.3,1.41,1.41,1.41,1.98,1.75,1.626162,1.700626,1.58396,2.20459,2.272151,1.93187,2.966395
Ecuador,,,,,,,,0.3,0.2288,0.1577,0.086493,0.10815,0.064886,0.875454,1.058456,1.258548,1.763505
Egypt,,,,,,,,,,0.689237,0.861546,0.947701,0.861546,0.775391,0.172309,0.516928,0.603082
"El Salvador",,,0.3,0.4,0.4,1.5,5.8,4.7,4.6,,,,,,,,
Swaziland,,,,,,,,,,0.430773,0.430773,0.551389,0.827084,0.827084,0.775391,0.809853,0.775391
