Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,,2754655,2978002,3230351,3460962,3676401,4152732,4595401,5055552,5530048,6088408,6709268,7429214,8188022,8996379,9802682,10564528,11338753,12118550,12938001,13825520,14794882,15839630,16944721,18082427,18656281
Albania,,,,,3069612,3050709,3031808,3016053,2997132,2981318,2968555,2943886,2932021,2921071,2908888,2891028,2872845,2848246,2823527,2801636,2784848,2774461,2766983,2756128,2747538,2739549
Algeria,23709816,24323765,24925063,25507786,25951461,26360720,26734976,27047589,27362830,27658286,27909376,28180200,28411601,28677110,28924196,29193959,29521898,29841066,30189379,30571485,30952815,31407083,31893404,32396085,32855183,33332597
"American Samoa",44028,45473,46816,48083,49368,50595,51826,53018,54168,55294,56256,57128,57909,58526,58908,59059,58650,57903,57030,56227,55637,55320,55230,55307,55437,55537
Andorra,54509,56671,58888,60971,62677,63850,64360,64327,64142,64370,65390,67341,70049,73182,76244,78867,80991,82683,83861,84462,84449,83751,82431,80788,79223,78014
Angola,5562349,5749478,5939502,6152314,6408522,6578006,6739168,6910753,7085473,7289043,7513502,7761353,8030701,8337143,8659364,8994169,9361228,9742927,10139890,10575738,11006861,11503818,11995960,12531200,13083346,13651059
"Antigua and Barbuda",64962,65624,66716,68190,69926,71852,73813,75873,77935,79949,81662,83101,84282,85373,86315,87289,88314,89462,90536,91616,92673,93709,94745,95770,96799,97825
Argentina,30700495,31235477,31736807,32268927,32795651,33280068,33790377,34257274,34719443,35218793,35686326,36160006,36639021,37121788,37605564,38088560,38569918,39050909,39534359,40024218,40481859,40990369,41507385,42029446,42508718,43027005
Armenia,,,3122629,3050330,2974996,2911695,2867235,2851108,2844446,2844985,2842438,2840160,2842761,2845791,2847581,2847102,2843119,2836265,2829698,2827924,2831274,2846825,2873276,2890615,2906220,2916950
Aruba,56556,59000,62503,66631,70794,74380,77293,79640,81691,83576,85584,87789,90147,92360,94294,95830,97000,97677,98110,98511,99026,99808,100628,101226,101823,102359
Australia,17065100,17284000,17495000,17667000,17855000,18072000,18311000,18517000,18711000,18926000,19153000,19413000,19651400,19895400,20127400,20394800,20697900,20827600,21249200,21691700,22031750,22340024,22728254,23117353,23460694,23789338
