Country,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,,,,,,,,,,,,,,,,,,54.8,55.16,55.52,55.88,56.24,56.6,,
Angola,,,,,,,,56.7,58.4133,60.1267,61.84,63.5533,65.2667,66.98,68.6933,70.4067,72.12,73.8333,75.5467,77.26,78.9733,80.6867,82.4,,
Albania,,,,,,,78.5,82.22,85.94,89.66,93.38,97.1,95.55,94,92.45,90.9,87.9778,85.0556,82.1333,79.2111,76.2889,73.3667,70.4444,67.5222,64.6
Armenia,,,,,,,90.3,92.1,93.9,95.7,97.5,99.3,99.3091,99.3182,99.3273,99.3364,99.3455,99.3545,99.3636,99.3727,99.3818,99.3909,99.4,,
Azerbaijan,,,,,,,63.6,68.7167,73.8333,78.95,84.0667,89.1833,94.3,94.1714,94.0429,93.9143,93.7857,93.6571,93.5286,93.4,,,,,
Burundi,,,,,,,71,72.4727,73.9455,75.4182,76.8909,78.3636,79.8364,81.3091,82.7818,84.2545,85.7273,87.2,87.5667,87.9333,88.3,88.6667,89.0333,89.4,
Benin,,,73.8,75,76.2,77.4,78.6,79.8,79.7,79.6,79.5,79.4,79.3,80.9167,82.5333,84.15,85.7667,87.3833,89,79.1,69.2,73.1,77,80.9,84.8
"Burkina Faso",,,,,,,,,,80.4,70.6333,60.8667,51.1,61.35,71.6,81.85,92.1,,,,,,,,
Bangladesh,,,,,,,,,,,,,84.3,83.72,83.14,82.56,81.98,81.4,77,72.6,70.45,68.3,,,
Bulgaria,,,,,,,,,,,,,,,,,,,91.9,,,,,,
Belize,,,,,,,,,,,,,,,,,,,,,,,84.9,,
Bolivia,82.9,83.1667,83.4333,83.7,83.9667,84.2333,84.5,85.375,86.25,87.125,88,87.35,86.7,86.05,85.4,85.4375,85.475,85.5125,85.55,85.5875,85.625,85.6625,85.7,,
Brazil,,,92.9,93.4,93.9,94.4,94.9,95.4,95.9,96.4,96.9,97.4,97.9,98.4,,,,,,,,,,,
Barbados,,,,,,,,,,,,,,,,,,,36.8,,,,,,
Botswana,,,,,,,91.9,90.7375,89.575,88.4125,87.25,86.0875,84.925,83.7625,82.6,,,,,,,,,,
"Central African Republic",,22.7,35.48,48.26,61.04,73.82,86.6,85.1,83.6,82.1,80.6,79.1,77.6,77.48,77.36,77.24,77.12,77,84.3,,,,,,
China,,,,,,,,,,,,,,,,,96.4,96.8,96.6333,96.4667,96.3,,,,
"Ivory Coast",,,,,,,68.8,69.8833,70.9667,72.05,73.1333,74.2167,75.3,76.3833,77.4667,78.55,79.6333,80.7167,81.8,81.275,80.75,80.225,79.7,,
Cameroon,,,,,84.6,87.7,90.8,89.325,87.85,86.375,84.9,84.25,83.6,85.28,86.96,88.64,90.32,92,90,88,86,,,,
"Congo (Brazzaville)",,,,,,,,,,,,86.7,87.1429,87.5857,88.0286,88.4714,88.9143,89.3571,89.8,90.2333,90.6667,91.1,,,
Comoros,,,,,,,91,90.25,89.5,88.75,88,87.25,86.5,85.75,85,84.25,83.5,82.75,82,,,,,,
"Cape Verde",,,,,,,,,,,,,,,97.2,,,,,,,,,,
Djibouti,,,,,,,,,,,,,4.4,,,,,,,,,,,,
