Country,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Philippines,5,4.5,4,5.5,7,7,7,6.5,6,6,6,6.5,7
Poland,8,8,8,8,8,8,8,8,8,8.5,9,8.5,8
Qatar,,,,,6,6,6,6,6,6,6,6,6
Romania,8,8,8,7.5,7,7,7,7,7,7,7,7,7
Russia,5,5,5,5,5,5,5,5,5,5.5,6,6,6
Rwanda,6,5,4,5,6,6,6,6.5,7,7,7,6.5,6
"Saudi Arabia",3,2.5,2,3,4,3.5,3,3,3,3,3,3,3
Senegal,6,5,4,4,4,4.5,5,5,5,5,5,5,5
Serbia,7,7,7,7,7,7,7,7,7,7,7,7,7
"Sierra Leone",3,2.5,2,2,2,2,2,2,2,2.5,3,3,3
Singapore,8,8,8,8,8,8,8,8,8,8,8,8,8
Slovakia,8,8.5,9,9,9,8.5,8,8,8,8,8,8,8
Slovenia,10,9.5,9,9,9,9,9,9,9,9,9,9,9
Somalia,1,1,1,1,1,1,1,1,1,1,1,1,1
"South Africa",6,6.5,7,6.5,6,6,6,6.5,7,6.5,6,6,6
"South Korea",10,9,8,8,8,8,8,8,8,8,8,7.5,7
"South Sudan",,,,,,,,,3,3,3,3,3
"Sri Lanka",6,6,6,6,6,6,6,5.5,5,5,5,5.5,6
Sudan,2,2,2,2,2,2.5,3,2.5,2,2.5,3,2.5,2
Syria,5,4.5,4,4,4,4,4,3.5,3,2.5,2,1.5,1
Taiwan,8,8.5,9,9,9,9,9,9,9,9,9,9,9
Tajikistan,3,3,3,3.5,4,4,4,4,4,4,4,4.5,5
Tanzania,2,3,4,4,4,4,4,4,4,4,4,4,4
Thailand,7,6.5,6,6,6,6,6,6,6,5.5,5,4.5,4
Togo,2,2,2,2,2,2.5,3,3.5,4,4,4,4,4
Tunisia,6,7,8,7.5,7,7,7,6.5,6,6,6,6,6
Turkey,7,7,7,7,7,7,7,7,7,7,7,7,7
Turkmenistan,4,4,4,4,4,3.5,3,3,3,3.5,4,3.5,3
Uganda,3,4,5,5.5,6,6,6,6,6,6,6,6,6
Ukraine,7,6.5,6,6,6,6,6,6,6,6.5,7,7,7
"United Arab Emirates",3,4,5,6.5,8,8,8,7.5,7,7,7,7.5,8
Uruguay,9,9,9,9,9,9,9,9,9,9,9,9,9
Uzbekistan,4,4,4,4,4,4,4,4,4,4.5,5,5,5
Venezuela,7,7,7,7,7,7,7,7,7,7,7,6.5,6
Vietnam,5,5,5,5,5,5.5,6,6.5,7,6.5,6,5.5,5
Yemen,2,2.5,3,3,3,3,3,3,3,2.5,2,2,2
Zambia,4,4,4,4.5,5,5,5,5,5,5,5,5,5
Zimbabwe,2,3,4,3.5,3,3,3,3,3,3,3,3,3
